,_year,_team,_conference,_division,_total,_conference_games,_home_games,_away_games,discriminator
85,2014,Rice,Conference USA,West,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 5, 'losses': 1, 'ties': 0, 'wins': 4}]","[{'games': 7, 'losses': 4, 'ties': 0, 'wins': 3}]",
86,2014,Rutgers,Big Ten,East,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
87,2014,San Diego State,Mountain West,West,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 0, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
88,2014,San José State,Mountain West,West,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 6, 'ties': 0, 'wins': 2}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]","[{'games': 7, 'losses': 6, 'ties': 0, 'wins': 1}]",
89,2014,SMU,American Athletic,,"[{'games': 12, 'losses': 11, 'ties': 0, 'wins': 1}]","[{'games': 8, 'losses': 7, 'ties': 0, 'wins': 1}]","[{'games': 6, 'losses': 6, 'ties': 0, 'wins': 0}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
90,2014,South Alabama,Sun Belt,,"[{'games': 13, 'losses': 7, 'ties': 0, 'wins': 6}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
91,2014,South Carolina,SEC,East,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 3, 'ties': 0, 'wins': 4}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
92,2014,Southern Mississippi,Conference USA,West,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 7, 'ties': 0, 'wins': 1}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
93,2014,South Florida,American Athletic,,"[{'games': 12, 'losses': 8, 'ties': 0, 'wins': 4}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 5, 'ties': 0, 'wins': 2}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
94,2014,Stanford,Pac-12,North,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 9, 'losses': 4, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
95,2014,Syracuse,ACC,Atlantic,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 7, 'ties': 0, 'wins': 1}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
96,2014,TCU,Big 12,,"[{'games': 13, 'losses': 1, 'ties': 0, 'wins': 12}]","[{'games': 9, 'losses': 1, 'ties': 0, 'wins': 8}]","[{'games': 7, 'losses': 0, 'ties': 0, 'wins': 7}]","[{'games': 5, 'losses': 1, 'ties': 0, 'wins': 4}]",
