,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Ohio State,1891.55,2014,1629.89,Oregon,(**42** - 20) W,29.95,(14 - 1),(9 - 1),Big Ten,East,ohiostate,True
2,Oregon,1869.59,2014,1657.42,Ohio State,(42 - **20**) L,-29.95,(13 - 2),(9 - 2),Pac-12,North,oregon,True
3,Alabama,1853.39,2014,1661.26,Ohio State,(42 - **35**) L,-19.53,(12 - 2),(8 - 2),SEC,West,alabama,True
4,Florida State,1833.37,2014,1667.58,Oregon,(**20** - 59) L,-39.04,(13 - 1),(9 - 1),ACC,Atlantic,floridastate,True
5,Marshall,1812.07,2014,1556.7,Northern Illinois,(23 - **52**) W,30.56,(13 - 1),(8 - 1),Conference USA,East,marshall,True
6,Baylor,1804.34,2014,1612.82,Michigan State,(**41** - 42) L,-7.46,(11 - 2),(8 - 2),Big 12,,baylor,True
7,Michigan State,1799.04,2014,1622.89,Baylor,(41 - **42**) W,7.46,(11 - 2),(7 - 2),Big Ten,East,michiganstate,True
8,TCU,1797.94,2014,1636.22,Ole Miss,(**42** - 3) W,29.53,(12 - 1),(8 - 1),Big 12,,tcu,True
9,Georgia,1793.68,2014,1637.11,Louisville,(14 - **37**) W,32.13,(10 - 3),(6 - 3),SEC,East,georgia,True
10,Clemson,1774.38,2014,1630.85,Oklahoma,(**40** - 6) W,25.77,(10 - 3),(6 - 3),ACC,Atlantic,clemson,True
11,Georgia Tech,1773.03,2014,1659.8,Mississippi State,(**49** - 34) W,23.78,(11 - 3),(6 - 3),ACC,Coastal,georgiatech,True
12,Wisconsin,1768.44,2014,1634.48,Auburn,(**34** - 31) W,10.77,(11 - 3),(7 - 3),Big Ten,West,wisconsin,True
13,Boise State,1760.66,2014,1552.03,Arizona,(30 - **38**) W,20.21,(12 - 2),(8 - 2),Mountain West,Mountain,,True
14,Missouri,1754.37,2014,1644.1,Minnesota,(17 - **33**) W,23.43,(11 - 3),(7 - 3),SEC,East,missouri,True
15,Stanford,1729.18,2014,1641.81,Maryland,(**45** - 21) W,18.13,(8 - 5),(5 - 5),Pac-12,North,stanford,True
16,Mississippi State,1720.92,2014,1643.87,Georgia Tech,(49 - **34**) L,-23.78,(10 - 3),(6 - 3),SEC,West,mississippistate,True
17,Louisville,1720.19,2014,1621.09,Georgia,(**14** - 37) L,-32.13,(9 - 4),(5 - 4),ACC,Atlantic,louisville,True
18,Arizona State,1719.82,2014,1630.55,Duke,(31 - **36**) W,17.2,(10 - 3),(6 - 3),Pac-12,South,,True
19,Ole Miss,1709.76,2014,1668.62,TCU,(42 - **3**) L,-29.53,(9 - 4),(5 - 4),SEC,West,olemiss,True
20,Auburn,1707.62,2014,1686.03,Wisconsin,(34 - **31**) L,-10.77,(8 - 5),(4 - 5),SEC,West,auburn,True
21,UCLA,1704.48,2014,1596.7,Kansas State,(**40** - 35) W,16.0,(10 - 3),(6 - 3),Pac-12,South,ucla,True
22,Northern Illinois,1693.45,2014,1552.55,Marshall,(**23** - 52) L,-30.56,(11 - 3),(8 - 3),Mid-American,West,northernillinois,True
23,USC,1688.06,2014,1597.13,Nebraska,(**45** - 42) W,12.46,(9 - 4),(6 - 4),Pac-12,South,,True
