Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,11-0,61.75,62,1711.9,0
2,Clemson,11-0,58.5,41,1697.77,0
3,Notre Dame,11-0,59.417,48,1685.32,1
4,Central Florida,11-0,66.333,80,1679.14,3
5,Michigan,10-1,56.167,31,1673.54,-2
6,Oklahoma,11-1,56.846,36,1664.89,0
7,Georgia,10-1,56.0,29,1660.35,-2
8,Ohio State,10-1,71.25,103,1639.5,0
9,Utah St,10-1,88.333,129,1633.64,0
10,Fresno St,9-2,73.833,110,1623.07,1
11,Boise St,9-2,65.417,73,1621.77,1
12,Washington St,10-2,68.923,93,1617.47,-2
13,Washington,9-3,61.846,63,1611.42,10
14,Texas,9-3,61.231,57,1610.72,7
15,Penn State,8-3,49.583,9,1610.53,1
16,LSU,9-2,58.25,39,1601.59,2
17,Appalachian St,8-2,76.455,117,1600.34,2
18,Cincinnati,10-2,69.385,95,1595.93,-3
19,Missouri,8-4,54.462,25,1592.23,12
20,Mississippi St,8-4,54.769,26,1592.22,10
21,Iowa,8-4,61.308,58,1588.06,8
22,Ohio U.,8-4,76.769,118,1587.72,17
23,Utah,8-3,58.167,38,1585.4,3
24,Buffalo,10-2,74.231,113,1582.33,-7
25,Troy,9-2,82.5,126,1579.4,0
26,Memphis,8-4,79.615,123,1579.1,17
27,Army,9-2,72.583,107,1577.26,-3
28,West Virginia,8-3,61.583,59,1577.13,-14
29,Temple,7-4,59.417,49,1576.99,-2
30,Alabama-Birmingham,9-2,81.417,125,1576.76,-17
31,North Carolina St,7-3,65.182,71,1563.07,5
32,Iowa St,6-4,52.909,18,1561.87,-12
33,Syracuse,8-3,67.25,83,1560.71,-11
34,Texas A&M,7-4,51.0,10,1560.44,20
35,Pittsburgh,7-4,52.333,15,1556.66,14
36,North Texas,8-3,87.5,127,1555.78,-2
37,Northwestern,7-4,52.0,13,1555.71,5
38,Wisconsin,7-4,59.5,50,1555.29,-1
39,Boston College,7-4,67.0,81,1553.54,-11
40,Marshall,7-3,75.727,115,1553.12,4
41,Kentucky,8-3,53.833,23,1552.08,10
42,Florida,8-3,57.25,37,1549.7,-7
43,Georgia Tech,7-4,70.75,101,1548.72,2
44,Houston,8-4,77.923,120,1545.45,-11
45,Florida Int'l,8-3,87.917,128,1543.64,8
46,Auburn,7-4,59.083,44,1540.32,1
47,Arkansas St,7-4,75.0,114,1540.31,9
48,Georgia Southern,8-3,70.583,99,1539.6,9
49,Oregon,8-4,67.462,85,1539.22,14
50,Michigan St,6-5,45.417,3,1535.07,-18
51,Stanford,6-4,48.455,5,1533.63,-1
52,Arizona St,6-5,61.583,60,1531.56,-12
53,Duke,7-4,56.583,35,1529.27,-15
54,Toledo,7-5,74.154,112,1527.6,20
55,Miami OH,6-6,62.692,66,1526.38,20
56,Oklahoma St,6-5,56.083,30,1524.13,8
57,Purdue,5-6,44.75,2,1522.95,-5
58,South Carolina,6-4,56.455,34,1522.33,0
59,Miami FL,6-5,60.167,53,1521.32,12
60,Middle Tennessee St,7-4,69.667,98,1518.92,-14
61,Eastern Michigan,7-5,73.846,111,1518.86,4
