Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,3-0,53.5,41,1597.88,0
2,Ohio State,3-0,65.25,80,1587.66,0
3,Penn State,3-0,59.5,62,1580.92,3
4,Oklahoma,3-0,69.5,99,1580.52,-1
5,Georgia,3-0,73.5,102,1568.8,6
6,Oklahoma St,3-0,63.0,73,1565.36,12
7,Duke,3-0,54.25,43,1564.59,5
8,Mississippi St,3-0,72.5,101,1560.47,15
9,Minnesota,3-0,67.0,89,1557.93,8
10,Stanford,3-0,69.25,98,1555.99,-3
11,Notre Dame,3-0,42.25,18,1555.39,5
12,Clemson,3-0,62.75,72,1552.98,21
13,Wisconsin,2-1,63.75,75,1552.69,-9
14,Iowa,3-0,78.75,116,1550.94,-6
15,Washington St,3-0,86.5,125,1550.69,-5
16,Boston College,3-0,78.0,115,1548.69,8
17,Indiana,3-0,52.75,39,1548.63,17
18,North Texas,3-0,90.25,128,1548.52,20
19,Central Florida,2-0,82.667,121,1548.06,-10
20,South Florida,3-0,75.75,110,1545.68,8
21,Oregon,3-0,94.0,130,1545.34,9
22,Fresno St,2-1,57.75,55,1542.34,20
23,Kentucky,3-0,76.25,111,1541.73,-3
24,Missouri,3-0,77.75,114,1540.8,5
25,Syracuse,3-0,85.0,123,1537.66,23
26,Michigan,2-1,60.0,64,1537.53,21
27,LSU,3-0,54.75,46,1537.37,0
28,Colorado,3-0,86.5,126,1536.54,-3
29,Boise St,2-1,47.5,31,1536.03,-24
30,Buffalo,3-0,67.5,91,1535.94,14
31,North Carolina St,2-0,81.0,119,1535.51,-9
32,Virginia Tech,2-0,77.667,113,1533.0,-6
33,Memphis,2-1,80.75,118,1532.83,23
34,Texas,2-1,63.75,76,1531.78,24
35,Vanderbilt,2-1,51.25,37,1531.15,-21
36,Cincinnati,3-0,92.75,129,1530.91,0
37,California,3-0,74.25,105,1527.54,3
38,West Virginia,2-0,69.0,96,1527.08,-3
39,Texas A&M;,2-1,59.25,60,1525.14,27
40,Auburn,2-1,49.0,33,1524.78,-9
41,Washington,2-1,58.25,56,1524.14,20
42,Hawai`i,3-1,73.8,103,1523.73,-27
43,Marshall,2-0,83.0,122,1523.71,-2
44,Houston,2-1,68.25,94,1521.56,-31
45,Arizona St,2-1,59.25,61,1520.81,-26
46,Appalachian St,1-1,34.0,9,1520.26,-1
47,Florida Int'l,2-1,67.0,90,1520.05,21
48,TCU,2-1,63.5,74,1520.0,-27
49,Louisiana Tech,2-0,74.667,106,1519.53,-3
50,Kansas,2-1,89.0,127,1519.32,24
51,Miami FL,2-1,60.75,68,1518.11,21
52,Utah St,2-1,77.5,112,1513.91,3
53,Michigan St,1-1,31.667,8,1513.4,-3
54,Akron,2-0,71.333,100,1511.87,11
55,Florida,2-1,66.5,88,1509.89,34
56,Virginia,2-1,57.75,54,1508.31,29
57,Brigham Young,2-1,36.75,10,1506.87,14
58,Wake Forest,2-1,60.5,67,1506.01,-15
59,South Carolina,1-1,25.333,5,1505.51,1
60,Texas Tech,2-1,60.25,66,1505.38,32
61,Army,2-1,44.25,21,1505.36,20
62,San Diego St,2-1,45.75,26,1505.01,20
63,Kansas St,2-1,65.25,81,1504.25,27
64,Florida Atlantic,2-1,55.25,49,1503.9,-1
65,Utah,2-1,65.5,84,1503.58,-26
66,Maryland,2-1,54.75,45,1502.4,-34
67,Temple,1-2,56.0,50,1500.86,33
68,Troy,2-1,65.0,78,1500.61,11
69,Mississippi,2-1,47.25,30,1499.66,-32
70,UNLV,2-1,86.25,124,1499.62,0
71,Arkansas St,2-1,58.5,58,1498.27,20
72,Southern Miss,1-1,75.333,108,1497.02,-5
73,Coastal Carolina,2-1,65.75,86,1496.84,2
74,Baylor,2-1,65.0,79,1494.56,-23
75,Eastern Michigan,2-1,62.5,71,1493.41,-18
76,Alabama-Birmingham,2-1,74.75,107,1493.34,22
77,Louisville,2-1,61.75,70,1492.87,11
78,Tennessee,2-1,74.0,104,1492.43,28
79,Illinois,2-1,65.25,82,1492.02,-20
80,East Carolina,1-1,80.333,117,1491.89,-7
81,Navy,2-1,50.75,36,1490.65,2
82,Pittsburgh,2-1,56.75,51,1490.61,17
83,New Mexico,2-1,67.5,92,1490.54,24
84,Georgia Southern,2-1,66.5,87,1488.84,-35
85,Northwestern,1-2,37.5,11,1488.62,-23
86,Ohio U.,1-1,61.667,69,1488.52,-32
87,Southern Cal,1-2,27.75,6,1488.08,-35
88,Toledo,1-1,60.0,65,1486.52,-35
89,Air Force,1-1,64.333,77,1484.53,-3
90,Nevada,2-1,68.25,93,1481.99,12
91,Wyoming,2-2,59.0,59,1479.57,5
92,Purdue,0-3,45.25,24,1479.24,-14
93,Northern Illinois,1-2,49.5,34,1475.43,21
94,Iowa St,0-2,5.333,1,1474.96,-18
95,South Alabama,1-2,42.25,19,1472.69,23
96,Georgia Tech,1-2,57.5,53,1472.48,-12
97,Louisiana-Monroe,2-1,59.75,63,1471.35,-33
98,Tulane,1-2,65.5,85,1470.97,-18
99,Louisiana-Lafayette,1-1,45.667,25,1470.6,-30
100,Arizona,1-2,57.25,52,1469.35,10
101,UNC-Charlotte,2-1,75.5,109,1469.22,12
102,Idaho,1-1,50.333,35,1468.3,6
103,Nebraska,0-2,31.333,7,1466.73,-9
104,Florida St,1-2,46.25,29,1462.24,-17
105,Tulsa,1-2,58.25,57,1461.36,-10
106,Rutgers,1-2,41.5,16,1461.22,-29
107,Middle Tennessee St,1-2,42.0,17,1458.12,-14
108,Western Michigan,1-2,44.75,23,1458.0,12
109,Arkansas,1-2,65.25,83,1455.64,-12
110,Oregon St,1-2,55.0,48,1455.14,1
111,Ball St,1-2,39.0,13,1452.56,-7
112,North Carolina,0-2,38.333,12,1452.49,7
113,Kent St,1-2,52.5,38,1450.6,-8
114,Georgia St,1-2,48.0,32,1449.27,-11
115,Colorado St,1-3,46.0,27,1448.04,-14
116,Rice,1-2,53.5,40,1447.94,8
117,Texas St-San Marcos,1-2,82.25,120,1446.49,-8
118,Western Kentucky,0-3,54.5,44,1444.93,-1
119,Connecticut,1-2,44.0,20,1443.73,6
120,Miami OH,0-3,21.25,3,1443.32,-8
121,Bowling Green,1-2,53.75,42,1441.99,5
122,Central Michigan,0-3,40.75,14,1438.91,-6
123,UCLA,0-3,14.75,2,1438.55,-8
124,SMU,0-3,22.25,4,1432.04,-2
125,Texas-San Antonio,0-3,44.75,22,1429.75,-4
126,Massachusetts,1-3,54.8,47,1427.42,-3
127,San José St,0-3,41.0,15,1423.75,0
128,Old Dominion,0-3,69.0,97,1406.69,2
129,New Mexico St,0-4,46.2,28,1405.08,-1
130,UTEP,0-3,69.0,95,1402.37,-1
