Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
South Carolina,1530.13,1505.51,1505.51,1530.81,1512.86,1521.35,1511.35,1511.35,1519.73,1531.43,1519.5,1522.33,1510.86,1526.4,1500.52,1502.1,1502.1
West Virginia,1523.46,1527.08,1527.08,1550.67,1566.43,1581.56,1554.69,1554.69,1577.89,1583.03,1601.65,1577.13,1577.13,1577.13,1556.21,1573.54,1573.54
Florida Atlantic,1485.02,1500.34,1503.9,1484.34,1478.68,1497.51,1497.51,1474.43,1459.74,1491.75,1506.64,1497.6,1484.99,1484.99,1484.99,1474.25,1474.25
South Florida,1513.99,1532.03,1545.68,1558.57,1558.57,1573.3,1576.67,1584.31,1560.31,1530.31,1514.52,1484.04,1484.04,1484.04,1464.5,1461.76,1461.76
Navy,1480.58,1486.38,1490.65,1484.42,1484.42,1456.89,1444.02,1429.84,1419.37,1403.76,1396.74,1413.04,1409.01,1409.01,1399.72,1399.48,1399.48
Florida St,1503.44,1483.51,1462.24,1485.3,1496.92,1492.76,1492.76,1515.0,1494.13,1475.18,1462.63,1469.49,1449.44,1449.44,1449.44,1477.5,1477.5
Missouri,1506.89,1531.5,1540.8,1521.89,1521.89,1513.4,1498.04,1527.59,1521.91,1547.19,1557.84,1592.23,1592.23,1592.23,1592.23,1596.58,1596.58
Toledo,1512.1,1512.1,1486.52,1508.65,1487.73,1502.82,1493.45,1476.36,1502.67,1521.0,1496.51,1527.6,1527.6,1527.6,1517.41,1499.75,1499.75
Oregon,1527.51,1531.35,1545.34,1530.15,1552.09,1552.09,1563.21,1542.94,1510.8,1527.93,1513.61,1539.22,1539.22,1539.22,1539.22,1552.89,1552.89
Texas A&M,1505.48,1497.54,1525.14,1507.08,1519.11,1536.94,1546.94,1546.94,1524.53,1513.17,1532.29,1560.44,1569.82,1569.82,1569.82,1616.65,1616.65
San Diego St,1483.2,1486.63,1505.01,1515.01,1515.01,1531.01,1541.28,1546.68,1531.31,1544.26,1530.42,1517.31,1511.46,1511.46,1492.52,1456.7,1456.7
Arizona,1486.36,1464.48,1469.35,1491.73,1479.93,1496.87,1472.5,1466.77,1498.87,1515.69,1515.69,1496.78,1492.03,1492.03,1492.03,1501.45,1501.45
Duke,1526.32,1546.43,1564.59,1567.59,1542.71,1542.71,1561.08,1539.02,1517.83,1534.83,1544.18,1529.27,1494.46,1494.46,1528.18,1535.61,1535.61
Indiana,1516.49,1527.81,1548.63,1526.62,1538.9,1520.55,1497.84,1487.24,1470.21,1470.21,1479.48,1470.68,1457.09,1457.09,1457.09,1486.37,1486.37
Northern Illinois,1476.37,1459.17,1475.43,1452.37,1463.53,1479.9,1491.05,1491.05,1496.28,1512.85,1537.33,1502.61,1502.61,1509.22,1488.76,1475.37,1475.37
Arizona St,1528.98,1539.19,1520.81,1505.39,1524.8,1510.64,1510.64,1495.52,1506.4,1534.06,1540.55,1531.56,1536.31,1536.31,1522.45,1526.7,1526.7
Minnesota,1523.69,1540.05,1557.93,1527.61,1527.61,1506.19,1492.91,1461.34,1477.37,1449.1,1485.78,1470.19,1498.27,1498.27,1525.23,1544.38,1544.38
SMU,1474.45,1451.23,1432.04,1438.27,1444.13,1429.61,1429.61,1442.71,1432.28,1464.0,1477.52,1462.28,1448.87,1448.87,1448.87,1451.34,1451.34
Kansas St,1505.35,1482.57,1504.25,1480.66,1469.57,1460.17,1488.85,1488.85,1472.29,1467.15,1477.64,1500.35,1490.67,1490.67,1490.67,1506.04,1506.04
Syracuse,1512.11,1516.39,1537.66,1555.84,1544.46,1524.38,1524.38,1531.85,1551.63,1569.43,1581.83,1560.71,1583.49,1583.49,1604.41,1632.05,1632.05
Nebraska,1492.43,1479.92,1466.73,1444.38,1427.15,1414.79,1407.21,1438.79,1444.52,1437.53,1461.33,1467.83,1467.83,1467.83,1467.83,1491.09,1491.09
Fresno St,1538.3,1521.94,1542.34,1542.34,1563.26,1580.3,1594.97,1613.79,1613.5,1627.9,1610.32,1623.07,1630.01,1640.65,1654.51,1623.24,1623.24
Utah,1507.77,1524.97,1503.58,1503.58,1492.87,1518.27,1542.64,1561.9,1580.55,1552.9,1567.21,1585.4,1598.31,1583.21,1583.21,1572.28,1572.28
Ohio U.,1510.48,1510.48,1488.52,1478.12,1497.58,1501.61,1490.46,1507.37,1527.82,1554.32,1544.14,1587.72,1587.72,1587.72,1606.66,1575.99,1575.99
Kentucky,1520.59,1538.33,1541.73,1566.37,1584.32,1566.49,1566.49,1577.63,1582.14,1562.23,1533.41,1552.08,1567.64,1567.64,1567.64,1585.26,1585.26
Houston,1524.55,1546.43,1521.56,1525.69,1525.69,1541.09,1559.86,1574.03,1598.01,1566.29,1547.3,1545.45,1545.45,1545.45,1518.19,1519.84,1519.84
Florida,1500.93,1483.19,1509.89,1533.56,1549.24,1567.43,1581.98,1581.98,1560.03,1534.75,1546.69,1549.7,1569.76,1569.76,1600.98,1608.63,1608.63
Troy,1482.36,1487.41,1500.61,1515.91,1539.14,1555.12,1520.82,1520.82,1537.68,1552.77,1572.46,1579.4,1562.05,1562.05,1580.85,1554.65,1554.65
Virginia,1497.67,1486.35,1508.31,1531.22,1512.6,1512.6,1524.79,1546.85,1558.25,1537.56,1540.45,1516.16,1516.16,1516.16,1542.04,1547.76,1547.76
Texas Tech,1474.73,1480.52,1505.38,1532.9,1517.14,1517.14,1527.36,1547.89,1529.62,1519.67,1505.94,1483.09,1462.77,1462.77,1462.77,1479.73,1479.73
Army,1482.73,1486.82,1505.36,1493.49,1522.75,1522.75,1543.05,1547.57,1565.6,1572.99,1575.23,1577.26,1577.26,1577.26,1613.82,1608.93,1608.93
UCLA,1478.75,1458.94,1438.55,1438.55,1422.22,1411.94,1442.23,1447.96,1428.1,1410.98,1404.48,1425.93,1414.46,1414.46,1414.46,1422.42,1422.42
Mississippi,1522.92,1526.55,1499.66,1519.16,1496.86,1519.68,1528.49,1507.34,1507.19,1495.49,1476.36,1440.25,1440.25,1440.25,1440.25,1459.08,1459.08
Maryland,1505.29,1528.51,1502.4,1532.72,1532.72,1512.24,1529.11,1508.94,1529.52,1507.3,1498.03,1494.57,1477.25,1477.25,1477.25,1505.18,1505.18
Wyoming,1502.38,1477.76,1479.57,1479.57,1459.91,1450.71,1436.04,1424.95,1443.53,1461.0,1461.0,1478.82,1498.93,1498.93,1498.93,1490.48,1490.48
California,1514.23,1524.39,1527.54,1527.54,1505.6,1488.66,1458.36,1482.4,1493.33,1483.28,1488.94,1488.94,1505.9,1489.64,1479.41,1491.72,1491.72
Utah St,1483.54,1509.4,1513.91,1530.16,1530.16,1552.05,1570.21,1581.3,1598.98,1617.92,1627.81,1633.64,1615.68,1615.68,1639.69,1628.39,1628.39
Colorado St,1457.14,1474.74,1448.04,1415.71,1415.71,1434.96,1444.8,1427.73,1407.7,1407.7,1386.71,1368.58,1368.58,1368.58,1368.58,1359.62,1359.62
Colorado,1520.72,1533.23,1536.54,1536.54,1552.87,1567.03,1544.94,1525.75,1505.08,1488.26,1470.93,1452.74,1435.78,1435.78,1435.78,1445.21,1445.21
Western Michigan,1479.42,1451.61,1458.0,1479.99,1484.98,1494.94,1506.15,1524.89,1496.28,1469.78,1469.78,1481.8,1481.8,1481.8,1457.78,1446.66,1446.66
Pittsburgh,1503.41,1476.74,1490.61,1478.88,1460.14,1480.22,1472.4,1472.4,1493.58,1514.26,1536.99,1556.66,1530.71,1517.93,1517.93,1522.16,1522.16
