Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,5-0,65.667,85,1631.4,0
2,Oklahoma,5-0,65.5,83,1612.65,2
3,Ohio State,5-0,63.833,78,1611.04,-1
4,Georgia,5-0,71.167,100,1603.44,1
5,Notre Dame,5-0,43.0,9,1600.48,1
6,Penn State,4-1,57.167,45,1597.37,-3
7,Central Florida,4-0,87.6,124,1586.36,3
8,Clemson,5-0,59.5,55,1584.6,-1
9,Kentucky,5-0,61.5,61,1584.32,3
10,LSU,5-0,49.333,17,1580.06,5
11,North Carolina St,4-0,68.8,95,1575.18,6
12,Wisconsin,3-1,61.8,64,1571.24,-4
13,Michigan,4-1,64.5,80,1568.45,0
14,West Virginia,4-0,75.0,110,1566.43,7
15,Fresno St,3-1,70.8,99,1563.26,9
16,Texas,4-1,58.167,51,1562.85,4
17,Washington,4-1,56.333,41,1562.41,9
18,Auburn,4-1,56.5,43,1561.87,5
19,Cincinnati,5-0,90.333,127,1561.52,6
20,Miami FL,4-1,64.167,79,1559.38,7
21,South Florida,4-0,76.6,112,1558.57,-7
22,Oklahoma St,4-1,66.833,88,1558.27,7
23,Boise St,3-1,55.8,37,1555.69,8
24,Colorado,4-0,97.6,130,1552.87,6
25,Oregon,4-1,78.333,117,1552.09,16
26,Florida,4-1,68.833,97,1549.24,8
27,Washington St,4-1,79.5,119,1548.79,1
28,Michigan St,3-1,46.0,14,1548.65,5
29,Stanford,4-1,44.333,12,1548.51,-20
30,Appalachian St,3-1,72.6,104,1546.93,17
31,Syracuse,4-1,68.667,94,1544.46,-13
32,North Texas,4-1,90.5,128,1544.15,-13
33,Duke,4-1,61.0,59,1542.71,-22
34,Boston College,4-1,68.833,96,1539.68,14
35,Troy,4-1,77.333,114,1539.14,18
36,Indiana,4-1,59.167,54,1538.9,9
37,Hawai`i,5-1,89.286,126,1534.62,7
38,Maryland,3-1,49.8,18,1532.72,-2
39,Iowa,3-1,62.2,66,1532.38,-2
40,Utah St,3-1,75.6,111,1530.16,0
41,Virginia Tech,3-1,69.0,98,1528.83,23
42,Minnesota,3-1,54.0,30,1527.61,0
43,Buffalo,4-1,73.833,107,1527.49,-27
44,Houston,3-1,78.0,116,1525.69,2
45,Arizona St,3-2,53.333,28,1524.8,17
46,Purdue,2-3,61.333,60,1523.27,14
47,Army,3-2,40.167,8,1522.75,26
48,Memphis,3-2,84.0,123,1521.99,-26
49,Missouri,3-1,55.0,32,1521.89,0
50,Mississippi St,3-2,59.833,57,1520.15,-18
51,Texas A&M;,3-2,61.667,63,1519.11,8
52,Texas Tech,3-2,46.333,15,1517.14,-17
53,San Diego St,3-1,58.0,48,1515.01,2
54,South Carolina,2-2,30.4,3,1512.86,-15
55,Alabama-Birmingham,3-1,82.0,122,1512.81,19
56,Virginia,3-2,57.0,44,1512.6,-18
57,Southern Cal,3-2,38.833,7,1512.5,10
58,Marshall,3-1,68.4,92,1512.01,8
59,TCU,3-2,54.833,31,1510.32,9
60,Louisiana Tech,3-1,56.2,40,1508.42,10
61,Vanderbilt,3-2,61.5,62,1507.65,0
62,Georgia Southern,3-1,63.2,72,1505.75,16
63,California,3-1,67.4,89,1505.6,-20
64,Wake Forest,3-2,62.333,67,1505.23,20
65,Florida Int'l,3-2,67.833,91,1504.06,4
66,Temple,2-3,58.167,49,1500.77,-14
67,Southern Miss,2-2,77.4,115,1498.75,-13
68,Baylor,3-2,58.5,52,1498.65,-17
69,Ohio U.,2-2,62.6,69,1497.58,22
70,Arkansas St,3-2,63.0,71,1497.02,-14
71,Florida St,3-2,65.5,84,1496.92,9
72,Mississippi,3-2,52.667,26,1496.86,-22
73,Utah,2-2,53.2,27,1492.87,-8
74,Akron,2-1,72.25,103,1489.61,3
75,Toledo,2-2,50.4,20,1487.73,-17
