Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,12-0,61.0,53,1724.99,0
2,Clemson,12-0,59.308,45,1709.23,0
3,Notre Dame,12-0,59.0,43,1693.82,0
4,Central Florida,11-0,68.5,91,1679.14,0
5,Georgia,11-1,53.692,21,1676.18,2
6,Ohio State,11-1,63.769,68,1666.07,2
7,Oklahoma,11-1,58.538,41,1664.89,-1
8,Michigan,10-2,54.077,22,1646.97,-3
9,Boise St,10-2,63.308,65,1639.73,2
10,Fresno St,10-2,74.846,113,1630.01,0
11,Penn State,9-3,54.692,24,1627.84,4
12,Appalachian St,9-2,71.333,101,1617.69,5
13,Washington St,10-2,67.154,83,1617.47,-1
14,Utah St,10-2,81.385,127,1615.68,-5
15,Washington,9-3,61.308,56,1611.42,-2
16,Texas,9-3,62.923,62,1610.72,-2
17,Utah,9-3,59.308,47,1598.31,6
18,Cincinnati,10-2,69.692,97,1595.93,0
19,Missouri,8-4,51.231,12,1592.23,0
20,Mississippi St,8-4,55.538,30,1592.22,0
21,LSU,9-3,55.385,29,1592.2,-5
22,Temple,8-4,66.615,81,1588.78,7
23,Iowa,8-4,61.769,58,1588.06,-2
24,Ohio U.,8-4,76.154,116,1587.72,-2
25,Syracuse,9-3,66.615,80,1583.49,8
26,Buffalo,10-2,73.154,110,1582.33,-2
27,Memphis,8-4,79.308,123,1579.1,-1
28,Army,9-2,74.167,112,1577.26,-1
29,West Virginia,8-3,63.167,64,1577.13,-1
30,North Carolina St,8-3,67.5,85,1571.91,1
31,Iowa St,7-4,55.167,27,1571.55,1
32,Texas A&M,8-4,50.0,9,1569.82,2
33,Florida,9-3,59.231,44,1569.76,9
34,Kentucky,9-3,56.462,31,1567.64,7
35,Northwestern,8-4,56.538,33,1565.04,2
36,Marshall,8-3,71.667,104,1563.28,4
37,Troy,9-3,76.615,118,1562.05,-12
38,North Texas,9-3,91.846,129,1561.88,-2
39,Arkansas St,8-4,75.308,114,1556.74,8
40,Georgia Southern,9-3,75.385,115,1553.23,8
41,Alabama-Birmingham,9-3,78.0,122,1547.88,-11
42,Middle Tennessee St,8-4,66.077,76,1547.8,18
43,Miami FL,7-5,63.385,66,1547.27,16
44,Houston,8-4,78.0,121,1545.45,0
45,Stanford,7-4,52.25,15,1545.1,6
46,Michigan St,7-5,51.462,13,1540.88,4
47,Oregon,8-4,66.077,75,1539.22,2
48,Purdue,6-6,48.846,4,1536.54,9
49,Arizona St,7-5,61.923,60,1536.31,3
50,Florida Int'l,8-4,81.538,128,1533.48,-5
51,Georgia Tech,7-5,67.385,84,1532.88,-8
52,Boston College,7-5,60.0,51,1530.76,-13
53,Pittsburgh,7-5,51.077,10,1530.71,-18
54,Toledo,7-5,73.0,109,1527.6,0
55,Auburn,7-5,54.538,23,1527.23,-9
56,Wisconsin,7-5,59.615,48,1527.21,-18
57,Miami OH,6-6,61.0,54,1526.38,-2
58,Eastern Michigan,7-5,72.769,107,1518.86,3
59,Virginia,7-5,72.077,105,1516.16,5
60,San Diego St,7-5,66.615,79,1511.46,3
61,South Carolina,6-5,49.583,7,1510.86,-3
62,Vanderbilt,6-6,53.0,19,1510.66,14
63,Louisiana-Lafayette,7-5,68.462,90,1508.08,6
64,Southern Miss,6-5,76.5,117,1506.97,10
65,Oklahoma St,6-6,58.077,39,1506.11,-9
66,California,7-4,70.25,98,1505.9,9
67,Brigham Young,6-6,58.385,40,1504.74,-5
68,Northern Illinois,7-5,61.846,59,1502.61,-1
69,Wyoming,6-6,63.846,69,1498.93,13
70,Minnesota,6-6,55.077,26,1498.27,17
71,Nevada,7-5,72.769,108,1496.73,-6
72,TCU,6-6,55.308,28,1496.24,11
73,Duke,7-5,57.769,38,1494.46,-20
74,Arizona,5-7,63.154,63,1492.03,-3
75,Wake Forest,6-6,59.308,46,1490.72,18
76,Kansas St,5-7,57.692,37,1490.67,-8
77,Tulane,6-6,62.462,61,1487.71,1
78,Florida Atlantic,5-7,58.769,42,1484.99,-8
79,Louisiana Tech,7-5,73.846,111,1484.7,-13
80,Southern Cal,5-7,53.308,20,1484.59,-7
81,South Florida,7-5,68.154,88,1484.04,-4
82,Western Michigan,7-5,68.154,89,1481.8,-2
83,Air Force,5-7,67.615,86,1479.7,-2
84,Maryland,5-7,47.923,2,1477.25,-12
85,Baylor,6-6,61.077,55,1476.71,7
86,Hawai`i,8-5,71.357,102,1469.65,4
87,Louisiana-Monroe,6-6,72.077,106,1468.3,-3
88,Nebraska,4-8,49.769,8,1467.83,1
89,Texas Tech,5-7,57.154,35,1462.77,-10
90,Indiana,5-7,48.154,3,1457.09,-4
91,Florida St,5-7,51.231,11,1449.44,-3
92,SMU,5-7,57.077,34,1448.87,-1
93,Tennessee,5-7,49.462,6,1448.7,-8
94,Virginia Tech,5-6,63.667,67,1447.86,1
95,Mississippi,5-7,60.0,52,1440.25,1
96,Colorado,5-7,66.154,77,1435.78,-2
97,Western Kentucky,3-9,79.308,124,1416.67,12
98,UNC-Charlotte,5-7,65.538,73,1416.19,4
99,UCLA,3-9,39.385,1,1414.46,-2
100,Navy,3-9,52.385,17,1409.01,-2
101,Coastal Carolina,5-7,65.0,72,1405.71,0
