Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,7-0,67.25,84,1660.42,0
2,Ohio State,7-0,68.625,90,1642.66,0
3,Notre Dame,7-0,56.75,46,1627.66,1
4,Michigan,6-1,53.125,30,1612.93,5
5,Clemson,6-0,59.286,56,1609.4,0
6,Central Florida,6-0,79.857,117,1605.29,0
7,Oklahoma,5-1,47.571,17,1600.5,0
8,Fresno St,5-1,83.0,120,1594.97,5
9,Georgia,6-1,64.875,76,1593.7,-6
10,LSU,6-1,42.625,8,1589.3,13
11,North Carolina St,5-0,63.0,70,1587.06,-1
12,Texas,6-1,52.25,26,1586.47,3
13,Penn State,4-2,51.429,25,1583.36,-5
14,Florida,6-1,58.0,49,1581.98,4
15,Cincinnati,6-0,83.571,122,1577.36,-1
16,South Florida,6-0,89.286,128,1576.67,0
17,Iowa,5-1,59.143,54,1576.51,8
18,Utah St,5-1,77.857,109,1570.21,9
19,North Texas,6-1,94.75,130,1570.14,9
20,Appalachian St,4-1,72.0,99,1568.61,9
21,Kentucky,5-1,54.857,38,1566.49,-1
22,Washington St,5-1,80.286,118,1563.85,-1
23,Oregon,5-1,78.429,111,1563.21,3
24,Washington,5-2,59.125,53,1561.57,-7
25,Duke,5-1,61.571,62,1561.08,7
26,Houston,5-1,86.286,124,1559.86,9
27,Wisconsin,4-2,56.286,45,1559.6,-16
28,Buffalo,6-1,78.875,113,1557.81,6
29,West Virginia,5-1,68.714,91,1554.69,-17
30,Alabama-Birmingham,5-1,85.286,123,1553.89,10
31,Miami FL,5-2,61.75,64,1551.34,-9
32,Boise St,4-2,68.429,87,1549.2,5
33,Purdue,3-3,65.571,80,1548.76,14
34,Texas A&M;,5-2,54.875,39,1546.94,5
35,Colorado,5-1,78.714,112,1544.94,-16
36,Mississippi St,4-2,52.571,28,1543.32,-5
37,Boston College,5-2,65.0,77,1543.32,6
38,Army,4-2,52.714,29,1543.05,11
39,Utah,4-2,55.0,41,1542.64,14
40,Michigan St,4-2,47.571,16,1541.82,2
41,San Diego St,5-1,63.429,71,1541.28,0
42,Temple,4-3,69.125,93,1540.64,2
43,Memphis,4-3,83.125,121,1535.58,-7
44,Southern Cal,4-2,44.0,11,1534.58,13
45,Georgia Southern,5-1,79.714,115,1532.35,0
46,Iowa St,3-3,38.429,4,1530.79,19
47,Maryland,4-2,53.714,32,1529.11,11
48,Mississippi,5-2,67.25,85,1528.49,4
49,Texas Tech,4-2,50.143,22,1527.36,5
50,Virginia,4-2,60.857,60,1524.79,6
51,Syracuse,4-2,68.571,88,1524.38,-5
52,Stanford,4-2,39.286,6,1523.12,-4
53,Auburn,4-3,60.75,59,1521.25,-15
54,Troy,5-2,89.25,127,1520.82,-30
55,Virginia Tech,4-2,65.286,79,1518.17,6
56,Florida Int'l,4-2,78.0,110,1513.76,8
57,Oklahoma St,4-3,66.875,83,1512.6,-24
58,Hawai`i,6-2,88.0,126,1512.53,-28
59,South Carolina,3-3,43.286,9,1511.35,-9
60,Marshall,4-2,74.286,103,1510.74,17
61,Arizona St,3-3,50.286,23,1510.64,-2
62,Louisiana Tech,4-2,56.286,44,1510.14,19
63,Northwestern,3-3,44.714,12,1508.47,6
64,Western Michigan,5-2,70.75,98,1506.15,10
65,Miami OH,3-4,69.625,95,1502.99,18
66,TCU,3-3,49.143,20,1500.1,-6
67,Missouri,3-3,47.714,18,1498.04,-12
68,Indiana,4-3,47.375,14,1497.84,-17
69,Florida Atlantic,3-3,61.571,63,1497.51,2
70,Brigham Young,4-3,54.0,34,1497.11,21
71,Baylor,4-3,54.5,35,1496.58,-9
72,Toledo,3-3,69.0,92,1493.45,-5
73,Minnesota,3-3,36.0,3,1492.91,-10
74,Florida St,3-3,64.571,73,1492.76,1
