Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,8-0,71.222,94,1675.25,0
2,Clemson,8-0,54.111,28,1654.85,0
3,Notre Dame,8-0,63.667,69,1638.11,1
4,Oklahoma,7-1,59.111,51,1635.44,2
5,Michigan,7-1,48.0,15,1629.61,-2
6,Central Florida,7-0,85.5,126,1620.34,-1
7,Georgia,7-1,56.556,42,1615.44,5
8,Fresno St,7-1,82.222,122,1613.5,-1
9,Ohio State,7-1,68.556,88,1608.87,-1
10,Penn State,6-2,53.333,26,1608.66,1
11,LSU,7-1,43.889,6,1607.34,-2
12,Utah St,7-1,84.556,124,1598.98,7
13,Houston,7-1,80.778,120,1598.01,11
14,Washington St,7-1,72.444,97,1593.32,1
15,Alabama-Birmingham,7-1,80.0,119,1582.44,10
16,Kentucky,7-1,62.0,65,1582.14,5
17,Iowa,6-2,55.0,35,1581.88,-7
18,Boise St,6-2,70.778,93,1580.7,8
19,Utah,6-2,57.333,49,1580.55,9
20,West Virginia,6-1,72.0,96,1577.89,11
21,Buffalo,7-1,74.222,103,1574.79,2
22,Texas,6-2,60.333,55,1573.36,-9
23,Georgia Southern,7-1,77.222,110,1572.4,13
24,Cincinnati,7-1,77.444,111,1570.22,5
25,Washington,6-3,61.7,61,1569.7,-5
26,Army,6-2,62.889,67,1565.6,9
27,Boston College,6-2,64.333,72,1563.62,13
28,North Texas,7-2,86.0,127,1563.61,4
29,Purdue,4-4,50.222,21,1560.91,-13
30,South Florida,7-1,84.111,123,1560.31,-16
31,Florida,6-2,53.333,27,1560.03,-13
32,Virginia,6-2,70.333,92,1558.25,6
33,Temple,5-3,63.889,71,1558.17,-3
34,Appalachian St,5-2,65.0,76,1556.11,-17
35,Wisconsin,5-3,61.0,59,1553.01,-13
36,Syracuse,6-2,67.889,86,1551.63,10
37,Iowa St,4-3,39.0,2,1549.04,10
38,Mississippi St,5-3,48.889,17,1547.49,13
39,Michigan St,5-3,40.556,3,1546.53,13
40,Florida Int'l,6-2,88.111,129,1543.39,9
41,North Carolina St,5-2,46.75,12,1542.41,-14
42,Auburn,5-3,60.111,54,1542.34,0
43,Northwestern,5-3,52.0,24,1540.42,14
44,Troy,6-2,85.444,125,1537.68,10
45,Marshall,5-2,77.875,112,1533.81,0
46,Louisiana Tech,6-2,68.111,87,1533.64,9
47,San Diego St,6-2,68.889,89,1531.31,-8
48,Miami FL,5-3,52.889,25,1531.01,-15
49,Texas Tech,5-3,54.111,29,1529.62,-15
50,Maryland,5-3,56.0,40,1529.52,13
51,Stanford,5-3,43.333,4,1529.0,-7
52,Ohio U.,5-3,79.889,117,1527.82,12
53,Oklahoma St,5-3,60.778,57,1525.54,7
54,Texas A&M;,5-3,49.111,19,1524.53,-17
55,Missouri,4-4,43.778,5,1521.91,-7
56,South Carolina,4-3,47.625,14,1519.73,6
57,Duke,5-3,57.222,47,1517.83,-14
58,Oregon,5-3,66.444,79,1510.8,-17
59,Georgia Tech,4-4,66.778,82,1510.37,20
60,Middle Tennessee St,5-3,66.889,83,1510.29,15
61,Mississippi,5-3,61.778,62,1507.19,4
62,Arizona St,4-4,55.778,38,1506.4,8
63,Memphis,4-4,81.0,121,1505.76,3
64,Colorado,5-3,78.333,114,1505.08,-14
65,Southern Cal,4-4,45.111,8,1504.35,-7
66,Toledo,4-4,62.0,64,1502.67,16
67,Arizona,4-5,64.5,73,1498.87,20
68,Miami OH,3-5,64.778,74,1498.37,-1
69,Northern Illinois,5-3,60.778,58,1496.28,5
70,Western Michigan,6-3,74.0,102,1496.28,-17
71,Florida St,4-4,61.0,60,1494.13,-12
72,Pittsburgh,4-4,44.444,7,1493.58,13
73,California,5-3,75.0,105,1493.33,7
74,Virginia Tech,4-3,67.75,85,1493.18,-18
75,Brigham Young,4-4,54.778,34,1491.76,-7
76,Louisiana-Lafayette,4-4,65.778,78,1488.02,7
77,Nevada,5-4,63.3,68,1483.68,21
78,Southern Miss,3-4,76.5,109,1482.73,-7
79,Vanderbilt,4-5,48.2,16,1482.59,9
80,Arkansas St,4-4,66.667,81,1480.99,-8
81,Wake Forest,4-4,62.333,66,1479.03,10
82,Coastal Carolina,5-3,69.556,91,1477.87,4
83,Minnesota,4-4,50.667,22,1477.37,7
84,TCU,3-5,49.111,18,1475.73,-3
85,Eastern Michigan,4-5,56.2,41,1475.72,-12
86,Air Force,3-5,65.556,77,1473.57,-9
87,Baylor,4-4,56.778,45,1473.37,-18
88,Kansas St,3-5,49.667,20,1472.29,-12
89,Indiana,4-5,45.5,11,1470.21,-11
90,Hawai`i,6-4,79.182,116,1469.78,-29
91,Tulane,3-5,59.556,53,1465.67,2
92,Akron,4-3,67.375,84,1464.06,2
93,Florida Atlantic,3-5,54.556,33,1459.74,-9
94,UNC-Charlotte,4-4,72.778,98,1448.75,8
95,Tennessee,3-5,45.333,10,1446.83,-3
96,Louisiana-Monroe,4-4,73.333,101,1445.59,1
97,Kansas,3-5,73.222,100,1444.84,3
98,Nebraska,2-6,47.222,13,1444.52,3
99,New Mexico,3-5,73.222,99,1444.46,-10
100,Wyoming,3-6,55.5,37,1443.53,10
101,Texas-San Antonio,3-5,80.0,118,1434.72,2
102,SMU,3-5,51.778,23,1432.28,-3
103,UCLA,2-6,30.667,1,1428.1,-8
104,Illinois,3-5,57.889,50,1426.98,-8
105,East Carolina,2-5,54.25,32,1425.24,4
106,Navy,2-6,56.889,46,1419.37,-2
107,North Carolina,1-6,54.125,30,1415.82,-1
108,Massachusetts,3-6,59.5,52,1414.0,9
109,Georgia St,2-6,66.444,80,1410.84,3
110,Texas St-San Marcos,2-6,86.444,128,1409.35,9
111,Arkansas,2-7,61.8,63,1408.17,-3
112,Colorado St,3-6,75.3,106,1407.7,-7
113,Ball St,3-6,78.2,113,1406.35,-6
114,South Alabama,2-6,55.0,36,1400.99,-1
115,UNLV,2-6,79.111,115,1400.03,-4
116,Western Kentucky,1-7,76.444,108,1397.21,-1
117,Louisville,2-6,56.556,43,1396.39,-3
118,Oregon St,2-6,54.222,31,1394.82,7
