Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,14-0,54.467,27,1753.87,0
2,Clemson,14-0,53.8,24,1744.69,0
3,Central Florida,12-0,70.231,100,1693.46,1
4,Ohio State,12-1,60.786,61,1681.97,1
5,Notre Dame,12-1,54.357,26,1671.14,-2
6,Oklahoma,12-2,50.667,11,1665.6,0
7,Georgia,11-2,51.143,14,1662.46,0
8,Fresno St,12-2,69.267,94,1654.51,1
9,Appalachian St,11-2,71.643,105,1650.4,1
10,Utah St,11-2,78.286,124,1639.69,5
11,Boise St,10-3,57.429,41,1629.09,0
12,Penn State,9-3,53.769,23,1627.84,0
13,Washington,10-3,57.571,45,1626.51,0
14,Washington St,11-2,65.571,80,1624.81,0
15,Michigan,10-3,51.071,13,1615.75,-7
16,Army,11-2,74.143,115,1613.82,11
17,Ohio U.,9-4,76.857,121,1606.66,6
18,Syracuse,10-3,64.357,73,1604.41,7
19,Florida,10-3,58.071,47,1600.98,13
20,Cincinnati,10-2,69.923,97,1595.93,-4
21,Texas,9-4,57.429,42,1594.85,-4
22,Missouri,8-4,54.154,25,1592.23,-4
23,Mississippi St,8-4,53.538,21,1592.22,-4
24,LSU,9-3,53.077,18,1592.2,-4
25,Iowa,8-4,61.385,66,1588.06,-3
26,North Carolina St,9-3,68.462,91,1587.25,-2
27,Utah,9-4,54.786,30,1583.21,-1
28,Troy,10-3,74.214,116,1580.85,7
29,Alabama-Birmingham,11-3,75.8,120,1576.58,10
30,Texas A&M,8-4,48.308,6,1569.82,1
31,Kentucky,9-3,58.538,49,1567.64,2
32,Iowa St,8-5,57.286,39,1565.29,-2
33,Stanford,8-4,56.692,36,1561.36,4
34,Georgia Southern,10-3,73.214,110,1560.54,6
35,Auburn,8-5,55.5,34,1557.49,19
36,Buffalo,10-4,70.733,102,1556.91,-7
37,West Virginia,8-4,58.308,48,1556.21,-9
38,Wisconsin,8-5,58.929,53,1555.2,17
39,Temple,8-5,67.786,87,1555.07,-18
40,Memphis,8-6,73.8,112,1552.61,-6
41,Marshall,9-4,72.929,108,1550.51,10
42,Northwestern,8-5,50.857,12,1549.14,-1
43,Arkansas St,8-5,74.643,117,1544.23,-5
44,Florida Int'l,9-4,81.786,128,1543.67,5
45,Virginia,8-5,70.714,101,1542.04,15
46,Michigan St,7-5,53.615,22,1540.88,-2
47,Oregon,8-4,67.538,86,1539.22,-1
48,North Texas,9-4,84.071,129,1537.87,-12
49,Boston College,7-5,61.0,62,1530.76,3
50,Brigham Young,7-6,61.857,67,1528.77,16
51,Duke,8-5,54.857,31,1528.18,21
52,Miami OH,6-6,61.231,63,1526.38,5
53,Minnesota,7-6,55.429,33,1525.23,15
54,Arizona St,7-6,58.643,50,1522.45,-6
55,Miami FL,7-6,59.214,55,1519.28,-13
56,Middle Tennessee St,8-6,59.4,57,1519.18,-11
57,Houston,8-5,75.429,119,1518.19,-14
58,Pittsburgh,7-6,45.0,2,1517.93,1
59,Toledo,7-6,72.857,107,1517.41,-6
60,Eastern Michigan,7-6,73.929,114,1511.55,-2
61,Tulane,7-6,65.429,79,1509.97,16
62,Nevada,8-5,73.0,109,1509.25,7
63,Southern Miss,6-5,73.917,113,1506.97,1
64,TCU,7-6,56.857,37,1506.47,6
65,Purdue,6-7,45.643,3,1506.29,-18
66,Oklahoma St,6-6,57.385,40,1506.11,-1
67,Georgia Tech,7-6,64.357,72,1505.92,-17
68,Louisiana Tech,8-5,75.286,118,1505.58,11
69,Wake Forest,7-6,54.643,28,1502.89,5
70,South Carolina,7-6,53.429,20,1500.52,-14
71,Wyoming,6-6,64.231,71,1498.93,-4
72,Baylor,7-6,60.429,60,1494.09,14
73,Vanderbilt,6-7,54.643,29,1493.27,-11
74,San Diego St,7-6,62.286,68,1492.52,-13
75,Arizona,5-7,65.231,77,1492.03,-2
76,Kansas St,5-7,57.077,38,1490.67,-1
77,Northern Illinois,8-6,58.0,46,1488.76,-14
78,Florida Atlantic,5-7,59.308,56,1484.99,0
79,Southern Cal,5-7,55.385,32,1484.59,1
80,Virginia Tech,6-6,61.308,64,1480.16,3
81,Air Force,5-7,67.308,85,1479.7,3
82,California,7-6,65.571,81,1479.41,-6
83,Maryland,5-7,48.769,8,1477.25,2
84,Louisiana-Lafayette,7-7,63.267,69,1473.49,-13
85,Louisiana-Monroe,6-6,72.462,106,1468.3,3
86,Nebraska,4-8,48.615,7,1467.83,3
87,South Florida,7-6,68.286,89,1464.5,-6
88,Texas Tech,5-7,57.462,43,1462.77,2
89,Western Michigan,7-6,67.0,84,1457.78,-7
90,Indiana,5-7,47.077,4,1457.09,1
91,Florida St,5-7,49.308,10,1449.44,1
92,SMU,5-7,58.769,51,1448.87,1
93,Hawai`i,8-6,69.4,95,1448.77,-6
94,Tennessee,5-7,49.154,9,1448.7,0
95,Mississippi,5-7,60.077,58,1440.25,0
96,Colorado,5-7,68.308,90,1435.78,0
97,Western Kentucky,3-9,77.923,123,1416.67,0
98,UNC-Charlotte,5-7,65.154,76,1416.19,0
99,UCLA,3-9,40.615,1,1414.46,0
100,Coastal Carolina,5-7,65.0,75,1405.71,1
101,UNLV,4-8,71.615,104,1405.65,1
102,Illinois,4-8,65.385,78,1400.67,1
103,Kansas,3-9,63.692,70,1400.11,1
104,Navy,3-10,52.071,16,1399.72,-4
105,Tulsa,3-9,69.692,96,1390.66,0
106,North Carolina,2-9,59.083,54,1390.41,0
107,Massachusetts,4-8,66.385,82,1388.3,0
108,East Carolina,3-9,61.308,65,1387.05,0
109,Texas St-San Marcos,3-9,76.923,122,1386.23,0
110,Ball St,4-8,69.923,98,1379.78,0
111,Old Dominion,4-8,78.615,125,1379.66,0
112,Texas-San Antonio,3-9,64.923,74,1377.26,0
113,Akron,4-8,66.615,83,1376.37,0
114,New Mexico,3-9,68.077,88,1375.99,0
115,Arkansas,2-10,53.077,19,1370.48,0
116,Colorado St,3-9,70.077,99,1368.58,0
117,Bowling Green,3-9,71.231,103,1367.22,0
118,South Alabama,3-9,60.308,59,1365.01,0
119,Kent St,2-10,68.538,92,1354.37,0
120,Georgia St,2-10,58.846,52,1354.04,0
121,San José St,1-11,56.154,35,1348.44,0
122,Rutgers,1-11,51.385,15,1347.81,0
123,Louisville,2-10,47.231,5,1341.57,0
124,Rice,2-11,68.786,93,1338.83,0
125,Oregon St,2-10,52.077,17,1338.08,0
126,Central Michigan,1-11,73.769,111,1333.1,0
127,New Mexico St,3-9,79.308,126,1331.51,0
128,UTEP,1-11,79.769,127,1311.22,0
129,Connecticut,1-11,57.538,44,1296.46,0
