Ball St,1500,MAC West,FALSE,FALSE
Old Dominion,1100,CUSA East,FALSE,TRUE
Texas-San Antonio,1100,CUSA West,FALSE,TRUE
Akron,1500,MAC East,FALSE,FALSE
New Mexico,1500,MW Mountain,FALSE,FALSE
Arkansas,1500,SEC West,TRUE,FALSE
Colorado St,1500,MW Mountain,FALSE,FALSE
Bowling Green,1500,MAC East,FALSE,FALSE
South Alabama,1500,Sun Belt West,FALSE,FALSE
Kent St,1500,MAC East,FALSE,FALSE
Georgia St,1500,Sun Belt East,FALSE,FALSE
San José St,1500,MW West,FALSE,FALSE
Rutgers,1500,Big 10 East,TRUE,FALSE
Louisville,1500,ACC Atlantic,TRUE,FALSE
Rice,1100,CUSA West,FALSE,TRUE
Oregon St,1500,PAC 12 North,TRUE,FALSE
Central Michigan,1500,MAC West,FALSE,FALSE
New Mexico St,1500,Independent,FALSE,FALSE
UTEP,1100,CUSA West,FALSE,TRUE
Connecticut,1500,AAC East,FALSE,FALSE
Liberty,1500,Independent,FALSE,FALSE
Not FBS,1100,FCS,FALSE,TRUE
Alabama A&M,1100,SWAC East,FALSE,TRUE
Alabama St,1100,SWAC East,FALSE,TRUE
Albany NY,1100,CAA,FALSE,TRUE
Alcorn St,1100,SWAC East,FALSE,TRUE
Arkansas-Pine Bluff,1100,SWAC West,FALSE,TRUE
Austin Peay,1100,OVC,FALSE,TRUE
Bethune-Cookman,1100,MEAC,FALSE,TRUE
Brown,1100,Ivy League,FALSE,TRUE
Bryant,1100,NEC,FALSE,TRUE
Bucknell,1100,Patriot,FALSE,TRUE
Butler,1100,Pioneer,FALSE,TRUE
Cal Poly SLO,1100,Big Sky,FALSE,TRUE
Campbell,1100,Big South,FALSE,TRUE
Central Arkansas,1100,Southland,FALSE,TRUE
Central Conn St,1100,NEC,FALSE,TRUE
Charleston Southern,1100,Big South,FALSE,TRUE
Chattanooga,1100,Southern,FALSE,TRUE
Colgate,1100,Patriot,FALSE,TRUE
Columbia,1100,Ivy League,FALSE,TRUE
Cornell NY,1100,Ivy League,FALSE,TRUE
Dartmouth,1100,Ivy League,FALSE,TRUE
Davidson,1100,Pioneer,FALSE,TRUE
Dayton,1100,Pioneer,FALSE,TRUE
Delaware,1100,CAA,FALSE,TRUE
Delaware St,1100,MEAC,FALSE,TRUE
Drake,1100,Pioneer,FALSE,TRUE
Duquesne,1100,NEC,FALSE,TRUE
East Tennessee St,1100,Southern,FALSE,TRUE
Eastern Illinois,1100,OVC,FALSE,TRUE
Eastern Kentucky,1100,OVC,FALSE,TRUE
Eastern Washington,1100,Big Sky,FALSE,TRUE
Elon,1100,CAA,FALSE,TRUE
Florida A&M,1100,MEAC,FALSE,TRUE
Fordham,1100,Patriot,FALSE,TRUE
Furman,1100,Southern,FALSE,TRUE
Gardner-Webb,1100,Big South,FALSE,TRUE
Georgetown DC,1100,Patriot,FALSE,TRUE
Grambling St,1100,SWAC West,FALSE,TRUE
Hampton,1100,Big South,FALSE,TRUE
Harvard,1100,Ivy League,FALSE,TRUE
Holy Cross,1100,Patriot,FALSE,TRUE
Houston Baptist,1100,Southland,FALSE,TRUE
Howard,1100,MEAC,FALSE,TRUE
Idaho,1100,Big Sky,FALSE,TRUE
Idaho St,1100,Big Sky,FALSE,TRUE
Illinois St,1100,MVFC,FALSE,TRUE
Incarnate Word,1100,Southland,FALSE,TRUE
Indiana St,1100,MVFC,FALSE,TRUE
Jackson St,1100,SWAC East,FALSE,TRUE
Jacksonville FL,1100,Pioneer,FALSE,TRUE
Jacksonville St,1100,OVC,FALSE,TRUE
James Madison,1100,CAA,FALSE,TRUE
Kennesaw St,1100,Big South,FALSE,TRUE
Lafayette,1100,Patriot,FALSE,TRUE
Lamar,1100,Southland,FALSE,TRUE
Lehigh,1100,Patriot,FALSE,TRUE
LIU Post,1100,NEC,FALSE,TRUE
Maine,1100,CAA,FALSE,TRUE
Marist,1100,Pioneer,FALSE,TRUE
McNeese St,1100,Southland,FALSE,TRUE
Mercer,1100,Southern,FALSE,TRUE
Missouri St,1100,MVFC,FALSE,TRUE
Missouri Valley,1100,SWAC East,FALSE,TRUE
