,_id,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_id,_home_team,_home_points,_away_id,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,home_won,played,home_fbs,away_fbs,fbs_count
17,401114223.0,2019.0,1.0,regular,2019-08-30T02:15:00.000Z,False,False,252.0,BYU,12.0,254.0,Utah,30.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.9444389791664403,1471.5965085926412,1528.4034914073588,-28.403491407358842,28.403491407358842,False,True,True,True,2
18,401114238.0,2019.0,1.0,regular,2019-08-30T22:00:00.000Z,False,False,349.0,Army,14.0,242.0,Rice,7.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.0794415416798357,1517.370642606162,1482.629357393838,17.370642606161937,-17.370642606161937,True,True,True,True,2
19,401112212.0,2019.0,1.0,regular,2019-08-30T23:00:00.000Z,False,False,127.0,Michigan State,28.0,202.0,Tulsa,7.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.091042453358316,1525.8210642913223,1474.1789357086777,25.821064291322273,-25.821064291322273,True,True,True,True,2
20,401112264.0,2019.0,1.0,regular,2019-08-30T23:15:00.000Z,False,False,164.0,Rutgers,48.0,113.0,UMass,21.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.332204510175204,1527.8356147440122,1472.1643852559878,27.83561474401222,-27.83561474401222,True,True,True,True,2
21,401117856.0,2019.0,1.0,regular,2019-08-30T23:55:00.000Z,False,False,58.0,South Florida,0.0,275.0,Wisconsin,49.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.912023005428146,1462.2627221666773,1537.7372778333227,-37.73727783332265,37.73727783332265,False,True,True,True,2
22,401112430.0,2019.0,1.0,regular,2019-08-31T00:00:00.000Z,False,False,154.0,Wake Forest,38.0,328.0,Utah State,35.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,1.3862943611198906,1511.580428404108,1488.419571595892,11.580428404108034,-11.580428404108034,True,True,True,True,2
23,401112262.0,2019.0,1.0,regular,2019-08-31T01:30:00.000Z,False,False,2440.0,Nevada,34.0,2509.0,Purdue,31.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,1.3862943611198906,1511.580428404108,1488.419571595892,11.580428404108034,-11.580428404108034,True,True,True,True,2
24,401114184.0,2019.0,1.0,regular,2019-08-31T02:00:00.000Z,True,False,38.0,Colorado,52.0,36.0,Colorado State,31.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.091042453358316,1525.8210642913223,1474.1789357086777,25.821064291322273,-25.821064291322273,True,True,True,True,2
25,401112122.0,2019.0,1.0,regular,2019-08-31T02:30:00.000Z,False,False,204.0,Oregon State,36.0,197.0,Oklahoma State,52.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.833213344056216,1472.669445200764,1527.330554799236,-27.330554799236097,27.330554799236097,False,True,True,True,2
26,401112251.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,194.0,Ohio State,45.0,2226.0,Florida Atlantic,21.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.2188758248682006,1526.88892206233,1473.11107793767,26.88892206233004,-26.88892206233004,True,True,True,True,2
27,401112201.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,120.0,Maryland,79.0,47.0,Howard,0.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,5.063266069476124,1512.4065888286707,1191.5934111713293,12.406588828670692,-12.406588828670692,True,True,True,False,1
28,401110726.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,235.0,Memphis,15.0,145.0,Ole Miss,10.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,1.791759469228055,1514.9674865834527,1485.0325134165473,14.967486583452683,-14.967486583452683,True,True,True,True,2
29,401112238.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,158.0,Nebraska,35.0,6.0,South Alabama,21.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.70805020110221,1522.6217334125636,1477.3782665874364,22.62173341256357,-22.62173341256357,True,True,True,True,2
30,401112145.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,356.0,Illinois,42.0,2006.0,Akron,3.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.6888794541139363,1530.815103637327,1469.184896362673,30.815103637326956,-30.815103637326956,True,True,True,True,2
31,401112157.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,True,False,2050.0,Ball State,24.0,84.0,Indiana,34.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.3978952727983707,1476.8687351788976,1523.1312648211024,-23.131264821102377,23.131264821102377,False,True,True,True,2
32,401112431.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,52.0,Florida State,31.0,68.0,Boise State,36.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,1.791759469228055,1482.7158161373477,1517.2841838626523,-17.2841838626523,17.2841838626523,False,True,True,True,2
33,401112432.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,152.0,NC State,34.0,151.0,East Carolina,6.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.367295829986474,1528.1287505512962,1471.8712494487038,28.128750551296207,-28.128750551296207,True,True,True,True,2
34,401112085.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,66.0,Iowa State,29.0,2460.0,Northern Iowa,26.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,1.6018107113780249,1503.9249382917544,1200.0750617082456,3.9249382917544153,-3.9249382917544153,True,True,True,False,1
35,401112096.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,2305.0,Kansas,24.0,282.0,Indiana State,17.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,2.4027160670670376,1505.8874074376315,1198.1125925623685,5.887407437631509,-5.887407437631509,True,True,True,False,1
