Game ID,Home,Home Elo,Home Score,Away,Away Elo,Away Score,Obs. Spread,Pred. Spread,Elo Diff.,Home Win,Away Win
80,Sam Houston St,1466.68,31,New Mexico,1330.43,39,8,13.63,136.25,0,1
81,Elon,1392.53,21,North Carolina A&T,1487.58,24,3,9.5,95.05,0,1
82,East Carolina,1425.53,6,North Carolina St,1450.19,34,28,2.47,24.66,0,1
84,Butler,1228.19,10,North Dakota St,1649.89,57,47,42.17,421.69,0,1
85,Abilene Christian,1354.72,31,North Texas,1359.26,51,20,0.45,4.54,0,1
86,Illinois St,1459.0,10,Northern Illinois,1388.32,24,14,7.07,70.68,0,1
87,Florida Atlantic,1528.24,21,Ohio State,1782.52,45,24,25.43,254.28,0,1
88,Rhode Island,1265.27,20,Ohio U.,1495.01,41,21,22.97,229.74,0,1
89,Norfolk St,1370.73,21,Old Dominion,1249.03,24,3,12.17,121.7,0,1
90,Idaho,1351.29,7,Penn State,1676.97,79,72,32.57,325.68,0,1
92,Virginia,1600.93,30,Pittsburgh,1514.67,14,16,8.63,86.26,1,0
94,Weber St,1505.75,0,San Diego St,1564.75,6,6,5.9,59.0,0,1
95,North Carolina,1509.9,24,South Carolina,1484.79,20,4,2.51,25.11,1,0
96,Wofford,1509.68,13,South Carolina St,1470.18,28,15,3.95,39.5,0,1
97,Montana,1513.19,31,South Dakota,1402.91,17,14,11.03,110.28,1,0
98,Fresno St,1461.2,23,Southern Cal,1598.89,31,8,13.77,137.69,0,1
99,Alcorn St,1455.03,10,Southern Miss,1466.81,38,28,1.18,11.79,0,1
100,Northwestern,1432.86,7,Stanford,1445.65,17,10,1.28,12.78,0,1
101,Arkansas-Pine Bluff,1339.69,7,TCU,1526.55,39,32,18.69,186.87,0,1
102,Bucknell,1242.48,12,Temple,1539.7,56,44,29.72,297.22,0,1
103,Georgia St,1534.13,38,Tennessee,1572.29,30,8,3.82,38.15,1,0
105,Samford,1367.68,58,Tennessee Tech,1320.22,59,1,4.75,47.46,0,1
106,Louisiana Tech,1485.98,14,Texas,1537.72,45,31,5.17,51.74,0,1
107,Prairie View A&M,1385.85,44,Texas Southern,1138.0,23,21,24.78,247.84,1,0
108,Montana St,1523.76,10,Texas Tech,1506.64,45,35,1.71,17.12,0,1
109,Incarnate Word,1316.83,7,Texas-San Antonio,1309.18,35,28,0.77,7.66,0,1
110,Towson,1463.92,28,The Citadel,1409.07,21,7,5.49,54.85,1,0
111,Campbell,1388.35,14,Troy,1507.77,43,29,11.94,119.43,0,1
112,Southern Utah,1232.93,23,UNLV,1375.75,56,33,14.28,142.82,0,1
113,Houston Baptist,1301.82,34,UTEP,1209.29,36,2,9.25,92.53,0,1
114,Georgia,1729.6,30,Vanderbilt,1412.55,6,24,31.7,317.04,1,0
115,Eastern Washington,1414.82,14,Washington,1588.25,47,33,17.34,173.42,0,1
116,New Mexico St,1356.47,7,Washington St,1552.18,58,51,19.57,195.72,0,1
117,James Madison,1627.06,13,West Virginia,1455.98,20,7,17.11,171.08,0,1
118,Mercer,1289.67,49,Western Carolina,1248.32,27,22,4.13,41.35,1,0
119,Monmouth NJ,1531.41,13,Western Michigan,1541.63,48,35,1.02,10.22,0,1
120,Lafayette,1255.7,17,William & Mary,1366.01,30,13,11.03,110.31,0,1
121,Missouri,1530.34,31,Wyoming,1574.5,37,6,4.42,44.16,0,1
123,Bethune-Cookman,1398.87,36,Jackson St,1257.78,15,21,14.11,141.08,1,0
124,Houston,1457.12,31,Oklahoma,1674.73,49,18,21.76,217.61,0,1
125,Notre Dame,1663.92,35,Louisville,1552.26,17,18,11.17,111.67,1,0
127,Sacramento St,1510.47,7,Arizona St,1519.73,19,12,0.93,9.26,0,1
128,Marshall,1454.56,7,Boise St,1655.03,14,7,20.05,200.47,0,1
129,Wake Forest,1582.47,41,Rice,1298.96,21,20,28.35,283.51,1,0
130,William & Mary,1366.01,17,Virginia,1600.93,52,35,23.49,234.92,0,1
132,Alabama-Birmingham,1471.39,31,Akron,1242.49,20,11,22.89,228.89,1,0
133,New Mexico St,1356.47,10,Alabama,1730.52,62,52,37.41,374.06,0,1
134,Arkansas-Pine Bluff,1339.69,52,Alabama A&M,1345.26,34,18,0.56,5.58,1,0
136,Bryant,1267.87,3,Albany NY,1471.51,45,42,20.36,203.64,0,1
138,UNC-Charlotte,1414.8,41,Appalachian St,1675.51,56,15,26.07,260.7,0,1
139,Northern Arizona,1301.02,41,Arizona,1422.92,65,24,12.19,121.9,0,1
140,Tulane,1523.84,6,Auburn,1654.33,24,18,13.05,130.49,0,1
141,Central Arkansas,1434.53,24,Austin Peay,1523.1,16,8,8.86,88.57,1,0
142,Fordham,1279.64,29,Ball St,1452.32,57,28,17.27,172.68,0,1
143,Texas-San Antonio,1309.18,14,Baylor,1665.52,63,49,35.63,356.34,0,1
144,Richmond,1375.92,13,Boston College,1523.54,45,32,14.76,147.62,0,1
148,Texas A&M,1613.82,10,Clemson,1767.37,24,14,15.36,153.55,0,1
149,Nebraska,1503.07,31,Colorado,1455.02,34,3,4.8,48.05,0,1
150,Western Illinois,1229.84,13,Colorado St,1451.19,38,25,22.13,221.35,0,1
151,Illinois,1528.31,31,Connecticut,1343.13,23,8,18.52,185.18,1,0
154,North Carolina A&T,1487.58,13,Duke,1435.8,45,32,5.18,51.78,0,1
156,Gardner-Webb,1255.48,9,East Carolina,1425.53,48,39,17.0,170.04,0,1
159,The Citadel,1409.07,28,Elon,1392.53,35,7,1.65,16.54,0,1
160,Tennessee-Martin,1406.89,0,Florida,1675.82,45,45,26.89,268.93,0,1
161,Central Florida,1641.4,48,Florida Atlantic,1528.24,14,34,11.32,113.15,1,0
162,Western Kentucky,1493.81,20,Florida Int'l,1423.54,14,6,7.03,70.26,1,0
163,Louisiana-Monroe,1455.67,44,Florida St,1557.52,45,1,10.18,101.85,0,1
164,Minnesota,1670.26,38,Fresno St,1461.2,35,3,20.91,209.06,1,0
165,Marist,1278.23,3,Georgetown DC,1340.76,43,40,6.25,62.53,0,1
166,Murray St,1302.9,17,Georgia,1729.6,63,46,42.67,426.7,0,1
167,Maine,1401.49,18,Georgia Southern,1502.44,26,8,10.09,100.95,0,1
168,Furman,1483.81,42,Georgia St,1534.13,48,6,5.03,50.32,0,1
169,South Florida,1456.26,10,Georgia Tech,1387.92,14,4,6.83,68.34,0,1
171,Oregon St,1507.36,28,Hawai`i,1531.49,31,3,2.41,24.13,0,1
172,New Hampshire,1429.99,10,Holy Cross,1405.18,13,3,2.48,24.81,0,1
173,Prairie View A&M,1385.85,17,Houston,1457.12,37,20,7.13,71.27,0,1
