,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2016,Air Force,Mountain West,Mountain,13,10,3,0,8,5,3,0,6,5,1,0,5,4,1,0
1,2016,Akron,Mid-American,East,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
2,2016,Alabama,SEC,West,15,14,1,0,9,9,0,0,7,7,0,0,4,4,0,0
3,2016,Appalachian State,Sun Belt,,13,10,3,0,8,7,1,0,6,5,1,0,6,4,2,0
4,2016,Arizona,Pac-12,South,12,3,9,0,9,1,8,0,7,3,4,0,4,0,4,0
5,2016,Arizona State,Pac-12,South,12,5,7,0,9,2,7,0,6,4,2,0,6,1,5,0
6,2016,Arkansas,SEC,West,13,7,6,0,8,3,5,0,7,5,2,0,4,2,2,0
7,2016,Arkansas State,Sun Belt,,13,8,5,0,8,7,1,0,6,4,2,0,7,4,3,0
8,2016,Army,FBS Independents,,13,8,5,0,0,0,0,0,5,3,2,0,5,3,2,0
9,2016,Auburn,SEC,West,13,8,5,0,8,5,3,0,8,6,2,0,4,2,2,0
10,2016,Ball State,Mid-American,West,12,4,8,0,8,1,7,0,5,1,4,0,7,3,4,0
11,2016,Baylor,Big 12,,13,7,6,0,9,3,6,0,6,4,2,0,5,2,3,0
12,2016,Boise State,Mountain West,Mountain,13,10,3,0,8,6,2,0,6,6,0,0,6,4,2,0
13,2016,Boston College,ACC,Atlantic,13,7,6,0,8,2,6,0,6,3,3,0,5,3,2,0
14,2016,Bowling Green,Mid-American,East,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
15,2016,Buffalo,Mid-American,East,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0
16,2016,BYU,FBS Independents,,13,9,4,0,0,0,0,0,6,5,1,0,4,2,2,0
17,2016,California,Pac-12,North,12,5,7,0,9,3,6,0,6,4,2,0,5,0,5,0
18,2016,Central Michigan,Mid-American,West,13,6,7,0,8,3,5,0,6,4,2,0,6,2,4,0
19,2016,Charlotte,Conference USA,East,12,4,8,0,8,3,5,0,6,1,5,0,6,3,3,0
20,2016,Cincinnati,American Athletic,East,12,4,8,0,8,1,7,0,7,3,4,0,5,1,4,0
21,2016,Clemson,ACC,Atlantic,15,14,1,0,9,8,1,0,7,6,1,0,5,5,0,0
22,2016,Colorado,Pac-12,South,14,10,4,0,10,8,2,0,6,6,0,0,5,3,2,0
23,2016,Colorado State,Mountain West,Mountain,13,7,6,0,8,5,3,0,6,5,1,0,5,2,3,0
24,2016,Connecticut,American Athletic,East,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
25,2016,Duke,ACC,Coastal,12,4,8,0,8,1,7,0,6,3,3,0,6,1,5,0
26,2016,East Carolina,American Athletic,East,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
27,2016,Eastern Michigan,Mid-American,West,13,7,6,0,8,4,4,0,6,3,3,0,6,4,2,0
28,2016,Florida,SEC,East,13,9,4,0,9,6,3,0,5,5,0,0,5,2,3,0
29,2016,Florida Atlantic,Conference USA,East,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
30,2016,Florida International,Conference USA,East,12,4,8,0,8,4,4,0,7,2,5,0,5,2,3,0
31,2016,Florida State,ACC,Atlantic,13,10,3,0,8,5,3,0,6,4,2,0,5,4,1,0
32,2016,Fresno State,Mountain West,West,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
33,2016,Georgia,SEC,East,13,8,5,0,8,4,4,0,6,3,3,0,4,3,1,0
34,2016,Georgia Southern,Sun Belt,,12,5,7,0,8,4,4,0,5,3,2,0,7,2,5,0
35,2016,Georgia State,Sun Belt,,12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
36,2016,Georgia Tech,ACC,Coastal,13,9,4,0,8,4,4,0,7,5,2,0,4,2,2,0
37,2016,Hawai'i,Mountain West,West,14,7,7,0,8,4,4,0,6,3,3,0,6,3,3,0
