,did_home_win,conference_game,neutral_site,season,week,conference,l3g_avg_points,l5g_avg_points,l7g_avg_points,l3g_avg_spread,l5g_avg_spread,l7g_avg_spread,l3g_opp_avg_points,l5g_opp_avg_points,l7g_opp_avg_points,l3g_opp_avg_spread,l5g_opp_avg_spread,l7g_opp_avg_spread,season_type_postseason,season_type_regular,conference_ACC,conference_American Athletic,conference_Big 12,conference_Big East,conference_Big Ten,conference_Conference USA,conference_FBS Independents,conference_FCS,conference_Mid-American,conference_Mountain West,conference_Pac-12,conference_SEC,conference_Sun Belt,conference_Western Athletic,team
7698,False,True,False,2019,14,Big Ten,15.0,25.2,26.57142857142857,2.6666666666666665,14.0,8.571428571428571,11.333333333333336,10.2,17.0,-3.6666666666666665,-15.0,-9.571428571428571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Iowa
7732,True,True,False,2019,14,Big Ten,32.333333333333336,31.8,41.57142857142857,14.0,16.2,23.857142857142854,18.33333333333333,15.6,17.714285714285715,-15.0,-17.2,-24.857142857142854,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Penn State
7731,True,True,False,2019,14,American Athletic,22.0,18.0,18.571428571428573,-23.0,-28.2,-29.57142857142857,44.0,45.2,47.14285714285714,22.0,27.2,28.57142857142857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut
7727,True,True,False,2019,14,SEC,44.0,39.2,45.57142857142857,23.66666666666667,21.0,24.857142857142854,19.33333333333333,17.2,19.714285714285715,-24.66666666666667,-22.0,-25.857142857142854,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alabama
7696,True,True,False,2019,14,ACC,35.666666666666664,33.0,29.857142857142854,16.0,6.4,0.42857142857142855,18.666666666666668,25.6,28.42857142857143,-17.0,-7.4,-1.4285714285714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia Tech
7733,True,True,False,2019,14,American Athletic,25.33333333333333,24.8,26.0,-14.666666666666664,-11.0,-8.857142857142858,39.0,34.8,33.857142857142854,13.666666666666664,10.0,7.857142857142858,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tulane
7717,True,True,False,2019,14,Mountain West,30.33333333333333,36.0,35.57142857142857,15.666666666666664,21.0,18.714285714285715,14.666666666666664,15.0,16.857142857142858,-16.666666666666668,-22.0,-19.714285714285715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Air Force
7711,False,True,False,2019,14,Big Ten,29.0,31.2,31.142857142857146,4.0,1.0,4.142857142857143,25.0,30.2,27.0,-5.0,-2.0,-5.142857142857143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Illinois
7761,True,True,True,2019,15,ACC,56.66666666666666,53.4,49.0,48.66666666666666,43.8,38.714285714285715,8.0,9.6,10.285714285714286,-49.66666666666666,-44.8,-39.714285714285715,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Clemson
7740,False,True,False,2019,14,American Athletic,27.0,28.4,34.142857142857146,-12.0,-4.6,-0.2857142857142857,39.0,33.0,34.42857142857143,11.0,3.6,-0.7142857142857143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Houston
7743,False,True,False,2019,14,ACC,35.333333333333336,35.8,33.57142857142857,1.3333333333333333,7.6,2.7142857142857144,33.0,27.2,29.857142857142854,-2.333333333333333,-8.6,-3.7142857142857135,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina
7652,True,True,False,2019,13,Pac-12,31.66666666666667,34.2,28.857142857142854,0.6666666666666666,7.0,3.8571428571428568,31.0,27.2,25.0,-1.6666666666666667,-8.0,-4.857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USC
7763,True,False,True,2019,15,American Athletic,37.0,37.4,38.42857142857143,14.0,16.6,18.428571428571427,23.0,20.8,20.0,-15.0,-17.6,-19.428571428571427,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Navy
7698,False,True,False,2019,14,Big Ten,21.66666666666667,23.2,22.857142857142854,-6.666666666666668,-5.0,-1.1428571428571428,28.33333333333333,28.2,24.0,5.666666666666668,4.0,0.14285714285714285,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Nebraska
7715,False,True,False,2019,14,Big Ten,33.0,35.0,35.142857142857146,24.0,25.4,22.428571428571423,9.0,9.6,12.714285714285715,-25.0,-26.4,-23.42857142857143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Michigan
7745,True,False,False,2019,14,ACC,24.0,22.0,21.571428571428577,-9.666666666666666,-8.8,-13.428571428571427,32.666666666666664,29.8,34.0,8.666666666666666,7.8,12.428571428571427,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida State
7734,False,False,False,2019,14,FBS Independents,23.0,27.4,27.42857142857143,-3.0,6.2,6.571428571428571,25.0,20.2,19.857142857142858,2.0,-7.2,-7.571428571428571,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Notre Dame
7735,True,True,False,2019,14,Pac-12,43.33333333333334,41.2,35.142857142857146,6.0,6.0,-3.1428571428571432,36.333333333333336,34.2,37.285714285714285,-7.0,-7.0,2.142857142857143,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Oregon State
7691,True,True,False,2019,14,SEC,24.0,22.2,24.57142857142857,-16.0,-12.4,-10.571428571428571,39.0,33.6,34.142857142857146,15.0,11.4,9.571428571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ole Miss
7702,True,True,False,2019,14,Pac-12,29.66666666666667,26.6,29.285714285714285,-7.333333333333332,-8.4,-2.4285714285714284,36.0,34.0,30.714285714285715,6.333333333333332,7.4,1.4285714285714286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Washington State
7734,False,False,False,2019,14,Pac-12,25.66666666666667,21.2,24.42857142857143,-4.0,-3.4,3.4285714285714284,29.66666666666667,24.6,21.0,3.0,2.4,-4.428571428571429,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stanford
7737,True,True,False,2019,14,SEC,30.33333333333333,30.0,28.42857142857143,17.666666666666668,13.8,9.571428571428571,12.666666666666664,16.2,18.857142857142858,-18.666666666666668,-14.8,-10.571428571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Tennessee
