game_id,did_home_win,conference_game,neutral_site,season,week,away_l3g_avg_points,away_l5g_avg_points,away_l7g_avg_points,home_l3g_avg_points,home_l5g_avg_points,home_l7g_avg_points,home_l3g_avg_spread,home_l5g_avg_spread,home_l7g_avg_spread,away_l3g_avg_spread,away_l5g_avg_spread,away_l7g_avg_spread,home_l3g_opp_avg_points,home_l5g_opp_avg_points,home_l7g_opp_avg_points,away_l3g_opp_avg_points,away_l5g_opp_avg_points,away_l7g_opp_avg_points,home_l3g_opp_avg_spread,home_l5g_opp_avg_spread,home_l7g_opp_avg_spread,away_l3g_opp_avg_spread,away_l5g_opp_avg_spread,away_l7g_opp_avg_spread,season_type_postseason,season_type_regular,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big East,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_FCS,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,away_conference_Western Athletic,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big East,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_FCS,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,home_conference_Western Athletic
10,TRUE,FALSE,FALSE,2011,1,9,13.4,13.4,35,34.8,34.85714286,33,31,25.85714286,-21.33333333,-16.8,-16.8,2,3.8,9,29.33333333,29.2,29.2,-34,-32,-26.85714286,20.33333333,15.8,15.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,FALSE,FALSE,FALSE,2011,1,4.333333333,6.6,11.14285714,22.33333333,22.2,26.57142857,0,-1.2,3.714285714,-45,-46.2,-29.57142857,22.33333333,23.4,22.85714286,48.33333333,51.8,39.71428571,-1,0.2,-4.714285714,44,45.2,28.57142857,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,FALSE,FALSE,TRUE,2011,1,6.666666667,16.6,16.14285714,23.66666667,22.4,25.71428571,4.666666667,0.8,3,-18.66666667,-5.8,-5,19,21.6,22.71428571,24.33333333,21.4,20.14285714,-5.666666667,-1.8,-4,17.66666667,4.8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,TRUE,FALSE,FALSE,2011,1,23.66666667,24.2,23.57142857,31.66666667,29,27.85714286,0.666666667,2.2,5.714285714,-12.66666667,-17.6,-17.71428571,31,26.8,22.14285714,35.33333333,40.8,40.28571429,-1.666666667,-3.2,-6.714285714,11.66666667,16.6,16.71428571,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,TRUE,FALSE,FALSE,2011,1,26.33333333,22.6,21.42857143,27,27.8,25.85714286,-5,3.2,5.857142857,-11.66666667,-17.2,-13.71428571,32,24.6,20,37,38.8,34.14285714,4,-4.2,-6.857142857,10.66666667,16.2,12.71428571,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,TRUE,FALSE,FALSE,2011,1,25.66666667,27,23,27,33.4,33.85714286,1,10.8,11.57142857,-5,-4.2,-7.571428571,26,22.6,22.28571429,29.66666667,30.2,29.57142857,-2,-11.8,-12.57142857,4,3.2,6.571428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,TRUE,FALSE,FALSE,2011,1,24.66666667,19,17.42857143,28.66666667,34,35.14285714,8.666666667,19.2,23.57142857,-2.333333333,-20.4,-21.42857143,20,14.8,11.57142857,26,38.4,37.85714286,-9.666666667,-20.2,-24.57142857,1.333333333,19.4,20.42857143,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,FALSE,FALSE,FALSE,2011,1,9.333333333,11.8,13.85714286,31,34.6,28.71428571,-2,6.6,-1.142857143,-15.33333333,-15.8,-9.571428571,33,28,29.85714286,23.66666667,26.6,22.42857143,1,-7.6,0.142857143,14.33333333,14.8,8.571428571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,TRUE,FALSE,FALSE,2011,1,16.66666667,22.8,24.71428571,28.66666667,39.4,35,17,24.6,19.14285714,-20.33333333,-13.4,-11.57142857,11.66666667,14.8,15.85714286,36,35.2,35.28571429,-18,-25.6,-20.14285714,19.33333333,12.4,10.57142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,TRUE,FALSE,FALSE,2011,1,11.66666667,12.4,13.28571429,48.33333333,52.6,47.28571429,38,45.4,35,-29.66666667,-30.2,-28.42857143,10.33333333,7.2,12.28571429,40.33333333,41.6,40.71428571,-39,-46.4,-36,28.66666667,29.2,27.42857143,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,TRUE,FALSE,FALSE,2011,1,21,17.4,22.57142857,25.66666667,24.2,29.57142857,4,-3.2,-0.142857143,-11.66666667,-20.2,-14,21.66666667,27.4,29.71428571,31.66666667,36.6,35.57142857,-5,2.2,-0.857142857,10.66666667,19.2,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,TRUE,FALSE,FALSE,2011,1,8.333333333,9.8,10,20.33333333,27.8,32.28571429,1.666666667,16,18.42857143,-44.66666667,-42.4,-41.42857143,18.66666667,11.8,13.85714286,52,51.2,50.42857143,-2.666666667,-17,-19.42857143,43.66666667,41.4,40.42857143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
