Rank,Team,Record,SoS,SoS Rank,ELO
1,Central Florida,13-0,62.5,73,1584.06
2,Wisconsin,13-1,56.0,38,1579.34
3,Alabama,13-1,53.733,28,1577.8
4,Ohio State,12-2,48.2,10,1571.31
5,Georgia,13-2,48.625,11,1569.66
6,Oklahoma,12-2,53.467,24,1566.94
7,Clemson,12-2,50.467,15,1562.97
8,Penn State,11-2,51.643,17,1560.77
9,Southern Cal,11-3,53.533,25,1555.0
10,Boise St,11-3,58.533,53,1554.12
11,Troy,11-2,72.071,109,1553.4
12,Florida Atlantic,11-3,61.067,64,1551.81
13,Northwestern,10-3,61.643,69,1549.8
14,Notre Dame,10-3,38.786,1,1549.63
15,Michigan St,10-3,50.214,14,1548.64
16,TCU,11-3,59.133,56,1547.45
17,South Florida,10-2,83.615,130,1546.36
18,Toledo,11-3,71.8,108,1545.99
19,Oklahoma St,10-3,63.643,80,1545.72
20,Army,10-3,68.357,100,1541.78
21,Miami FL,10-3,55.5,35,1541.32
22,Washington,10-3,63.357,79,1541.11
23,Memphis,10-3,67.571,94,1540.26
24,Auburn,10-4,47.933,9,1537.89
25,San Diego St,10-3,68.0,96,1537.27
26,Fresno St,10-4,63.333,78,1536.13
27,LSU,9-4,61.286,67,1530.41
28,South Carolina,9-4,61.071,65,1529.78
29,Stanford,9-5,47.733,7,1529.57
30,North Carolina St,9-4,54.0,29,1529.06
31,Mississippi St,9-4,57.929,50,1528.81
32,Appalachian St,9-4,75.357,116,1527.84
33,Washington St,9-4,58.929,55,1527.34
34,Virginia Tech,9-4,65.143,87,1526.14
35,Ohio U.,9-4,77.0,122,1525.78
36,Iowa,8-5,39.429,2,1521.6
37,North Texas,9-5,57.467,47,1520.69
38,Michigan,8-5,53.571,26,1519.73
39,Kansas St,8-5,68.0,97,1517.51
40,Marshall,8-5,67.786,95,1516.97
41,Iowa St,8-5,56.357,39,1516.16
42,Wake Forest,8-5,53.571,27,1515.68
43,Central Michigan,8-5,74.929,114,1515.03
44,Louisville,8-5,62.786,75,1514.47
45,Wyoming,8-5,72.571,110,1514.26
46,Florida Int'l,8-5,69.929,104,1513.35
47,Houston,7-5,64.462,85,1512.72
48,Northern Illinois,8-5,72.714,111,1512.44
49,Southern Miss,8-5,78.429,123,1511.68
50,Alabama-Birmingham,8-5,81.714,127,1511.2
51,Purdue,7-6,55.071,32,1509.3
52,Boston College,7-6,46.0,6,1508.04
53,Arizona St,7-6,52.643,22,1508.02
54,Texas,7-6,57.643,48,1508.0
55,Middle Tennessee St,7-6,73.214,112,1506.42
56,Florida St,7-6,51.857,18,1505.87
57,Georgia St,7-5,80.769,126,1505.68
58,New Mexico St,7-6,80.357,125,1505.49
59,Arkansas St,7-5,82.077,128,1505.19
60,Navy,7-6,51.143,16,1505.08
61,Missouri,7-6,68.929,103,1503.66
62,Temple,7-6,62.143,71,1503.31
63,Duke,7-6,59.857,60,1502.4
64,Utah,7-6,62.214,72,1502.2
65,Oregon,7-6,59.714,58,1502.0
66,Louisiana Tech,7-6,65.286,88,1501.58
67,Texas A&M;,7-6,59.429,57,1501.41
68,West Virginia,7-6,59.857,59,1500.97
69,Arizona,7-6,68.571,102,1499.84
70,SMU,7-6,60.786,63,1499.7
71,Kentucky,7-6,56.714,41,1499.36
72,Texas-San Antonio,6-5,75.833,118,1498.49
73,Colorado St,7-6,76.643,120,1498.44
74,Mississippi,6-6,63.846,82,1497.36
75,Akron,7-7,58.2,51,1495.19
76,Buffalo,6-6,71.308,106,1494.1
77,UCLA,6-7,52.071,19,1493.93
78,Western Michigan,6-6,64.462,84,1493.64
79,Georgia Tech,5-6,56.583,40,1488.6
80,Texas Tech,6-7,52.357,21,1487.74
81,Minnesota,5-7,55.308,33,1486.78
82,Eastern Michigan,5-7,66.692,92,1485.99
83,Utah St,6-7,71.0,105,1485.68
84,Virginia,6-7,62.857,76,1485.68
85,Western Kentucky,6-7,76.786,121,1484.54
86,Air Force,5-7,61.154,66,1484.33
87,Pittsburgh,5-7,61.308,68,1483.92
88,Indiana,5-7,58.538,54,1481.76
89,Tulane,5-7,57.0,45,1481.74
90,Vanderbilt,5-7,56.846,42,1481.61
91,California,5-7,63.769,81,1480.68
92,Old Dominion,5-7,68.538,101,1480.34
93,Florida,4-7,49.0,12,1480.17
94,Miami OH,5-7,73.308,113,1479.8
95,Colorado,5-7,66.0,90,1479.57
