,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Alabama,1924.67,2017,1684.69,Georgia,(23 - **26**) W,12.27,(13 - 1),(8 - 1),SEC,West,alabama,True
2,Clemson,1871.43,2017,1657.11,Alabama,(**6** - 24) L,-31.86,(12 - 2),(8 - 2),ACC,Atlantic,clemson,True
3,Georgia,1836.98,2017,1678.24,Alabama,(**23** - 26) L,-12.27,(13 - 2),(8 - 2),SEC,East,georgia,True
4,Wisconsin,1820.86,2017,1573.59,Miami,(24 - **34**) W,22.01,(13 - 1),(9 - 1),Big Ten,West,wisconsin,True
5,UCF,1809.64,2017,1601.14,Auburn,(27 - **34**) W,20.79,(13 - 0),(9 - 0),American Athletic,East,ucf,True
6,Ohio State,1807.64,2017,1600.1,USC,(**24** - 7) W,22.42,(12 - 2),(9 - 2),Big Ten,East,ohiostate,True
7,Oklahoma,1805.04,2017,1592.87,Georgia,(**48** - 54) L,-19.88,(12 - 2),(9 - 2),Big 12,,oklahoma,True
8,Penn State,1778.94,2017,1575.1,Washington,(**35** - 28) W,19.24,(11 - 2),(7 - 2),Big Ten,East,pennstate,True
9,Washington,1765.23,2017,1599.52,Penn State,(35 - **28**) L,-19.24,(10 - 3),(7 - 3),Pac-12,North,washington,True
10,Auburn,1753.96,2017,1673.87,UCF,(**27** - 34) L,-20.79,(10 - 4),(7 - 4),SEC,West,auburn,True
11,Miami,1727.49,2017,1672.95,Wisconsin,(**24** - 34) L,-22.01,(10 - 3),(7 - 3),ACC,Coastal,miami,True
12,Boise State,1725.7,2017,1574.76,Oregon,(28 - **38**) W,18.85,(11 - 3),(8 - 3),Mountain West,Mountain,,True
13,LSU,1724.7,2017,1657.11,Notre Dame,(**17** - 21) L,-18.14,(9 - 4),(6 - 4),SEC,West,lsu,True
14,Oklahoma State,1724.2,2017,1574.34,Virginia Tech,(**30** - 21) W,19.77,(10 - 3),(6 - 3),Big 12,,oklahomastate,True
15,USC,1723.04,2017,1605.31,Ohio State,(24 - **7**) L,-22.42,(11 - 3),(9 - 3),Pac-12,South,,True
16,TCU,1721.11,2017,1634.25,Stanford,(**39** - 37) W,9.54,(11 - 3),(7 - 3),Big 12,,tcu,True
17,Notre Dame,1716.96,2017,1624.69,LSU,(17 - **21**) W,18.14,(10 - 3),(0 - 3),FBS Independents,,notredame,True
18,Appalachian State,1705.31,2017,1530.59,Toledo,(0 - **34**) W,42.06,(9 - 4),(7 - 4),Sun Belt,,appalachianstate,True
19,Florida Atlantic,1705.13,2017,1566.25,Akron,(**50** - 3) W,18.99,(11 - 3),(9 - 3),Conference USA,East,fau,True
20,South Florida,1702.37,2017,1560.19,Texas Tech,(**38** - 34) W,8.37,(10 - 2),(6 - 2),American Athletic,East,usf,True
21,Stanford,1702.11,2017,1613.19,TCU,(39 - **37**) L,-9.54,(9 - 5),(7 - 5),Pac-12,North,stanford,True
22,Troy,1700.93,2017,1531.67,North Texas,(30 - **50**) W,22.06,(11 - 2),(7 - 2),Sun Belt,,troy,True
23,Mississippi State,1700.34,2017,1649.65,Louisville,(**31** - 27) W,13.97,(9 - 4),(4 - 4),SEC,West,mississippistate,True
24,Toledo,1693.53,2017,1579.77,Appalachian State,(**0** - 34) L,-42.06,(11 - 3),(8 - 3),Mid-American,West,toledo,True
25,Memphis,1688.62,2017,1583.25,Iowa State,(**20** - 21) L,-8.51,(10 - 3),(7 - 3),American Athletic,West,memphis,True
26,Florida State,1684.24,2017,1632.09,Southern Mississippi,(**42** - 13) W,22.43,(7 - 6),(3 - 6),ACC,Atlantic,floridastate,True
27,NC State,1681.8,2017,1623.64,Arizona State,(31 - **52**) W,25.05,(9 - 4),(6 - 4),ACC,Atlantic,ncstate,True
28,Virginia Tech,1680.56,2017,1612.92,Oklahoma State,(30 - **21**) L,-19.77,(9 - 4),(5 - 4),ACC,Coastal,virginiatech,True
29,Northwestern,1677.89,2017,1550.17,Kentucky,(**24** - 23) W,4.3,(10 - 3),(7 - 3),Big Ten,West,northwestern,True
30,Louisville,1672.31,2017,1598.63,Mississippi State,(31 - **27**) L,-13.97,(8 - 5),(4 - 5),ACC,Atlantic,louisville,True
31,San Diego State,1671.49,2017,1553.27,Army,(42 - **35**) L,-20.35,(10 - 3),(6 - 3),Mountain West,West,,True
32,Army,1663.88,2017,1557.61,San Diego State,(**42** - 35) W,20.35,(10 - 3),(0 - 3),FBS Independents,,army,True
33,Ohio,1657.89,2017,1527.08,UAB,(**41** - 6) W,25.94,(9 - 4),(5 - 4),Mid-American,East,,True
34,Michigan,1653.78,2017,1595.44,South Carolina,(26 - **19**) L,-20.33,(8 - 5),(5 - 5),Big Ten,East,michigan,True
35,Michigan State,1648.65,2017,1592.59,Washington State,(**42** - 17) W,31.12,(10 - 3),(7 - 3),Big Ten,East,michiganstate,True
36,South Carolina,1646.59,2017,1649.26,Michigan,(**26** - 19) W,20.33,(9 - 4),(5 - 4),SEC,East,southcarolina,True
37,Kansas State,1645.78,2017,1603.1,UCLA,(17 - **35**) W,23.0,(8 - 5),(5 - 5),Big 12,,kansasstate,True
38,Fresno State,1644.03,2017,1606.4,Houston,(27 - **33**) W,20.32,(10 - 4),(7 - 4),Mountain West,West,fresnostate,True
39,Iowa,1641.48,2017,1570.19,Boston College,(20 - **27**) W,20.74,(8 - 5),(4 - 5),Big Ten,West,iowa,True
40,Utah,1632.23,2017,1620.16,West Virginia,(14 - **30**) W,30.1,(7 - 6),(3 - 6),Pac-12,South,utah,True
41,Washington State,1624.34,2017,1629.02,Michigan State,(42 - **17**) L,-31.12,(9 - 4),(6 - 4),Pac-12,North,,True
42,Louisiana Tech,1619.34,2017,1557.16,SMU,(10 - **51**) W,36.4,(7 - 6),(4 - 6),Conference USA,West,louisianatech,True
43,Wake Forest,1618.14,2017,1645.56,Texas A&M,(52 - **55**) W,14.58,(8 - 5),(4 - 5),ACC,Atlantic,wakeforest,True
44,Western Michigan,1618.14,2017,1571.82,Toledo,(37 - **10**) L,-24.66,(6 - 6),(4 - 6),Mid-American,West,westernmichigan,True
45,Houston,1609.02,2017,1554.38,Fresno State,(**27** - 33) L,-20.32,(7 - 5),(5 - 5),American Athletic,West,houston,True
