,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_id,_home_team,_home_points,_away_id,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,home_won,played,home_fbs,away_fbs,fbs_count
0,2017.0,1.0,regular,2017-08-26T14:30:00.000Z,False,False,36.0,Colorado State,58.0,204.0,Oregon State,27.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.4657359027997265,1528.5049955482352,1471.4950044517648,28.50499554823523,-28.50499554823523,True,True,True,True,2
1,2017.0,1.0,regular,2017-08-26T15:00:00.000Z,False,False,252.0,BYU,20.0,2502.0,Portland State,6.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,3.1290496021138985,1507.4785032475525,1196.5214967524475,7.478503247552453,-7.478503247552453,True,True,True,False,1
2,2017.0,1.0,regular,2017-08-26T18:00:00.000Z,False,False,113.0,UMass,35.0,62.0,Hawai'i,38.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,1.3862943611198906,1486.4486997191361,1513.5513002808639,-13.55130028086387,13.55130028086387,False,True,True,True,2
3,2017.0,1.0,regular,2017-08-26T19:30:00.000Z,False,False,23.0,San José State,22.0,58.0,South Florida,42.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.044522437723423,1470.2391938375272,1529.7608061624726,-29.760806162472818,29.76080616247259,False,True,True,True,2
4,2017.0,1.0,regular,2017-08-26T22:00:00.000Z,True,False,242.0,Rice,7.0,24.0,Stanford,62.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,4.02535169073515,1460.651394806822,1539.348605193178,-39.348605193177946,39.348605193177946,False,True,True,True,2
5,2017.0,1.0,regular,2017-08-31T18:00:00.000Z,False,False,2116.0,UCF,61.0,2229.0,Florida International,17.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.8066624897703196,1531.3090496124878,1468.6909503875122,31.309049612487797,-31.309049612487797,True,True,True,True,2
6,2017.0,1.0,regular,2017-08-31T18:30:00.000Z,False,False,154.0,Wake Forest,51.0,2506.0,Presbyterian College,7.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,4.398454557507723,1510.5124113949203,1193.4875886050797,10.512411394920264,-10.512411394920264,True,True,True,False,1
7,2017.0,1.0,regular,2017-08-31T19:00:00.000Z,False,False,135.0,Minnesota,17.0,2084.0,Buffalo,7.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,2.3978952727983707,1519.7222165777362,1480.2777834222638,19.722216577736162,-19.722216577736162,True,True,True,True,2
8,2017.0,1.0,regular,2017-08-31T19:00:00.000Z,False,False,2247.0,Georgia State,10.0,2634.0,Tennessee State,17.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,1.8328411024421631,1471.3893941455315,1232.6106058544685,-28.61060585446853,28.61060585446853,False,True,True,False,1
9,2017.0,1.0,regular,2017-08-31T19:00:00.000Z,False,False,2649.0,Toledo,47.0,2210.0,Elon,13.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,4.10807023911592,1509.8183859417397,1194.1816140582603,9.818385941739734,-9.818385941739734,True,True,True,False,1
10,2017.0,1.0,regular,2017-08-31T19:00:00.000Z,False,False,2117.0,Central Michigan,30.0,227.0,Rhode Island,27.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,1.6018107113780249,1503.8283658395546,1200.1716341604454,3.8283658395546354,-3.8283658395546354,True,True,True,False,1
11,2017.0,1.0,regular,2017-08-31T19:00:00.000Z,False,False,2132.0,Cincinnati,26.0,2046.0,Austin Peay,14.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,2.9637019886635407,1507.083318504131,1196.916681495869,7.083318504131057,-7.083318504131057,True,True,True,False,1
12,2017.0,1.0,regular,2017-08-31T19:30:00.000Z,False,False,254.0,Utah,37.0,155.0,North Dakota,16.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,3.5715826666955337,1508.5361678363104,1195.4638321636896,8.53616783631037,-8.53616783631037,True,True,True,False,1
13,2017.0,1.0,regular,2017-08-31T19:30:00.000Z,False,False,41.0,Connecticut,27.0,107.0,Holy Cross,20.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,2.4027160670670376,1505.7425487593318,1198.2574512406682,5.742548759331839,-5.742548759331839,True,True,True,False,1
14,2017.0,1.0,regular,2017-08-31T19:30:00.000Z,False,False,197.0,Oklahoma State,59.0,202.0,Tulsa,24.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.58351893845611,1529.4737378301645,1470.5262621698355,29.47373783016451,-29.47373783016451,True,True,True,True,2
15,2017.0,1.0,regular,2017-08-31T20:00:00.000Z,False,True,84.0,Indiana,21.0,194.0,Ohio State,49.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.367295829986474,1467.084020388148,1532.915979611852,-32.91597961185198,32.91597961185198,False,True,True,True,2
16,2017.0,1.0,regular,2017-08-31T20:00:00.000Z,True,False,8.0,Arkansas,49.0,50.0,Florida A&M,7.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,4.345924503427436,1510.3868633116404,1193.6131366883596,10.386863311640354,-10.386863311640354,True,True,True,False,1
17,2017.0,1.0,regular,2017-08-31T21:00:00.000Z,False,False,70.0,Idaho,28.0,16.0,Sacramento State,6.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,3.622944997397127,1508.6589250328386,1195.3410749671614,8.658925032838624,-8.658925032838624,True,True,True,False,1
