,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
35,Utah,1609.02,2010,1538.38,Boise State,(26 - **3**) L,-19.81,(10 - 3),(7 - 3),Mountain West,,utah,True
36,Navy,1608.85,2010,1553.27,San Diego State,(35 - **14**) L,-28.78,(9 - 4),(0 - 4),FBS Independents,,navy,True
37,Southern Mississippi,1608.31,2010,1542.56,Louisville,(31 - **28**) L,-14.23,(8 - 5),(5 - 5),Conference USA,East,southernmiss,True
38,Maryland,1607.62,2010,1558.97,East Carolina,(**51** - 20) W,18.6,(9 - 4),(5 - 4),ACC,Atlantic,maryland,True
39,Connecticut,1587.93,2010,1588.79,Oklahoma,(48 - **20**) L,-23.07,(8 - 5),(5 - 5),Big East,,connecticut,True
40,Texas Tech,1587.08,2010,1584.08,Northwestern,(**45** - 38) W,15.83,(8 - 5),(3 - 5),Big 12,South,texastech,True
41,Georgia,1585.4,2010,1584.54,UCF,(10 - **6**) L,-11.51,(6 - 7),(3 - 7),SEC,East,georgia,True
42,Miami (OH),1584.94,2010,1497.73,Middle Tennessee,(**35** - 21) W,18.52,(10 - 4),(8 - 4),Mid-American,East,,True
43,Arizona State,1573.31,2010,1618.22,Arizona,(29 - **30**) W,7.56,(6 - 6),(4 - 6),Pac-10,,,True
44,South Florida,1572.53,2010,1584.15,Clemson,(26 - **31**) W,18.36,(8 - 5),(3 - 5),Big East,,usf,True
45,USC,1570.04,2010,1546.78,UCLA,(14 - **28**) W,21.11,(8 - 5),(6 - 5),Pac-10,,,True
46,Louisville,1566.64,2010,1570.03,Southern Mississippi,(**31** - 28) W,14.23,(7 - 6),(3 - 6),Big East,,louisville,True
47,North Carolina,1564.97,2010,1587.57,Tennessee,(27 - **30**) W,13.94,(8 - 5),(4 - 5),ACC,Coastal,northcarolina,True
48,Troy,1564.4,2010,1480.49,Ohio,(**48** - 21) W,33.02,(8 - 5),(6 - 5),Sun Belt,,troy,True
49,Miami,1563.01,2010,1595.94,Notre Dame,(**17** - 33) L,-28.65,(7 - 6),(5 - 6),ACC,Coastal,miami,True
50,Temple,1560.16,2010,1549.54,Miami (OH),(23 - **3**) L,-31.79,(8 - 4),(5 - 4),Mid-American,East,temple,True
51,Arizona,1558.14,2010,1595.77,Oklahoma State,(**10** - 36) L,-27.16,(7 - 6),(5 - 6),Pac-10,,arizona,True
52,Syracuse,1557.45,2010,1607.14,Kansas State,(**36** - 34) W,9.74,(8 - 5),(4 - 5),Big East,,syracuse,True
53,Fresno State,1554.32,2010,1578.67,Northern Illinois,(**17** - 40) L,-26.33,(8 - 5),(5 - 5),Western Athletic,,fresnostate,True
54,Ohio,1552.23,2010,1505.66,Troy,(48 - **21**) L,-33.02,(8 - 5),(6 - 5),Mid-American,East,,True
55,Toledo,1552.03,2010,1498.89,Florida International,(**32** - 34) L,-12.13,(8 - 5),(7 - 5),Mid-American,West,toledo,True
56,BYU,1550.8,2010,1506.52,UTEP,(24 - **52**) W,33.23,(7 - 6),(6 - 6),Mountain West,,byu,True
57,Kansas State,1545.99,2010,1574.28,Syracuse,(36 - **34**) L,-9.74,(7 - 6),(3 - 6),Big 12,North,kansasstate,True
58,Western Michigan,1545.65,2010,1510.33,Bowling Green,(7 - **41**) W,25.13,(6 - 6),(5 - 6),Mid-American,West,westernmichigan,True
59,Florida International,1543.15,2010,1484.21,Toledo,(32 - **34**) W,12.13,(7 - 6),(6 - 6),Sun Belt,,fiu,True
60,Penn State,1543.06,2010,1596.03,Florida,(**24** - 37) L,-25.91,(7 - 6),(4 - 6),Big Ten,,pennstate,True
61,Boston College,1541.98,2010,1583.2,Nevada,(**13** - 20) L,-13.5,(7 - 6),(4 - 6),ACC,Atlantic,bostoncollege,True
62,Army,1540.04,2010,1554.52,SMU,(14 - **16**) W,11.01,(7 - 6),(0 - 6),FBS Independents,,army,True
63,Clemson,1532.54,2010,1579.34,South Florida,(**26** - 31) L,-18.36,(6 - 7),(4 - 7),ACC,Atlantic,clemson,True
64,Tennessee,1525.44,2010,1555.04,North Carolina,(**27** - 30) L,-13.94,(6 - 7),(3 - 7),SEC,East,tennessee,True
65,Washington,1518.43,2010,1563.85,Nebraska,(**19** - 7) W,32.57,(7 - 6),(5 - 6),Pac-10,,washington,True
66,Baylor,1513.03,2010,1592.08,Illinois,(**14** - 38) L,-30.13,(7 - 6),(4 - 6),Big 12,South,baylor,True
67,California,1512.53,2010,1597.39,Washington,(**13** - 16) L,-16.52,(5 - 7),(3 - 7),Pac-10,,california,True
68,Northwestern,1509.29,2010,1601.49,Texas Tech,(45 - **38**) L,-15.83,(7 - 6),(3 - 6),Big Ten,,northwestern,True
69,SMU,1505.02,2010,1513.23,Army,(**14** - 16) L,-11.01,(7 - 7),(6 - 7),Conference USA,West,smu,True
70,Kentucky,1504.7,2010,1566.04,Pittsburgh,(**10** - 27) L,-25.05,(6 - 7),(2 - 7),SEC,East,kentucky,True
71,Idaho,1504.58,2010,1543.15,San José State,(**26** - 23) W,7.15,(6 - 7),(3 - 7),Western Athletic,,idaho,True
72,Georgia Tech,1503.07,2010,1583.17,Air Force,(**7** - 14) L,-16.46,(6 - 7),(4 - 7),ACC,Coastal,georgiatech,True
73,Houston,1502.84,2010,1562.47,Texas Tech,(35 - **20**) L,-22.57,(5 - 7),(4 - 7),Conference USA,West,houston,True
74,Michigan,1500.98,2010,1612.49,Mississippi State,(**14** - 52) L,-31.43,(7 - 6),(3 - 6),Big Ten,,michigan,True
75,Oregon State,1493.67,2010,1559.92,Oregon,(**20** - 37) L,-12.77,(5 - 7),(4 - 7),Pac-10,,oregonstate,True
76,Kent State,1483.18,2010,1548.81,Ohio,(**28** - 6) W,38.71,(5 - 7),(4 - 7),Mid-American,East,,True
77,Texas,1482.93,2010,1559.89,Texas A&M,(**17** - 24) L,-13.91,(5 - 7),(2 - 7),Big 12,South,texas,True
78,Louisiana Tech,1480.32,2010,1503.34,Nevada,(**17** - 35) L,-16.42,(5 - 7),(4 - 7),Western Athletic,,louisianatech,True
79,Colorado,1479.45,2010,1541.32,Nebraska,(45 - **17**) L,-15.15,(5 - 7),(2 - 7),Big 12,North,colorado,True
80,Iowa State,1477.08,2010,1590.77,Missouri,(**0** - 14) L,-18.21,(5 - 7),(3 - 7),Big 12,North,iowastate,True
81,Middle Tennessee,1467.93,2010,1520.3,Miami (OH),(35 - **21**) L,-18.52,(6 - 7),(5 - 7),Sun Belt,,middletennessee,True
82,Cincinnati,1465.44,2010,1588.36,Pittsburgh,(**10** - 28) L,-24.43,(4 - 8),(2 - 8),Big East,,cincinnati,True
83,Indiana,1465.26,2010,1584.72,Purdue,(31 - **34**) W,14.04,(5 - 7),(1 - 7),Big Ten,,indiana,True
84,UTEP,1464.62,2010,1525.38,BYU,(**24** - 52) L,-33.23,(6 - 7),(3 - 7),Conference USA,West,utep,True
85,Arkansas State,1462.39,2010,1486.22,Florida International,(31 - **24**) L,-15.89,(4 - 8),(4 - 8),Sun Belt,,arkansasstate,True
86,Virginia,1458.23,2010,1616.7,Virginia Tech,(37 - **7**) L,-13.26,(4 - 8),(1 - 8),ACC,Coastal,virginia,True
87,Marshall,1448.32,2010,1487.24,Tulane,(**38** - 23) W,23.36,(5 - 7),(4 - 7),Conference USA,East,marshall,True
88,Ole Miss,1443.97,2010,1586.82,Mississippi State,(**23** - 31) L,-15.91,(4 - 8),(1 - 8),SEC,West,olemiss,True
89,Louisiana Monroe,1442.6,2010,1524.9,Louisiana,(**22** - 23) L,-8.8,(5 - 7),(4 - 7),Sun Belt,,ulm,True
90,Ball State,1442.4,2010,1571.55,Northern Illinois,(**21** - 59) L,-21.81,(4 - 8),(3 - 8),Mid-American,West,,True
91,Central Michigan,1436.36,2010,1562.14,Toledo,(42 - **31**) L,-16.13,(3 - 9),(2 - 9),Mid-American,West,centralmichigan,True
92,Rutgers,1434.21,2010,1576.25,West Virginia,(35 - **14**) L,-13.39,(4 - 8),(1 - 8),Big East,,rutgers,True
93,Purdue,1428.65,2010,1595.13,Indiana,(**31** - 34) L,-14.04,(4 - 8),(2 - 8),Big Ten,,purdue,True
94,East Carolina,1421.77,2010,1505.77,Maryland,(51 - **20**) L,-18.6,(6 - 7),(5 - 7),Conference USA,East,eastcarolina,True
95,Minnesota,1420.46,2010,1606.4,Iowa,(**27** - 24) W,18.37,(3 - 9),(2 - 9),Big Ten,,minnesota,True
96,UCLA,1420.35,2010,1549.1,USC,(**14** - 28) L,-21.11,(4 - 8),(2 - 8),Pac-10,,ucla,True
97,Rice,1417.02,2010,1518.02,UAB,(**28** - 23) W,16.76,(4 - 8),(3 - 8),Conference USA,West,rice,True
98,Utah State,1413.19,2010,1556.28,Boise State,(50 - **14**) L,-10.22,(4 - 8),(2 - 8),Western Athletic,,,True
99,UAB,1412.64,2010,1489.33,Rice,(28 - **23**) L,-16.76,(4 - 8),(3 - 8),Conference USA,East,uab,True
100,Wake Forest,1410.69,2010,1574.17,Vanderbilt,(13 - **34**) W,30.45,(3 - 9),(1 - 9),ACC,Atlantic,wakeforest,True
101,Duke,1406.57,2010,1588.77,North Carolina,(**19** - 24) L,-13.55,(3 - 9),(1 - 9),ACC,Coastal,duke,True
102,North Texas,1401.22,2010,1472.11,Kansas State,(**41** - 49) L,-16.39,(3 - 9),(3 - 9),Sun Belt,,northtexas,True
103,Wyoming,1391.71,2010,1543.27,Colorado State,(**44** - 0) W,36.3,(3 - 9),(1 - 9),Mountain West,,wyoming,True
104,Tulane,1390.53,2010,1559.61,Marshall,(38 - **23**) L,-23.36,(4 - 8),(2 - 8),Conference USA,West,tulane,True
105,Kansas,1388.46,2010,1600.57,Missouri,(35 - **7**) L,-11.13,(3 - 9),(1 - 9),Big 12,North,kansas,True
106,Washington State,1363.13,2010,1591.57,Washington,(**28** - 35) L,-17.15,(2 - 10),(1 - 10),Pac-10,,,True
107,Florida Atlantic,1359.1,2010,1460.23,Troy,(**7** - 44) L,-27.53,(4 - 8),(3 - 8),Sun Belt,,fau,True
108,Bowling Green,1356.75,2010,1500.62,Western Michigan,(**7** - 41) L,-25.13,(2 - 10),(1 - 10),Mid-American,East,bowlinggreen,True
109,Colorado State,1356.28,2010,1512.99,Wyoming,(44 - **0**) L,-36.3,(3 - 9),(2 - 9),Mountain West,,,True
110,Western Kentucky,1355.47,2010,1471.89,Troy,(28 - **14**) L,-16.4,(2 - 10),(2 - 10),Sun Belt,,wku,True
111,Louisiana,1338.4,2010,1490.67,Louisiana Monroe,(22 - **23**) W,8.8,(3 - 9),(3 - 9),Sun Belt,,louisiana,True
112,UNLV,1334.67,2010,1532.23,Hawai'i,(59 - **21**) L,-10.44,(2 - 11),(2 - 11),Mountain West,,unlv,True
113,San José State,1331.13,2010,1596.5,Idaho,(26 - **23**) L,-7.15,(1 - 12),(0 - 12),Western Athletic,,,True
114,Vanderbilt,1329.26,2010,1511.48,Wake Forest,(**13** - 34) L,-30.45,(2 - 10),(1 - 10),SEC,East,vanderbilt,True
115,Eastern Michigan,1326.01,2010,1505.52,Northern Illinois,(**3** - 71) L,-14.01,(2 - 10),(2 - 10),Mid-American,West,easternmichigan,True
116,Buffalo,1321.27,2010,1523.92,Akron,(22 - **14**) L,-21.44,(2 - 10),(1 - 10),Mid-American,East,buffalo,True
117,Akron,1317.12,2010,1540.4,Buffalo,(**22** - 14) W,21.44,(1 - 11),(1 - 11),Mid-American,East,akron,True
118,New Mexico State,1315.29,2010,1511.94,Hawai'i,(**24** - 59) L,-13.53,(2 - 10),(1 - 10),Western Athletic,,newmexicostate,True
119,New Mexico,1292.56,2010,1516.45,TCU,(**17** - 66) L,-7.1,(1 - 11),(1 - 11),Mountain West,,newmexico,True
120,Memphis,1278.61,2010,1512.53,UCF,(**17** - 37) L,-9.36,(1 - 11),(0 - 11),Conference USA,East,memphis,True
