,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Auburn,1799.06,2010,1625.07,Oregon,(19 - **22**) W,14.32,(14 - 0),(9 - 0),SEC,West,auburn,True
2,TCU,1781.02,2010,1555.82,Wisconsin,(**21** - 19) W,8.45,(13 - 0),(10 - 0),Mountain West,,tcu,True
3,Oregon,1771.02,2010,1589.54,Auburn,(**19** - 22) L,-14.32,(12 - 1),(10 - 1),Pac-10,,oregon,True
4,Stanford,1770.4,2010,1588.91,Virginia Tech,(12 - **40**) W,34.75,(12 - 1),(8 - 1),Pac-10,,stanford,True
5,Alabama,1756.61,2010,1623.35,Michigan State,(7 - **49**) W,37.08,(10 - 3),(5 - 3),SEC,West,alabama,True
6,Boise State,1755.94,2010,1526.02,Utah,(**26** - 3) W,19.81,(12 - 1),(7 - 1),Western Athletic,,,True
7,Ohio State,1741.74,2010,1553.09,Arkansas,(26 - **31**) W,17.86,(12 - 1),(7 - 1),Big Ten,,ohiostate,True
8,Nevada,1733.03,2010,1549.46,Boston College,(13 - **20**) W,13.5,(13 - 1),(7 - 1),Western Athletic,,nevada,True
9,Wisconsin,1721.55,2010,1598.36,TCU,(21 - **19**) L,-8.45,(11 - 2),(9 - 2),Big Ten,,wisconsin,True
10,Oklahoma,1713.49,2010,1574.54,Connecticut,(**48** - 20) W,23.07,(12 - 2),(7 - 2),Big 12,South,oklahoma,True
11,Oklahoma State,1701.26,2010,1545.8,Arizona,(10 - **36**) W,27.16,(11 - 2),(6 - 2),Big 12,South,oklahomastate,True
12,Virginia Tech,1700.94,2010,1595.23,Stanford,(**12** - 40) L,-34.75,(11 - 3),(9 - 3),ACC,Coastal,virginiatech,True
13,Northern Illinois,1693.9,2010,1529.91,Fresno State,(17 - **40**) W,26.33,(11 - 3),(8 - 3),Mid-American,West,northernillinois,True
14,LSU,1691.41,2010,1592.44,Texas A&M,(24 - **41**) W,30.12,(11 - 2),(6 - 2),SEC,West,lsu,True
15,Arkansas,1690.66,2010,1610.96,Ohio State,(**26** - 31) L,-17.86,(10 - 3),(6 - 3),SEC,West,arkansas,True
16,Florida State,1683.44,2010,1607.17,South Carolina,(**26** - 17) W,18.73,(10 - 4),(6 - 4),ACC,Atlantic,floridastate,True
17,UCF,1674.48,2010,1536.05,Georgia,(**10** - 6) W,11.51,(11 - 3),(8 - 3),Conference USA,East,ucf,True
18,Tulsa,1667.17,2010,1559.25,Hawai'i,(**62** - 35) W,30.47,(10 - 3),(6 - 3),Conference USA,West,tulsa,True
19,Missouri,1664.66,2010,1583.4,Iowa,(27 - **24**) L,-13.61,(10 - 3),(6 - 3),Big 12,North,missouri,True
20,Michigan State,1662.24,2010,1590.47,Alabama,(**7** - 49) L,-37.08,(11 - 2),(7 - 2),Big Ten,,michiganstate,True
21,Nebraska,1656.04,2010,1590.5,Washington,(19 - **7**) L,-32.57,(10 - 4),(6 - 4),Big 12,North,nebraska,True
22,Iowa,1642.25,2010,1614.3,Missouri,(**27** - 24) W,13.61,(8 - 5),(4 - 5),Big Ten,,iowa,True
23,San Diego State,1639.12,2010,1552.14,Navy,(**35** - 14) W,28.78,(9 - 4),(5 - 4),Mountain West,,,True
24,NC State,1638.76,2010,1583.53,West Virginia,(**23** - 7) W,28.06,(9 - 4),(5 - 4),ACC,Atlantic,ncstate,True
25,Air Force,1638.47,2010,1556.39,Georgia Tech,(7 - **14**) W,16.46,(9 - 4),(5 - 4),Mountain West,,airforce,True
26,Mississippi State,1638.35,2010,1576.89,Michigan,(14 - **52**) W,31.43,(9 - 4),(4 - 4),SEC,West,mississippistate,True
27,West Virginia,1636.29,2010,1569.78,NC State,(23 - **7**) L,-28.06,(9 - 4),(5 - 4),Big East,,westvirginia,True
28,Texas A&M,1635.75,2010,1603.86,LSU,(**24** - 41) L,-30.12,(9 - 4),(6 - 4),Big 12,South,texasam,True
29,Notre Dame,1629.36,2010,1558.81,Miami,(17 - **33**) W,28.65,(8 - 5),(0 - 5),FBS Independents,,notredame,True
30,Hawai'i,1626.24,2010,1540.19,Tulsa,(62 - **35**) L,-30.47,(10 - 4),(7 - 4),Western Athletic,,,True
31,Pittsburgh,1625.71,2010,1574.02,Kentucky,(10 - **27**) W,25.05,(8 - 5),(5 - 5),Big East,,pittsburgh,True
32,South Carolina,1622.4,2010,1598.61,Florida State,(26 - **17**) L,-18.73,(9 - 5),(5 - 5),SEC,East,southcarolina,True
33,Florida,1616.79,2010,1597.41,Penn State,(24 - **37**) W,25.91,(8 - 5),(4 - 5),SEC,East,florida,True
34,Illinois,1614.87,2010,1577.82,Baylor,(14 - **38**) W,30.13,(7 - 6),(4 - 6),Big Ten,,illinois,True
