,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Clemson,1968.17,2018,1670.47,Alabama,(16 - **44**) W,37.17,(15 - 0),(9 - 0),ACC,Atlantic,clemson,True
2,Alabama,1926.79,2018,1680.9,Clemson,(**16** - 44) L,-37.17,(14 - 1),(9 - 1),SEC,West,alabama,True
3,UCF,1817.76,2018,1606.1,LSU,(**32** - 40) L,-27.8,(12 - 1),(9 - 1),American Athletic,East,ucf,True
4,Ohio State,1806.08,2018,1588.72,Washington,(**28** - 23) W,14.83,(13 - 1),(9 - 1),Big Ten,East,ohiostate,True
5,Georgia,1797.61,2018,1660.49,Texas,(**21** - 28) L,-27.6,(11 - 3),(7 - 3),SEC,East,georgia,True
6,Notre Dame,1793.28,2018,1608.76,Clemson,(30 - **3**) L,-21.72,(12 - 1),(0 - 1),FBS Independents,,notredame,True
7,Oklahoma,1789.03,2018,1601.56,Alabama,(45 - **34**) L,-13.36,(12 - 2),(9 - 2),Big 12,,oklahoma,True
8,Army,1774.19,2018,1610.35,Houston,(**70** - 14) W,24.9,(11 - 2),(0 - 2),FBS Independents,,army,True
9,Appalachian State,1772.25,2018,1568.8,Middle Tennessee,(**45** - 13) W,19.18,(11 - 2),(8 - 2),Sun Belt,,appalachianstate,True
10,Fresno State,1766.5,2018,1575.28,Arizona State,(**31** - 20) W,12.06,(12 - 2),(8 - 2),Mountain West,West,fresnostate,True
11,Washington,1758.91,2018,1630.13,Ohio State,(28 - **23**) L,-14.83,(10 - 4),(8 - 4),Pac-12,North,washington,True
12,LSU,1754.61,2018,1665.67,UCF,(32 - **40**) W,27.8,(10 - 3),(5 - 3),SEC,West,lsu,True
13,Florida,1744.12,2018,1673.42,Michigan,(15 - **41**) W,35.44,(10 - 3),(5 - 3),SEC,East,florida,True
14,Utah State,1736.12,2018,1559.31,North Texas,(13 - **52**) W,33.72,(11 - 2),(7 - 2),Mountain West,Mountain,,True
15,Boise State,1733.47,2018,1586.51,Fresno State,(**16** - 19) L,-14.56,(10 - 3),(7 - 3),Mountain West,Mountain,,True
16,Washington State,1733.11,2018,1608.34,Iowa State,(**28** - 26) W,7.73,(11 - 2),(7 - 2),Pac-12,North,,True
17,Penn State,1707.11,2018,1573.76,Kentucky,(**24** - 27) L,-15.98,(9 - 4),(6 - 4),Big Ten,East,pennstate,True
18,Texas A&M,1705.83,2018,1672.46,NC State,(**52** - 13) W,34.05,(9 - 4),(5 - 4),SEC,West,texasam,True
19,Auburn,1705.68,2018,1657.33,Purdue,(**63** - 14) W,24.6,(8 - 5),(3 - 5),SEC,West,auburn,True
20,Troy,1702.9,2018,1564.48,Buffalo,(**42** - 32) W,18.54,(10 - 3),(7 - 3),Sun Belt,,troy,True
21,Mississippi State,1702.87,2018,1659.41,Iowa,(27 - **22**) L,-17.34,(8 - 5),(4 - 5),SEC,West,mississippistate,True
22,Ohio,1695.42,2018,1541.55,San Diego State,(**27** - 0) W,23.78,(9 - 4),(6 - 4),Mid-American,East,,True
23,Syracuse,1695.08,2018,1625.88,West Virginia,(**34** - 18) W,24.63,(10 - 3),(6 - 3),ACC,Atlantic,syracuse,True
24,Iowa,1694.05,2018,1608.35,Mississippi State,(**27** - 22) W,17.34,(9 - 4),(5 - 4),Big Ten,West,iowa,True
25,Michigan,1692.88,2018,1569.32,Florida,(**15** - 41) L,-35.44,(10 - 3),(8 - 3),Big Ten,East,michigan,True
26,Texas,1692.44,2018,1611.25,Georgia,(21 - **28**) W,27.6,(10 - 4),(7 - 4),Big 12,,texas,True
27,Kentucky,1682.26,2018,1629.92,Penn State,(24 - **27**) W,15.98,(9 - 4),(4 - 4),SEC,East,kentucky,True
28,Stanford,1678.5,2018,1616.5,Pittsburgh,(13 - **14**) W,6.09,(9 - 4),(6 - 4),Pac-12,North,stanford,True
29,Missouri,1674.22,2018,1636.84,Oklahoma State,(38 - **33**) L,-19.2,(9 - 4),(5 - 4),SEC,East,missouri,True
30,Cincinnati,1672.57,2018,1576.83,Virginia Tech,(31 - **35**) W,13.46,(11 - 2),(6 - 2),American Athletic,East,cincinnati,True
31,Utah,1661.93,2018,1625.14,Northwestern,(**20** - 31) L,-29.39,(9 - 5),(6 - 5),Pac-12,South,utah,True
32,NC State,1661.55,2018,1602.55,Texas A&M,(52 - **13**) L,-34.05,(9 - 4),(5 - 4),ACC,Atlantic,ncstate,True
33,UAB,1658.08,2018,1552.28,Northern Illinois,(13 - **37**) W,27.93,(11 - 3),(8 - 3),Conference USA,West,uab,True
34,Memphis,1654.81,2018,1582.82,Wake Forest,(37 - **34**) L,-14.78,(8 - 6),(5 - 6),American Athletic,West,memphis,True
35,Northwestern,1648.54,2018,1578.42,Utah,(20 - **31**) W,29.39,(9 - 5),(8 - 5),Big Ten,West,northwestern,True
36,West Virginia,1646.34,2018,1623.55,Syracuse,(34 - **18**) L,-24.63,(8 - 4),(6 - 4),Big 12,,westvirginia,True
37,Iowa State,1646.27,2018,1640.45,Washington State,(28 - **26**) L,-7.73,(8 - 5),(6 - 5),Big 12,,iowastate,True
38,Wisconsin,1643.06,2018,1541.02,Miami,(**35** - 3) W,35.91,(8 - 5),(5 - 5),Big Ten,West,wisconsin,True
