Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,14-0,53.133,41,1772.61,0
2,Clemson,14-0,48.867,22,1769.55,0
3,Ohio State,13-1,48.8,21,1722.6,1
4,Oklahoma,12-2,45.267,10,1681.17,2
5,Notre Dame,12-1,49.429,23,1680.88,0
6,Central Florida,12-1,65.857,77,1669.64,-3
7,Georgia,11-3,46.533,14,1649.14,0
8,Michigan,10-3,44.857,9,1642.01,7
9,Penn State,9-4,46.571,15,1641.07,3
10,Washington St,11-2,63.857,72,1634.15,4
11,LSU,10-3,48.786,20,1633.27,13
12,Syracuse,10-3,60.214,60,1632.05,6
13,Texas,10-4,47.267,17,1630.49,8
14,Utah St,11-2,81.286,121,1628.39,-4
15,Washington,10-4,52.667,39,1627.66,-2
16,Iowa,9-4,51.857,36,1624.31,9
17,Fresno St,12-2,74.2,103,1623.24,-9
18,Appalachian St,11-2,79.286,113,1622.46,-9
19,Boise St,10-3,61.857,64,1619.23,-8
20,Texas A&M,9-4,45.643,11,1616.65,10
21,Army,11-2,77.857,107,1608.93,-5
22,Florida,10-3,54.929,47,1608.63,-3
23,Cincinnati,11-2,72.286,93,1599.98,-3
24,Missouri,8-5,51.357,29,1596.58,-2
25,Mississippi St,8-5,48.214,18,1595.59,-2
26,Northwestern,9-5,43.867,8,1591.36,16
27,Kentucky,10-3,53.357,44,1585.26,4
28,North Carolina St,9-4,60.357,61,1584.06,-2
29,Auburn,8-5,53.286,42,1581.02,6
30,Iowa St,8-5,51.0,27,1580.58,2
31,Ohio U.,9-4,81.786,122,1575.99,-14
32,Wisconsin,8-5,52.857,40,1575.52,6
33,Stanford,9-4,55.786,51,1575.2,0
34,West Virginia,8-4,51.615,35,1573.54,3
35,Utah,9-5,51.6,34,1572.28,-8
36,Michigan St,7-6,45.857,12,1565.66,10
37,Boston College,7-5,56.077,52,1559.32,12
38,Troy,10-3,80.214,118,1554.65,-10
39,Temple,8-5,66.571,79,1554.27,0
40,Memphis,8-6,73.2,97,1554.03,0
41,Oregon,9-4,64.071,73,1552.89,6
42,Virginia,8-5,68.429,83,1547.76,3
43,Alabama-Birmingham,11-3,81.267,120,1547.55,-14
44,Minnesota,7-6,49.643,24,1544.38,9
45,Marshall,9-4,78.071,108,1539.97,-4
46,Georgia Southern,10-3,80.071,117,1536.27,-12
47,Duke,8-5,50.786,25,1535.61,4
48,Oklahoma St,7-6,51.571,33,1534.15,18
49,Florida Int'l,9-4,83.571,127,1532.29,-5
50,Purdue,6-7,39.429,1,1531.83,15
51,Wake Forest,7-6,51.5,31,1528.52,18
52,Buffalo,10-4,75.067,104,1526.95,-16
53,Miami FL,7-6,55.786,50,1526.77,2
54,Arizona St,7-6,58.214,58,1526.7,0
55,Brigham Young,7-6,62.5,67,1526.63,-5
56,TCU,7-6,50.857,26,1523.59,8
