Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,6-0,67.857,87,1645.06,0
2,Ohio State,6-0,64.286,75,1629.39,1
3,Georgia,6-0,70.571,98,1621.13,1
4,Notre Dame,6-0,54.429,37,1619.84,1
5,Clemson,6-0,58.143,50,1609.4,3
6,Central Florida,5-0,86.667,123,1600.87,1
7,Oklahoma,5-1,53.429,31,1600.5,-5
8,Penn State,4-1,52.333,27,1597.37,-2
9,Michigan,5-1,60.429,58,1588.93,4
10,North Carolina St,5-0,68.0,88,1587.06,1
11,Wisconsin,4-1,67.333,85,1583.6,1
12,West Virginia,5-0,78.667,111,1581.56,2
13,Fresno St,4-1,78.667,112,1580.3,2
14,Cincinnati,6-0,87.571,125,1577.36,5
15,Texas,5-1,54.429,36,1575.0,1
16,South Florida,5-0,80.0,115,1573.3,5
17,Washington,5-1,69.143,91,1572.69,0
18,Florida,5-1,58.143,49,1567.43,8
19,Colorado,5-0,87.5,124,1567.03,5
20,Kentucky,5-1,53.857,33,1566.49,-11
21,Washington St,5-1,83.857,120,1563.85,6
22,Miami FL,5-1,65.571,79,1563.53,-2
23,LSU,5-1,48.0,19,1561.87,-13
24,Troy,5-1,84.286,121,1555.12,11
25,Iowa,4-1,58.833,52,1553.8,14
26,Oregon,4-1,84.5,122,1552.09,-1
27,Utah St,4-1,75.5,107,1552.05,13
28,North Texas,5-1,99.429,130,1550.27,4
29,Appalachian St,3-1,72.6,104,1546.93,1
30,Hawai`i,6-1,91.5,128,1543.82,7
31,Mississippi St,4-2,55.143,41,1543.32,19
32,Duke,4-1,61.167,65,1542.71,1
33,Oklahoma St,4-2,70.571,97,1541.27,-11
34,Buffalo,5-1,78.143,110,1541.15,9
35,Houston,4-1,81.5,116,1541.09,9
36,Memphis,4-2,95.0,129,1540.0,12
37,Boise St,3-2,53.833,32,1539.69,-14
38,Auburn,4-2,55.143,42,1538.69,-20
39,Texas A&M;,4-2,56.143,45,1536.94,12
40,Alabama-Birmingham,4-1,82.5,117,1535.75,15
41,San Diego St,4-1,60.667,61,1531.01,12
42,Michigan St,3-2,52.5,28,1527.81,-14
43,Boston College,4-2,60.714,62,1527.8,-9
44,Temple,3-3,66.714,83,1527.77,22
45,Georgia Southern,4-1,72.167,103,1526.39,17
46,Syracuse,4-2,70.429,95,1524.38,-15
47,Purdue,2-3,61.833,66,1523.27,-1
48,Stanford,4-2,43.714,12,1523.12,-19
49,Army,3-2,38.167,6,1522.75,-2
50,South Carolina,3-2,39.5,7,1521.35,4
51,Indiana,4-2,54.714,38,1520.55,-15
52,Mississippi,4-2,64.0,74,1519.68,20
53,Utah,3-2,50.0,23,1518.27,20
54,Texas Tech,3-2,43.0,10,1517.14,-2
55,Missouri,3-2,54.833,39,1513.4,-6
56,Virginia,3-2,60.5,60,1512.6,0
57,Southern Cal,3-2,41.833,8,1512.5,0
58,Maryland,3-2,42.333,9,1512.24,-20
59,Arizona St,3-3,46.571,13,1510.64,-14
60,TCU,3-2,52.833,29,1510.32,-1
61,Virginia Tech,3-2,59.333,54,1509.47,-20
62,Baylor,4-2,63.429,71,1508.05,6
63,Minnesota,3-2,47.667,16,1506.19,-21
64,Florida Int'l,3-2,71.833,101,1504.06,1
65,Iowa St,2-3,35.5,3,1503.92,12
66,Georgia Tech,3-3,67.0,84,1503.75,21
67,Toledo,3-2,64.833,77,1502.82,8
68,Ohio U.,3-2,72.0,102,1501.61,1
69,Northwestern,2-3,36.333,4,1500.89,15
70,Southern Miss,2-2,82.6,118,1498.75,-3
71,Florida Atlantic,3-3,60.429,59,1497.51,15
72,Arkansas St,3-2,63.5,72,1497.02,-2
73,Arizona,3-3,73.143,105,1496.87,12
74,Western Michigan,4-2,66.143,81,1494.94,5
75,Florida St,3-3,64.286,76,1492.76,-4
76,New Mexico,3-2,79.833,114,1492.39,17
77,Marshall,3-2,67.5,86,1491.98,-19
78,Illinois,3-2,65.667,80,1491.19,13
79,Vanderbilt,3-3,52.286,26,1489.96,-18
80,California,3-2,70.167,93,1488.66,-17
81,Louisiana Tech,3-2,55.667,43,1485.49,-21
82,Air Force,2-3,70.333,94,1485.2,19
83,Miami OH,2-4,63.286,70,1484.95,16
84,Middle Tennessee St,3-2,59.333,55,1483.8,10
85,Coastal Carolina,3-2,55.0,40,1481.31,-3
86,Wake Forest,3-3,56.429,47,1480.43,-22
87,Pittsburgh,3-3,50.857,24,1480.22,10
88,Northern Illinois,3-3,65.571,78,1479.9,7
89,Texas-San Antonio,3-3,83.143,119,1475.74,13
90,Louisiana-Lafayette,2-3,59.833,57,1467.54,16
91,Brigham Young,3-3,47.571,15,1465.83,-15
92,Tulane,2-4,43.286,11,1465.23,-9
93,Akron,2-2,68.8,90,1463.71,-19
94,Eastern Michigan,2-4,58.429,51,1462.28,-5
95,Kansas St,2-4,47.714,18,1460.17,-3
96,Kansas,2-4,66.714,82,1459.43,-8
97,East Carolina,2-3,68.333,89,1459.08,-19
98,Navy,2-3,63.833,73,1456.89,-18
99,UNLV,2-3,76.833,109,1455.58,-18
100,Nevada,3-3,70.0,92,1453.43,-10
101,Tennessee,2-3,48.167,20,1453.04,3
102,Western Kentucky,1-4,71.0,99,1452.36,3
103,Wyoming,2-4,54.286,35,1450.71,-5
104,Ball St,2-4,70.429,96,1444.28,-8
105,North Carolina,1-3,56.4,46,1443.4,4
106,Georgia St,2-4,55.857,44,1440.06,-3
107,Colorado St,2-4,62.429,69,1434.96,17
108,Louisville,2-4,60.714,64,1432.77,-8
109,SMU,2-4,46.571,14,1429.61,-2
110,Tulsa,1-4,48.667,22,1428.26,-2
111,UNC-Charlotte,2-3,71.167,100,1424.53,7
112,New Mexico St,2-4,74.857,106,1424.5,10
113,Massachusetts,2-5,58.875,53,1418.42,-2
114,Central Michigan,1-5,57.857,48,1416.15,-1
115,Nebraska,0-5,17.5,2,1414.79,2
116,Texas St-San Marcos,1-4,90.5,127,1413.64,-6
117,South Alabama,1-5,47.714,17,1412.22,-5
118,UCLA,0-5,10.833,1,1411.94,2
119,Old Dominion,1-5,75.571,108,1409.83,-5
120,Arkansas,1-5,48.286,21,1409.7,-1
121,Rutgers,1-5,53.0,30,1407.35,-6
122,Louisiana-Monroe,2-4,59.429,56,1404.46,-6
123,Kent St,1-5,62.143,68,1402.21,4
124,Oregon St,1-5,54.286,34,1398.3,1
125,San José St,0-5,51.667,25,1396.74,-2
126,Rice,1-5,62.143,67,1388.67,0
127,Connecticut,1-5,37.714,5,1387.34,1
128,Bowling Green,1-5,60.714,63,1380.22,1
129,Idaho,2-3,88.667,126,1367.97,-8
130,UTEP,0-6,79.143,113,1366.59,0
