Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,9-0,64.4,71,1696.49,0
2,Clemson,9-0,62.9,65,1665.06,0
3,Michigan,8-1,46.4,12,1654.63,2
4,Notre Dame,9-0,64.1,69,1651.78,-1
5,Oklahoma,8-1,55.1,37,1645.38,-1
6,Central Florida,8-0,75.222,111,1635.74,0
7,Georgia,8-1,52.0,24,1635.35,0
8,Fresno St,8-1,86.2,127,1627.9,0
9,Utah St,8-1,84.5,124,1617.92,3
10,Ohio State,8-1,71.0,95,1615.86,-1
11,Washington St,8-1,73.6,105,1603.37,3
12,Alabama-Birmingham,8-1,84.2,123,1598.9,3
13,Boise St,7-2,70.9,93,1590.38,5
14,Buffalo,8-1,73.7,108,1587.86,7
15,LSU,7-2,42.9,7,1586.1,-4
16,Cincinnati,8-1,77.7,116,1585.83,8
17,Penn State,6-3,43.0,8,1583.64,-7
18,West Virginia,7-1,65.667,73,1583.03,2
19,Washington,7-3,62.182,62,1580.17,6
20,Boston College,7-2,67.7,79,1578.49,7
21,Mississippi St,6-3,55.2,38,1574.41,17
22,Appalachian St,6-2,71.889,99,1573.26,12
23,Iowa,6-3,53.6,30,1573.06,-6
24,Army,7-2,64.1,68,1572.99,2
25,Purdue,5-4,42.7,6,1569.73,4
26,Syracuse,7-2,71.9,100,1569.43,10
27,Michigan St,6-3,41.8,3,1568.75,12
28,Texas,6-3,55.2,39,1568.22,-6
29,Iowa St,5-3,49.0,14,1567.0,8
30,Houston,7-2,83.3,122,1566.29,-17
31,North Texas,7-2,85.5,125,1563.61,-3
32,Wisconsin,6-3,68.4,84,1563.32,3
33,Kentucky,7-2,54.6,34,1562.23,-17
34,North Carolina St,6-2,51.556,21,1561.36,7
35,Ohio U.,6-3,79.1,117,1554.32,17
36,Auburn,6-3,57.7,49,1553.7,6
37,Utah,6-3,53.9,31,1552.9,-18
38,Troy,7-2,85.7,126,1552.77,6
39,Missouri,5-4,42.6,5,1547.19,16
40,San Diego St,7-2,70.0,90,1544.26,7
41,Temple,5-4,57.1,44,1542.77,-8
42,Georgia Southern,7-2,74.4,110,1540.22,-19
43,Virginia,6-3,66.9,78,1537.56,-11
44,Duke,6-3,56.8,43,1534.83,13
45,Florida,6-3,51.4,20,1534.75,-14
46,Arizona St,5-4,52.7,26,1534.06,16
47,South Carolina,5-3,51.778,22,1531.43,9
48,South Florida,7-2,81.6,120,1530.31,-18
49,Oregon,6-3,70.3,91,1527.93,9
50,Northwestern,5-4,44.7,9,1526.76,-7
51,Middle Tennessee St,6-3,73.6,107,1524.94,9
52,Georgia Tech,5-4,71.3,97,1524.17,7
53,Marshall,5-3,73.889,109,1524.15,-8
54,Memphis,5-4,81.5,119,1523.46,9
55,Toledo,5-4,68.4,85,1521.0,11
56,Southern Cal,5-4,54.2,33,1520.2,9
57,Texas Tech,5-4,52.1,25,1519.67,-8
58,Stanford,5-4,38.3,2,1518.53,-7
59,Arizona,5-5,68.273,83,1515.69,8
60,Pittsburgh,5-4,42.5,4,1514.26,12
61,Miami FL,5-4,55.8,41,1514.01,-13
62,Texas A&M;,5-4,45.2,11,1513.17,-8
63,Northern Illinois,6-3,66.1,76,1512.85,6
64,Florida Int'l,6-3,86.4,128,1511.39,-24
65,Oklahoma St,5-4,63.1,66,1511.33,-12
66,Maryland,5-4,55.7,40,1507.3,-16
67,Louisiana Tech,6-3,62.0,60,1506.73,-21
68,Arkansas St,5-4,72.7,102,1499.02,12
69,Tulane,4-5,55.1,36,1495.67,22
70,Mississippi,5-4,58.1,51,1495.49,-9
71,Southern Miss,4-4,73.222,103,1492.39,7
72,Florida Atlantic,4-5,57.6,47,1491.75,21
73,Eastern Michigan,5-5,60.727,57,1488.32,12
74,Colorado,5-4,73.6,106,1488.26,-10
75,Baylor,5-4,57.5,46,1487.58,12
76,Miami OH,3-6,62.1,61,1485.3,-8
