Rank,Team,Record,SoS,SoS Rank,ELO,Change
77,Nevada,5-4,62.2,63,1483.68,0
78,California,5-4,67.8,80,1483.28,-5
79,Vanderbilt,4-5,49.3,16,1482.59,0
80,Brigham Young,4-5,49.0,15,1482.08,-5
81,TCU,4-5,53.1,27,1480.87,3
82,Virginia Tech,4-4,62.0,59,1478.31,-8
83,Louisiana-Monroe,5-4,71.5,98,1477.77,13
84,Florida St,4-5,59.7,56,1475.18,-13
85,Louisiana-Lafayette,4-5,59.0,53,1472.93,-9
86,Indiana,4-5,51.1,19,1470.21,3
87,Western Michigan,6-4,68.636,86,1469.78,-17
88,Kansas St,3-6,51.8,23,1467.15,0
89,Air Force,3-6,58.4,52,1466.18,-3
90,Tennessee,4-5,50.2,18,1465.59,5
91,SMU,4-5,46.8,13,1464.0,11
92,Wake Forest,4-5,57.1,45,1461.23,-11
93,Wyoming,4-6,59.091,54,1461.0,7
94,Coastal Carolina,5-4,62.7,64,1460.71,-12
95,Illinois,4-5,64.3,70,1455.24,9
96,Hawai`i,6-5,73.5,104,1450.84,-6
97,Minnesota,4-5,57.6,48,1449.1,-14
98,Akron,4-4,65.778,74,1447.5,-6
99,Nebraska,2-7,45.0,10,1437.53,-1
100,New Mexico,3-6,68.8,87,1431.5,-1
101,UNC-Charlotte,4-5,71.1,96,1430.0,-7
102,Kansas,3-6,69.5,88,1426.88,-5
103,Texas St-San Marcos,3-6,91.3,129,1426.68,7
104,Texas-San Antonio,3-6,70.8,92,1418.26,-3
105,Massachusetts,4-6,71.0,94,1416.56,3
106,UCLA,2-7,33.6,1,1410.98,-3
107,Tulsa,2-7,64.0,67,1409.72,13
108,Arkansas,2-7,61.6,58,1408.17,3
109,Colorado St,3-6,77.3,115,1407.7,3
110,East Carolina,2-6,59.222,55,1407.54,-5
111,Navy,2-7,54.2,32,1403.76,-5
112,North Carolina,1-7,56.0,42,1402.02,-5
113,Kent St,2-7,75.5,112,1394.25,11
114,Georgia St,2-7,68.2,82,1393.51,-5
115,Ball St,3-7,72.091,101,1388.02,-2
116,Louisville,2-7,53.4,29,1386.18,1
117,UNLV,2-7,70.0,89,1385.63,-2
118,South Alabama,2-7,58.0,50,1382.97,-4
119,Western Kentucky,1-8,77.3,113,1382.56,-3
120,Old Dominion,2-7,77.3,114,1381.36,2
121,Oregon St,2-7,53.2,28,1378.97,-3
122,New Mexico St,3-7,82.273,121,1377.56,3
123,San José St,1-8,66.0,75,1376.78,-4
124,Rutgers,1-8,54.9,35,1372.76,-3
125,Central Michigan,1-9,66.545,77,1367.25,-2
126,UTEP,1-8,79.3,118,1362.79,3
127,Connecticut,1-8,49.6,17,1342.67,-1
128,Bowling Green,1-8,65.4,72,1337.43,-1
129,Rice,1-9,67.818,81,1330.26,-1
