Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,4-0,50.8,28,1615.94,0
2,Ohio State,4-0,80.2,116,1605.88,0
3,Penn State,4-0,69.2,93,1602.53,0
4,Oklahoma,4-0,67.2,90,1592.39,0
5,Georgia,4-0,63.2,79,1587.72,0
6,Notre Dame,4-0,54.0,38,1577.8,5
7,Clemson,4-0,74.2,107,1573.22,5
8,Wisconsin,3-1,53.0,36,1571.24,5
9,Stanford,4-0,58.0,56,1571.18,1
10,Central Florida,3-0,83.5,121,1567.62,9
11,Duke,4-0,66.0,87,1567.59,-4
12,Kentucky,4-0,60.8,69,1566.37,11
13,Michigan,3-1,62.4,73,1559.88,13
14,South Florida,4-0,83.0,120,1558.57,6
15,LSU,4-0,49.4,22,1557.77,12
16,Buffalo,4-0,75.4,109,1556.75,14
17,North Carolina St,3-0,79.25,115,1556.57,14
18,Syracuse,4-0,83.6,122,1555.84,7
19,North Texas,4-0,98.2,130,1553.44,-1
20,Texas,3-1,55.4,42,1551.76,14
21,West Virginia,3-0,77.0,112,1550.67,17
22,Memphis,3-1,86.8,125,1550.31,11
23,Auburn,3-1,57.2,52,1545.03,17
24,Fresno St,2-1,70.25,96,1542.34,-2
25,Cincinnati,4-0,85.8,123,1541.32,11
26,Washington,3-1,55.4,43,1539.56,15
27,Miami FL,3-1,53.8,37,1538.55,24
28,Washington St,3-1,81.4,119,1538.08,-13
29,Oklahoma St,3-1,59.2,61,1537.84,-23
30,Colorado,3-0,91.25,129,1536.54,-2
31,Boise St,2-1,50.75,27,1536.03,-2
32,Mississippi St,3-1,64.6,84,1535.83,-24
33,Michigan St,2-1,36.0,7,1535.41,20
34,Florida,3-1,72.4,102,1533.56,21
35,Texas Tech,3-1,50.4,24,1532.9,25
36,Maryland,3-1,47.2,13,1532.72,30
37,Iowa,3-1,62.4,75,1532.38,-23
38,Virginia,3-1,71.2,99,1531.22,18
39,South Carolina,2-1,31.5,5,1530.81,20
40,Utah St,3-1,76.4,111,1530.16,12
41,Oregon,3-1,77.4,113,1530.15,-20
42,Minnesota,3-1,56.0,47,1527.61,-33
43,California,3-0,70.25,97,1527.54,-6
44,Hawai`i,4-1,88.5,127,1526.85,-2
45,Indiana,3-1,50.4,23,1526.62,-28
46,Houston,3-1,71.8,101,1525.69,-2
47,Appalachian St,2-1,60.0,65,1524.57,-1
48,Boston College,3-1,75.2,108,1521.89,-32
49,Missouri,3-1,56.0,46,1521.89,-25
50,Mississippi,3-1,56.8,50,1519.16,19
51,Baylor,3-1,64.4,83,1518.91,23
52,Temple,2-2,57.8,54,1518.55,15
53,Troy,3-1,73.6,104,1515.91,15
54,Southern Miss,2-1,88.0,126,1515.59,18
55,San Diego St,3-1,56.6,49,1515.01,7
56,Arkansas St,3-1,64.2,82,1513.93,15
57,Brigham Young,3-1,50.6,26,1510.57,0
58,Toledo,2-1,63.75,81,1508.65,30
59,Texas A&M;,2-2,47.4,16,1507.08,-20
60,Purdue,1-3,51.4,31,1506.04,32
61,Vanderbilt,2-2,48.4,19,1505.85,-26
62,Arizona St,2-2,44.4,12,1505.39,-17
63,Coastal Carolina,3-1,67.6,91,1504.55,10
64,Virginia Tech,2-1,81.25,118,1503.95,-32
65,Utah,2-1,65.0,85,1503.58,0
66,Marshall,2-1,60.5,67,1502.66,-23
67,Southern Cal,2-2,27.2,3,1500.69,20
68,TCU,2-2,52.8,33,1500.02,-20
69,Florida Int'l,2-2,58.0,57,1499.61,-22
70,Louisiana Tech,2-1,61.5,70,1499.13,-21
71,Iowa St,1-2,28.75,4,1497.22,23
72,Kansas,2-2,80.4,117,1494.98,-22
73,Army,2-2,37.2,9,1493.49,-12
74,Alabama-Birmingham,2-1,73.75,105,1493.34,2
75,Arizona,2-2,70.0,95,1491.73,25
76,New Mexico,2-1,65.75,86,1490.54,7
77,Akron,2-1,69.5,94,1489.61,-23
78,Georgia Southern,2-1,60.0,64,1488.84,6
79,Northwestern,1-2,36.25,8,1488.62,6
80,Florida St,2-2,63.0,78,1485.3,24
81,Navy,2-2,61.6,71,1484.42,0
82,Florida Atlantic,2-2,47.2,14,1484.34,-18
83,UNLV,2-2,76.0,110,1483.95,-13
84,Wake Forest,2-2,57.0,51,1483.6,-26
85,Eastern Michigan,2-2,51.6,32,1483.41,-10
86,Kansas St,2-2,58.4,58,1480.66,-23
87,Western Michigan,2-2,56.2,48,1479.99,21
88,Wyoming,2-2,66.2,88,1479.57,3
89,East Carolina,1-2,59.5,62,1479.01,-9
90,Pittsburgh,2-2,66.6,89,1478.88,-8
91,Ohio U.,1-2,47.75,18,1478.12,-5
92,Illinois,2-2,53.0,34,1470.41,-13
93,Louisville,2-2,53.0,35,1469.96,-16
94,Tennessee,2-2,62.4,74,1468.77,-16
95,Air Force,1-2,62.5,76,1468.28,-6
96,North Carolina,1-2,54.75,41,1464.23,16
97,Miami OH,1-3,51.0,29,1464.04,23
98,Louisiana-Lafayette,1-2,55.75,45,1462.89,1
99,Western Kentucky,1-3,68.8,92,1461.71,19
100,Nevada,2-2,73.2,103,1459.86,-10
101,Middle Tennessee St,1-2,48.5,20,1458.12,6
102,Louisiana-Monroe,2-2,58.6,59,1456.05,-5
103,South Alabama,1-3,47.2,15,1455.2,-8
104,Tulane,1-3,57.4,53,1452.74,-6
105,Massachusetts,2-3,71.667,100,1452.62,21
106,Northern Illinois,1-3,57.8,55,1452.37,-13
