Rank,Conference,Elo
1,SEC West,1589.53
2,Big 10 East,1581.97
3,Big 12,1562.72
4,SEC East,1559.41
5,PAC 12 North,1552.96
6,Big 10 West,1551.35
7,ACC Atlantic,1551.3
8,AAC West,1550.72
9,Sun Belt East,1532.17
10,MW Mountain,1528.8
11,ACC Coastal,1518.76
12,PAC 12 South,1518.75
13,AAC East,1503.71
14,MW West,1484.46
15,MAC West,1473.84
16,Sun Belt West,1459.94
17,Independent,1450.46
18,Ivy League,1429.69
19,MVFC,1423.14
20,MAC East,1422.31
21,CAA,1415.61
22,CUSA East,1409.86
23,FCS,1387.89
24,CUSA West,1382.71
25,Big Sky,1375.23
26,Southern,1374.65
27,OVC,1366.81
28,Southland,1365.62
29,Big South,1360.04
30,NEC,1357.08
31,MEAC,1344.5
32,Pioneer,1341.29
33,SWAC West,1330.25
34,SWAC East,1313.1
35,Patriot,1299.61
36,CFB,1100.0
