Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Ohio State,(9-0),1754.61,1527,35,N/A,Big 10 East,True
2,Clemson,(10-0),1742.84,1488,83,N/A,ACC Atlantic,True
3,LSU,(9-0),1719.12,1526,40,N/A,SEC West,True
4,Alabama,(8-1),1709.05,1512,57,N/A,SEC West,True
5,Georgia,(8-1),1701.55,1517,51,N/A,SEC East,True
6,Penn State,(8-1),1680.4,1536,23,N/A,Big 10 East,True
7,Minnesota,(9-0),1675.17,1512,57,N/A,Big 10 West,True
8,Oregon,(8-1),1673.59,1526,40,N/A,PAC 12 North,True
9,Utah,(8-1),1669.34,1489,79,N/A,PAC 12 South,True
10,Florida,(8-2),1658.17,1545,15,N/A,SEC East,True
11,Oklahoma,(8-1),1656.06,1502,67,N/A,Big 12,True
12,Baylor,(9-0),1654.46,1462,108,N/A,Big 12,True
13,Wisconsin,(7-2),1652.53,1543,18,N/A,Big 10 West,True
14,Auburn,(7-2),1651.81,1556,6,N/A,SEC West,True
15,Appalachian St,(8-1),1643.95,1456,112,N/A,Sun Belt East,False
16,Michigan,(7-2),1640.89,1532,29,N/A,Big 10 East,True
17,Memphis,(8-1),1637.11,1483,88,N/A,AAC West,False
18,Central Florida,(7-3),1634.7,1476,97,N/A,AAC East,False
19,Boise St,(8-1),1630.74,1490,78,N/A,MW Mountain,False
20,SMU,(9-1),1623.02,1472,100,N/A,AAC West,False
21,North Dakota St,(10-0),1618.71,1350,209,N/A,MVFC,False
22,Indiana,(7-2),1617.44,1462,108,N/A,Big 10 East,True
23,Navy,(7-1),1615.93,1479,93,N/A,AAC West,False
24,Cincinnati,(8-1),1614.57,1493,74,N/A,AAC East,False
25,Air Force,(7-2),1613.33,1483,88,N/A,MW Mountain,False
26,Washington,(6-4),1610.89,1520,47,N/A,PAC 12 North,True
27,Iowa St,(5-4),1607.69,1551,13,N/A,Big 12,True
28,Texas A&M,(6-3),1603.74,1508,62,N/A,SEC West,True
29,Notre Dame,(7-2),1602.45,1527,35,N/A,Independent,False
30,Louisiana-Lafayette,(7-2),1601.5,1466,106,N/A,Sun Belt West,False
31,James Madison,(9-1),1598.37,1384,174,N/A,CAA,False
32,Kansas St,(6-3),1594.59,1530,31,N/A,Big 12,True
33,Iowa,(6-3),1593.33,1524,43,N/A,Big 10 West,True
34,Wake Forest,(7-2),1588.95,1477,95,N/A,ACC Atlantic,True
35,Oklahoma St,(6-3),1583.77,1533,26,N/A,Big 12,True
36,Dartmouth,(8-0),1579.1,1371,193,N/A,Ivy League,False
