Rank,Team,Record,SoS,SoS Rank,ELO,Change
1,Alabama,10-0,58.455,51,1711.64,0
2,Clemson,10-0,59.818,56,1683.03,0
3,Michigan,9-1,53.091,26,1664.79,0
4,Notre Dame,10-0,65.364,72,1664.33,0
5,Georgia,9-1,51.818,22,1651.43,2
6,Oklahoma,9-1,56.273,41,1648.48,-1
7,Central Florida,9-0,73.9,106,1642.76,-1
8,Ohio State,9-1,68.091,85,1636.05,2
9,Utah St,9-1,85.273,126,1627.81,0
10,Washington St,9-1,74.818,109,1620.7,1
11,Fresno St,8-2,77.727,119,1610.32,-3
12,Boise St,8-2,63.727,69,1607.95,1
13,Alabama-Birmingham,9-1,83.909,124,1605.87,-1
14,West Virginia,8-1,66.8,77,1601.65,4
15,Cincinnati,9-1,74.273,107,1601.62,1
16,Penn State,7-3,42.091,3,1601.59,1
17,Buffalo,9-1,77.364,117,1599.97,-3
18,LSU,8-2,50.818,19,1595.07,-3
19,Appalachian St,7-2,75.2,110,1590.01,3
20,Iowa St,6-3,55.0,35,1582.2,9
21,Texas,7-3,59.0,53,1581.96,7
22,Syracuse,8-2,75.818,114,1581.83,4
23,Washington,7-3,62.364,64,1580.17,-4
24,Army,8-2,68.0,84,1575.23,0
25,Troy,8-2,81.818,123,1572.46,13
26,Utah,7-3,52.636,25,1567.21,11
27,Temple,6-4,56.818,44,1561.77,14
28,Boston College,7-3,65.091,71,1560.52,-8
29,Iowa,6-4,51.636,21,1559.67,-6
30,Mississippi St,6-4,49.636,11,1559.26,-9
31,Missouri,6-4,49.727,12,1557.84,8
32,Michigan St,6-4,40.091,2,1548.56,-5
33,Houston,7-3,80.273,121,1547.3,-3
34,North Texas,7-3,86.818,128,1546.82,-3
35,Florida,7-3,53.818,31,1546.69,10
36,North Carolina St,6-3,55.2,36,1546.57,-2
37,Wisconsin,6-4,62.455,66,1545.37,-5
38,Duke,7-3,62.455,65,1544.18,6
39,Ohio U.,6-4,77.455,118,1544.14,-4
40,Arizona St,6-4,60.091,57,1540.55,6
41,Virginia,7-3,72.455,100,1540.45,2
42,Northwestern,6-4,45.545,6,1540.15,8
43,Memphis,6-4,84.182,125,1539.54,11
44,Marshall,6-3,75.3,111,1539.44,9
45,Georgia Tech,6-4,72.182,98,1538.27,7
46,Middle Tennessee St,7-3,75.455,113,1537.88,5
47,Auburn,6-4,54.364,33,1537.62,-11
48,Northern Illinois,7-3,65.818,74,1537.33,15
49,Pittsburgh,6-4,45.545,5,1536.99,11
50,Stanford,6-4,47.636,8,1533.65,8
51,Kentucky,7-3,56.727,43,1533.41,-18
52,Purdue,5-5,45.0,4,1533.04,-27
53,Florida Int'l,7-3,87.091,129,1532.57,11
54,Texas A&M,6-4,52.091,23,1532.29,8
55,San Diego St,7-3,69.455,87,1530.42,-15
56,Arkansas St,6-4,75.364,112,1521.9,12
57,Georgia Southern,7-3,67.909,82,1520.53,-15
58,South Carolina,5-4,51.3,20,1519.5,-11
59,Louisiana Tech,7-3,69.818,91,1516.96,8
60,Arizona,5-5,69.545,89,1515.69,-1
61,Southern Cal,5-5,53.636,29,1514.54,-5
62,South Florida,7-3,76.0,115,1514.52,-14
63,Oregon,6-4,65.091,70,1513.61,-14
64,Oklahoma St,5-5,58.182,48,1508.23,1
65,Eastern Michigan,6-5,68.25,86,1508.11,8
66,Florida Atlantic,5-5,58.364,49,1506.64,6
67,Tulane,5-5,59.364,54,1506.22,2
68,Texas Tech,5-5,50.455,15,1505.94,-11
69,Nevada,6-4,70.273,93,1504.66,8
70,Brigham Young,5-5,53.636,30,1500.92,10
71,Miami FL,5-5,56.455,42,1499.9,-10
72,Maryland,5-5,55.455,38,1498.03,-6
73,Louisiana-Monroe,6-4,78.364,120,1497.14,10
74,Toledo,5-5,66.364,75,1496.51,-19
75,Miami OH,4-6,58.0,47,1495.47,1
76,Tennessee,5-5,50.727,18,1494.41,14
77,California,6-4,67.818,81,1488.94,1
78,Louisiana-Lafayette,5-5,62.364,63,1488.13,7
79,Minnesota,5-5,57.091,45,1485.78,18
80,Air Force,4-6,61.182,61,1485.75,9
81,Southern Miss,4-5,67.1,78,1485.42,-10
82,Indiana,5-5,50.727,17,1479.48,4
83,Kansas St,4-6,58.455,52,1477.64,5
84,SMU,5-5,55.455,37,1477.52,7
85,Mississippi,5-5,60.091,58,1476.36,-15
86,Wake Forest,5-5,56.182,39,1476.02,6
87,Baylor,5-5,52.273,24,1472.38,-12
88,Vanderbilt,4-6,47.727,10,1471.93,-9
89,Colorado,5-5,68.0,83,1470.93,-15
90,Western Michigan,6-4,69.727,90,1469.78,-3
91,Florida St,4-6,54.818,34,1462.63,-7
92,TCU,4-6,47.636,9,1462.25,-11
93,Nebraska,3-7,50.273,14,1461.33,6
94,Wyoming,4-6,58.455,50,1461.0,-1
95,Virginia Tech,4-5,59.6,55,1455.58,-13
96,Hawai`i,6-5,72.667,102,1450.84,0
97,Coastal Carolina,5-5,60.636,60,1437.83,-3
98,Illinois,4-6,70.091,92,1431.44,-3
99,Akron,4-5,63.1,68,1427.7,-1
100,Kansas,3-7,72.636,101,1416.4,2
101,UNC-Charlotte,4-6,66.727,76,1414.71,0
102,New Mexico,3-7,70.909,94,1411.92,-2
103,Texas St-San Marcos,3-7,85.273,127,1409.93,0
104,UCLA,2-8,36.364,1,1404.48,2
105,UNLV,3-7,67.364,79,1399.47,12
106,Arkansas,2-8,61.273,62,1399.2,2
107,Old Dominion,3-7,71.727,97,1398.15,13
108,Massachusetts,4-7,73.667,105,1397.72,-3
109,Texas-San Antonio,3-7,69.455,88,1397.08,-5
110,East Carolina,2-7,58.0,46,1396.99,0
111,Navy,2-8,46.273,7,1396.74,0
112,Tulsa,2-8,60.273,59,1393.65,-5
113,North Carolina,1-8,53.9,32,1392.67,-1
114,Ball St,3-7,72.273,99,1388.02,1
115,Colorado St,3-7,76.727,116,1386.71,-6
116,Kent St,2-8,71.636,95,1382.14,-3
117,Georgia St,2-8,65.545,73,1378.31,-3
118,New Mexico St,3-7,81.636,122,1377.56,4
119,Louisville,2-8,50.545,16,1373.79,-3
120,Western Kentucky,1-9,73.364,103,1367.67,-1
121,San José St,1-9,62.818,67,1366.89,2
122,Oregon St,2-8,53.091,27,1363.85,-1
123,South Alabama,2-8,56.273,40,1363.6,-5
124,Rutgers,1-9,50.182,13,1362.6,0
125,Bowling Green,2-8,74.636,108,1357.39,3
126,UTEP,1-9,73.545,104,1349.85,0
127,Central Michigan,1-10,71.667,96,1347.29,-2
