,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2011,Air Force,Mountain West,,13,7,6,0,7,3,4,0,7,4,3,0,5,3,2,0
1,2011,Akron,Mid-American,East,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
2,2011,Alabama,SEC,West,13,12,1,0,9,8,1,0,7,6,1,0,5,5,0,0
3,2011,Arizona,Pac-12,South,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
4,2011,Arizona State,Pac-12,South,13,6,7,0,9,4,5,0,7,5,2,0,5,1,4,0
5,2011,Arkansas,SEC,West,13,11,2,0,8,6,2,0,7,7,0,0,4,2,2,0
6,2011,Arkansas State,Sun Belt,,13,10,3,0,8,8,0,0,6,6,0,0,6,4,2,0
7,2011,Army,FBS Independents,,12,3,9,0,0,0,0,0,4,3,1,0,6,0,6,0
8,2011,Auburn,SEC,West,13,8,5,0,8,4,4,0,7,6,1,0,5,1,4,0
9,2011,Ball State,Mid-American,West,12,6,6,0,8,4,4,0,5,3,2,0,6,2,4,0
10,2011,Baylor,Big 12,,13,10,3,0,9,6,3,0,7,7,0,0,4,1,3,0
11,2011,Boise State,Mountain West,,13,12,1,0,7,6,1,0,6,5,1,0,6,6,0,0
12,2011,Boston College,ACC,Atlantic,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
13,2011,Bowling Green,Mid-American,East,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
14,2011,Buffalo,Mid-American,East,12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
15,2011,BYU,FBS Independents,,13,10,3,0,0,0,0,0,7,6,1,0,4,3,1,0
16,2011,California,Pac-12,North,13,7,6,0,10,5,5,0,6,5,1,0,6,2,4,0
17,2011,Central Michigan,Mid-American,West,12,3,9,0,8,2,6,0,5,2,3,0,7,1,6,0
18,2011,Cincinnati,Big East,,13,10,3,0,7,5,2,0,6,5,1,0,6,4,2,0
19,2011,Clemson,ACC,Atlantic,14,10,4,0,9,7,2,0,7,7,0,0,5,2,3,0
20,2011,Colorado,Pac-12,South,13,3,10,0,10,2,8,0,5,1,4,0,7,1,6,0
21,2011,Colorado State,Mountain West,,12,3,9,0,7,1,6,0,6,1,5,0,5,2,3,0
22,2011,Connecticut,Big East,,12,5,7,0,7,3,4,0,7,4,3,0,5,1,4,0
23,2011,Duke,ACC,Coastal,12,3,9,0,8,1,7,0,7,1,6,0,5,2,3,0
24,2011,East Carolina,Conference USA,East,12,5,7,0,8,4,4,0,6,3,3,0,5,2,3,0
25,2011,Eastern Michigan,Mid-American,West,12,6,6,0,8,4,4,0,6,5,1,0,6,1,5,0
26,2011,Florida,SEC,East,13,7,6,0,8,3,5,0,7,5,2,0,4,1,3,0
27,2011,Florida Atlantic,Sun Belt,,12,1,11,0,8,0,8,0,5,1,4,0,7,0,7,0
28,2011,Florida International,Sun Belt,,13,8,5,0,8,5,3,0,6,4,2,0,6,4,2,0
29,2011,Florida State,ACC,Atlantic,13,9,4,0,8,5,3,0,7,5,2,0,5,3,2,0
30,2011,Fresno State,Western Athletic,,13,4,9,0,7,3,4,0,6,2,4,0,7,2,5,0
31,2011,Georgia,SEC,East,14,10,4,0,9,7,2,0,7,5,2,0,4,4,0,0
32,2011,Georgia Tech,ACC,Coastal,13,8,5,0,8,5,3,0,7,5,2,0,5,3,2,0
33,2011,Hawai'i,Western Athletic,,13,6,7,0,7,3,4,0,7,4,3,0,6,2,4,0
34,2011,Houston,Conference USA,West,14,13,1,0,9,8,1,0,7,6,1,0,6,6,0,0
35,2011,Idaho,Western Athletic,,12,2,10,0,7,1,6,0,6,1,5,0,6,1,5,0
36,2011,Illinois,Big Ten,Leaders,13,7,6,0,8,2,6,0,8,5,3,0,4,1,3,0
37,2011,Indiana,Big Ten,Leaders,12,1,11,0,8,0,8,0,6,1,5,0,5,0,5,0
38,2011,Iowa,Big Ten,Legends,13,7,6,0,8,4,4,0,7,6,1,0,5,1,4,0
39,2011,Iowa State,Big 12,,13,6,7,0,9,3,6,0,6,4,2,0,6,2,4,0
