,_id,_school,_mascot,_abbreviation,_alt_name_1,_alt_name_2,_alt_name_3,_conference,_division,_color,_alt_color,_logos,discriminator
55,130,Michigan,Wolverines,MICH,,,,Big Ten,Legends,#00274c,#ffcb05,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",
56,127,Michigan State,Spartans,MSU,,,,Big Ten,Legends,#18453B,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png']",
57,2393,Middle Tennessee,Blue Raiders,MTSU,,,,Conference USA,East,#0079C2,#c3c5c8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png']",
58,135,Minnesota,Golden Gophers,MINN,,,,Big Ten,Legends,#7F011B,#7a0019,"['http://a.espncdn.com/i/teamlogos/ncaa/500/135.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png']",
59,344,Mississippi State,Bulldogs,MSST,,,,SEC,West,#762123,#c8c8c8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/344.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png']",
60,142,Missouri,Tigers,MIZ,,,,SEC,East,#000000,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png']",
61,2426,Navy,Midshipmen,NAVY,,,,FBS Independents,,#131630,#b6a77c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2426.png']",
62,152,NC State,Wolfpack,NCST,,,,ACC,Atlantic,#EF1216,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",
63,158,Nebraska,Cornhuskers,NEB,,,,Big Ten,Legends,#F20017,#f5f1e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/158.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/158.png']",
64,2440,Nevada,Wolf Pack,NEV,,,,Mountain West,West,#153E5F,#8e9295,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2440.png']",
65,167,New Mexico,Lobos,UNM,,,,Mountain West,Mountain,#000000,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']",
66,166,New Mexico State,Aggies,NMSU,,,,FBS Independents,,#891216,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/166.png']",
67,153,North Carolina,Tar Heels,UNC,,,,ACC,Coastal,#99bfe5,#13294b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/153.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/153.png']",
68,2459,Northern Illinois,Huskies,NIU,,,,Mid-American,West,#F1122C,#cc0000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png']",
69,249,North Texas,Mean Green,UNT,,,,Conference USA,West,#00853D,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']",
70,77,Northwestern,Wildcats,NW,,,,Big Ten,Legends,#372286,#d6cac1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/77.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png']",
71,87,Notre Dame,Fighting Irish,ND,,,,FBS Independents,,#00122b,#ae9142,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",
72,195,Ohio,Bobcats,OHIO,,,,Mid-American,East,#295A29,#e4bb85,"['http://a.espncdn.com/i/teamlogos/ncaa/500/195.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png']",
73,194,Ohio State,Buckeyes,OSU,,,,Big Ten,Leaders,#DE3121,#666666,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",
74,201,Oklahoma,Sooners,OKLA,,,,Big 12,,#7b0000,#cccccc,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",
75,197,Oklahoma State,Cowboys,OKST,,,,Big 12,,#FF6500,#ff9900,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",
76,145,Ole Miss,Rebels,MISS,,,,SEC,West,#001148,#00205b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",
77,2483,Oregon,Ducks,ORE,,,,Pac-12,North,#044520,#fee123,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",
78,204,Oregon State,Beavers,ORST,,,,Pac-12,North,#c34500,#dea076,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",
79,213,Penn State,Nittany Lions,PSU,,,,Big Ten,Leaders,#00265D,#002e5c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",
80,221,Pittsburgh,Panthers,PITT,,,,ACC,Coastal,#003263,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",
81,2509,Purdue,Boilermakers,PUR,,,,Big Ten,Leaders,#B89D29,#a4a9ad,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png']",
82,242,Rice,Owls,RICE,,,,Conference USA,West,#003D7D,#d1d5d8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png']",
83,164,Rutgers,Scarlet Knights,RUTG,,,,American Athletic,,#d21034,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",
84,21,San Diego State,Aztecs,SDSU,,,,Mountain West,West,#BF2C37,#a8996e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/21.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png']",
85,23,San José State,Spartans,SJSU,,,,Mountain West,West,#005893,#fdba31,"['http://a.espncdn.com/i/teamlogos/ncaa/500/23.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png']",
86,2567,SMU,Mustangs,SMU,,,,American Athletic,,#E32F38,#ecdcb9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']",
87,6,South Alabama,Jaguars,USA,,,,Sun Belt,,#003E7E,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png']",
88,2579,South Carolina,Gamecocks,SC,,,,SEC,East,#670010,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",
89,2572,Southern Mississippi,Golden Eagles,USM,,,,Conference USA,East,#FFAA3C,#ffc423,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png']",
90,58,South Florida,Bulls,USF,,,,American Athletic,,#004A36,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/58.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png']",
91,24,Stanford,Cardinal,STAN,,,,Pac-12,North,#A80532,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",
92,183,Syracuse,Orange,SYR,,,,ACC,Atlantic,#F37321,#0d1d37,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']",
93,2628,TCU,Horned Frogs,TCU,,,,Big 12,,#3C377D,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']",
94,218,Temple,Owls,TEM,,,,American Athletic,,#A80532,#a7a9ac,"['http://a.espncdn.com/i/teamlogos/ncaa/500/218.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/218.png']",
95,2633,Tennessee,Volunteers,TENN,,,,SEC,East,#EE9627,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png']",
96,251,Texas,Longhorns,TEX,,,,Big 12,,#EE7524,#f0f0f0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",
97,245,Texas A&M,Aggies,TA&M,,,,SEC,West,#5C0025,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",
98,326,Texas State,Bobcats,TXST,,,,Sun Belt,,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']",
99,2641,Texas Tech,Red Raiders,TTU,,,,Big 12,,#C80025,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2641.png']",
100,2649,Toledo,Rockets,TOL,,,,Mid-American,West,#00488F,#ffd51d,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png']",
101,2653,Troy,Trojans,TROY,,,,Sun Belt,,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",
102,2655,Tulane,Green Wave,TULN,,,,Conference USA,West,#005837,#3baf29,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png']",
103,202,Tulsa,Golden Hurricane,TLSA,,,,Conference USA,West,#004371,#ee3b33,"['http://a.espncdn.com/i/teamlogos/ncaa/500/202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png']",
104,5,UAB,Blazers,UAB,,,,Conference USA,East,#003b28,#ffc845,"['http://a.espncdn.com/i/teamlogos/ncaa/500/5.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png']",
105,2116,UCF,Knights,UCF,,,,American Athletic,,#000000,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",
106,26,UCLA,Bruins,UCLA,,,,Pac-12,South,#005C8E,#ffc72c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/26.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png']",
107,113,UMass,Minutemen,UMASS,,,,Mid-American,East,#880007,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/113.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/113.png']",
108,2439,UNLV,Rebels,UNLV,,,,Mountain West,West,#000000,#c2c4c6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png']",
109,30,USC,Trojans,USC,,,,Pac-12,South,#AE2531,#ffc72c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",
110,254,Utah,Utes,UTAH,,,,Pac-12,South,#890012,#7e8083,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",
111,328,Utah State,Aggies,USU,,,,Mountain West,Mountain,#003263,#949ca1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/328.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png']",
112,2638,UTEP,Miners,UTEP,,,,Conference USA,West,#002843,#ff6f12,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2638.png']",
113,2636,UT San Antonio,Roadrunners,UTSA,,,,Conference USA,West,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']",
114,238,Vanderbilt,Commodores,VAN,,,,SEC,East,#000000,#231f20,"['http://a.espncdn.com/i/teamlogos/ncaa/500/238.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png']",
115,258,Virginia,Cavaliers,UVA,,,,ACC,Coastal,#00204e,#002d62,"['http://a.espncdn.com/i/teamlogos/ncaa/500/258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png']",
116,259,Virginia Tech,Hokies,VT,,,,ACC,Coastal,#74232D,#c2c1ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/259.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png']",
117,154,Wake Forest,Demon Deacons,WAKE,,,,ACC,Atlantic,#9E7E38,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/154.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png']",
118,264,Washington,Huskies,WASH,,,,Pac-12,North,#2B2F64,#e8e3d3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png']",
119,265,Washington State,Cougars,WSU,,,,Pac-12,North,#94022a,#6a747c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/265.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/265.png']",
120,98,Western Kentucky,Hilltoppers,WKU,,,,Sun Belt,,#F32026,#b3b5b8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/98.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/98.png']",
121,2711,Western Michigan,Broncos,WMU,,,,Mid-American,West,#B59966,#bfa979,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2711.png']",
122,277,West Virginia,Mountaineers,WVU,,,,Big 12,,#FFC600,#eaaa00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/277.png']",
