,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
21,40977,Big 12,197,"[14, 21, 7, 14]",56,0.6456734964157801,Oklahoma State,False,2.40312786330196,Conference USA,2636,"[7, 0, 0, 28]",35,0.3543265035842199,UT San Antonio,332502636,False,2013,regular,2013-09-07T12:00:00.000Z,,Alamodome,3604.0,2
22,48000,Conference USA,2393,"[0, 0, 7, 13]",20,0.01391515499927276,Middle Tennessee,False,3.0462592439251,ACC,153,"[13, 10, 3, 14]",40,0.9860848450007272,North Carolina,332500153,False,2013,regular,2013-09-07T12:30:00.000Z,,Kenan Memorial Stadium,3787.0,2
23,19414,Sun Belt,6,"[21, 10, 7, 3]",41,0.5340089504433583,South Alabama,False,7.0506689590001,Conference USA,2655,"[7, 12, 14, 6]",39,0.4659910495566418,Tulane,332502655,False,2013,regular,2013-09-07T15:30:00.000Z,,Mercedes-Benz Superdome,3493.0,2
24,90466,Conference USA,2572,"[3, 3, 7, 0]",13,0.009999015346848106,Southern Mississippi,False,2.8474051498134,Big Ten,158,"[21, 14, 14, 7]",56,0.9900009846531519,Nebraska,332500158,False,2013,regular,2013-09-07T18:00:00.000Z,,Memorial Stadium,3834.0,2
25,26317,,2241,"[0, 0, 0, 0]",0,0.000429026043863856,Gardner-Webb,False,2.13468095963384,Conference USA,276,"[14, 20, 21, 0]",55,0.9995709739561361,Marshall,332500276,False,2013,regular,2013-09-07T18:30:00.000Z,,Joan C. Edwards Stadium,3775.0,2
26,24511,Conference USA,249,"[7, 0, 7, 7]",21,0.1809725300184709,North Texas,False,3.94892305541152,Mid-American,195,"[7, 14, 0, 6]",27,0.8190274699815291,Ohio,332500195,False,2013,regular,2013-09-07T19:00:00.000Z,,Peden Stadium,3876.0,2
27,16372,,2320,"[0, 7, 0, 7]",14,0.17247865581705357,Lamar,False,4.86800863189414,Conference USA,2348,"[7, 7, 3, 10]",27,0.8275213441829464,Louisiana Tech,332502348,False,2013,regular,2013-09-07T19:00:00.000Z,,Joe Aillet Stadium,3776.0,2
28,22875,Mountain West,36,"[7, 13, 7, 0]",27,0.2136531269184243,Colorado State,False,8.86671860698907,Conference USA,202,"[14, 0, 3, 13]",30,0.7863468730815757,Tulsa,332500202,False,2013,regular,2013-09-07T19:00:00.000Z,,Skelly Field at H. A. Chapman Stadium,3674.0,2
29,90037,Conference USA,5,"[0, 17, 0, 0]",17,0.2931786358172448,UAB,False,2.29495467226845,SEC,99,"[21, 14, 21, 0]",56,0.7068213641827552,LSU,332500099,False,2013,regular,2013-09-07T19:37:00.000Z,,Tiger Stadium,3958.0,2
30,34907,Mountain West,167,"[7, 14, 0, 14, 7]",42,0.5844382304850786,New Mexico,False,5.49617134592072,Conference USA,2638,"[0, 21, 7, 7, 0]",35,0.4155617695149214,UTEP,332502638,False,2013,regular,2013-09-07T20:00:00.000Z,,Sun Bowl Stadium,3946.0,2
