,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2013,Air Force,Mountain West,Mountain,12,2,10,0,8,0,8,0,7,2,5,0,5,0,5,0
1,2013,Akron,Mid-American,East,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
2,2013,Alabama,SEC,West,13,11,2,0,8,7,1,0,7,7,0,0,4,3,1,0
3,2013,Arizona,Pac-12,South,13,8,5,0,9,4,5,0,6,4,2,0,6,3,3,0
4,2013,Arizona State,Pac-12,South,14,10,4,0,10,8,2,0,8,7,1,0,4,3,1,0
5,2013,Arkansas,SEC,West,12,3,9,0,8,0,8,0,7,3,4,0,5,0,5,0
6,2013,Arkansas State,Sun Belt,,13,8,5,0,7,5,2,0,6,5,1,0,6,2,4,0
7,2013,Army,FBS Independents,,12,3,9,0,0,0,0,0,5,2,3,0,5,0,5,0
8,2013,Auburn,SEC,West,14,12,2,0,9,8,1,0,8,8,0,0,4,3,1,0
9,2013,Ball State,Mid-American,West,13,10,3,0,8,7,1,0,6,6,0,0,6,4,2,0
10,2013,Baylor,Big 12,,13,11,2,0,9,8,1,0,7,7,0,0,4,3,1,0
11,2013,Boise State,Mountain West,Mountain,13,8,5,0,8,6,2,0,6,6,0,0,6,2,4,0
12,2013,Boston College,ACC,Atlantic,13,7,6,0,8,4,4,0,6,5,1,0,6,2,4,0
13,2013,Bowling Green,Mid-American,East,14,10,4,0,9,8,1,0,6,5,1,0,6,4,2,0
14,2013,Buffalo,Mid-American,East,13,8,5,0,8,6,2,0,6,5,1,0,6,3,3,0
15,2013,BYU,FBS Independents,,13,8,5,0,0,0,0,0,6,5,1,0,6,3,3,0
16,2013,California,Pac-12,North,12,1,11,0,9,0,9,0,7,1,6,0,5,0,5,0
17,2013,Central Michigan,Mid-American,West,12,6,6,0,8,5,3,0,5,3,2,0,7,3,4,0
18,2013,Cincinnati,American Athletic,,13,9,4,0,8,6,2,0,6,5,1,0,6,4,2,0
19,2013,Clemson,ACC,Atlantic,13,11,2,0,8,7,1,0,7,6,1,0,5,4,1,0
20,2013,Colorado,Pac-12,South,12,4,8,0,9,1,8,0,6,3,3,0,5,0,5,0
21,2013,Colorado State,Mountain West,Mountain,14,8,6,0,8,5,3,0,6,4,2,0,6,3,3,0
22,2013,Connecticut,American Athletic,,12,3,9,0,8,3,5,0,7,2,5,0,5,1,4,0
23,2013,Duke,ACC,Coastal,14,10,4,0,9,6,3,0,7,5,2,0,5,5,0,0
24,2013,East Carolina,Conference USA,East,13,10,3,0,8,6,2,0,6,5,1,0,6,4,2,0
25,2013,Eastern Michigan,Mid-American,West,12,2,10,0,8,1,7,0,5,2,3,0,7,0,7,0
26,2013,Florida,SEC,East,12,4,8,0,8,3,5,0,6,3,3,0,5,1,4,0
27,2013,Florida Atlantic,Conference USA,East,12,6,6,0,8,4,4,0,5,3,2,0,7,3,4,0
28,2013,Florida International,Conference USA,East,12,1,11,0,8,1,7,0,6,0,6,0,6,1,5,0
29,2013,Florida State,ACC,Atlantic,14,14,0,0,9,9,0,0,7,7,0,0,5,5,0,0
30,2013,Fresno State,Mountain West,West,13,11,2,0,9,8,1,0,7,7,0,0,5,4,1,0
31,2013,Georgia,SEC,East,13,8,5,0,8,5,3,0,6,5,1,0,5,2,3,0
32,2013,Georgia State,Sun Belt,,12,0,12,0,7,0,7,0,7,0,7,0,5,0,5,0
33,2013,Georgia Tech,ACC,Coastal,13,7,6,0,8,5,3,0,7,5,2,0,5,2,3,0
34,2013,Hawai'i,Mountain West,West,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
35,2013,Houston,American Athletic,,13,8,5,0,8,5,3,0,6,4,2,0,5,3,2,0
36,2013,Idaho,FBS Independents,,12,1,11,0,0,0,0,0,5,1,4,0,7,0,7,0
37,2013,Illinois,Big Ten,Leaders,12,4,8,0,8,1,7,0,8,3,5,0,4,1,3,0
38,2013,Indiana,Big Ten,Leaders,12,5,7,0,8,3,5,0,8,5,3,0,4,0,4,0
39,2013,Iowa,Big Ten,Legends,13,8,5,0,8,5,3,0,7,4,3,0,5,4,1,0
40,2013,Iowa State,Big 12,,12,3,9,0,9,2,7,0,6,1,5,0,6,2,4,0
41,2013,Kansas,Big 12,,12,3,9,0,9,1,8,0,7,3,4,0,5,0,5,0
42,2013,Kansas State,Big 12,,13,8,5,0,9,5,4,0,8,5,3,0,4,2,2,0
43,2013,Kent State,Mid-American,East,12,4,8,0,8,3,5,0,5,2,3,0,7,2,5,0
44,2013,Kentucky,SEC,East,12,2,10,0,8,0,8,0,7,2,5,0,4,0,4,0
45,2013,Louisiana,Sun Belt,,13,9,4,0,7,5,2,0,5,4,1,0,7,4,3,0
46,2013,Louisiana Monroe,Sun Belt,,12,6,6,0,7,4,3,0,5,2,3,0,7,4,3,0
47,2013,Louisiana Tech,Conference USA,West,12,4,8,0,8,3,5,0,5,2,3,0,6,2,4,0
48,2013,Louisville,American Athletic,,13,12,1,0,8,7,1,0,7,6,1,0,5,5,0,0
49,2013,LSU,SEC,West,13,10,3,0,8,5,3,0,7,7,0,0,4,1,3,0
50,2013,Marshall,Conference USA,East,14,10,4,0,9,7,2,0,6,6,0,0,7,3,4,0
51,2013,Maryland,ACC,Atlantic,13,7,6,0,8,3,5,0,7,4,3,0,5,3,2,0
52,2013,Memphis,American Athletic,,12,3,9,0,8,1,7,0,7,2,5,0,5,1,4,0
53,2013,Miami,ACC,Coastal,13,9,4,0,8,5,3,0,7,6,1,0,5,3,2,0
54,2013,Miami (OH),Mid-American,East,12,0,12,0,8,0,8,0,5,0,5,0,7,0,7,0
55,2013,Michigan,Big Ten,Legends,13,7,6,0,8,3,5,0,7,5,2,0,5,2,3,0
56,2013,Michigan State,Big Ten,Legends,14,13,1,0,9,9,0,0,7,7,0,0,5,4,1,0
57,2013,Middle Tennessee,Conference USA,East,13,8,5,0,8,6,2,0,6,5,1,0,6,3,3,0
58,2013,Minnesota,Big Ten,Legends,13,8,5,0,8,4,4,0,7,5,2,0,5,3,2,0
59,2013,Mississippi State,SEC,West,13,7,6,0,8,3,5,0,7,5,2,0,4,1,3,0
60,2013,Missouri,SEC,East,14,12,2,0,9,7,2,0,7,6,1,0,5,5,0,0
61,2013,Navy,FBS Independents,,13,9,4,0,0,0,0,0,5,5,0,0,6,2,4,0
62,2013,NC State,ACC,Atlantic,12,3,9,0,8,0,8,0,8,3,5,0,4,0,4,0
63,2013,Nebraska,Big Ten,Legends,13,9,4,0,8,5,3,0,8,5,3,0,4,3,1,0
64,2013,Nevada,Mountain West,West,12,4,8,0,8,3,5,0,6,4,2,0,6,0,6,0
65,2013,New Mexico,Mountain West,Mountain,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
66,2013,New Mexico State,FBS Independents,,12,2,10,0,0,0,0,0,7,2,5,0,5,0,5,0
67,2013,North Carolina,ACC,Coastal,13,7,6,0,8,4,4,0,7,4,3,0,5,2,3,0
68,2013,Northern Illinois,Mid-American,West,14,12,2,0,9,8,1,0,5,5,0,0,7,7,0,0
69,2013,North Texas,Conference USA,West,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0
70,2013,Northwestern,Big Ten,Legends,12,5,7,0,8,1,7,0,7,3,4,0,5,2,3,0
71,2013,Notre Dame,FBS Independents,,13,9,4,0,0,0,0,0,6,5,1,0,5,2,3,0
72,2013,Ohio,Mid-American,East,13,7,6,0,8,4,4,0,7,5,2,0,5,2,3,0
73,2013,Ohio State,Big Ten,Leaders,14,12,2,0,9,8,1,0,7,7,0,0,5,5,0,0
74,2013,Oklahoma,Big 12,,13,11,2,0,9,7,2,0,6,6,0,0,5,4,1,0
75,2013,Oklahoma State,Big 12,,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0
76,2013,Ole Miss,SEC,West,13,8,5,0,8,3,5,0,7,5,2,0,5,2,3,0
77,2013,Oregon,Pac-12,North,13,11,2,0,9,7,2,0,7,7,0,0,5,3,2,0
78,2013,Oregon State,Pac-12,North,13,7,6,0,9,4,5,0,6,2,4,0,6,4,2,0
79,2013,Penn State,Big Ten,Leaders,12,7,5,0,8,4,4,0,7,5,2,0,4,1,3,0
80,2013,Pittsburgh,ACC,Coastal,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
81,2013,Purdue,Big Ten,Leaders,12,1,11,0,8,0,8,0,7,1,6,0,5,0,5,0
82,2013,Rice,Conference USA,West,14,10,4,0,9,8,1,0,6,6,0,0,6,4,2,0
83,2013,Rutgers,American Athletic,,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
84,2013,San Diego State,Mountain West,West,13,8,5,0,8,6,2,0,6,3,3,0,6,4,2,0
85,2013,San José State,Mountain West,West,12,6,6,0,8,5,3,0,6,3,3,0,6,3,3,0
86,2013,SMU,American Athletic,,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
87,2013,South Alabama,Sun Belt,,12,6,6,0,7,4,3,0,6,4,2,0,6,2,4,0
88,2013,South Carolina,SEC,East,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
89,2013,Southern Mississippi,Conference USA,East,12,1,11,0,8,1,7,0,5,0,5,0,7,1,6,0
90,2013,South Florida,American Athletic,,12,2,10,0,8,2,6,0,7,1,6,0,5,1,4,0
91,2013,Stanford,Pac-12,North,14,11,3,0,10,8,2,0,7,7,0,0,6,4,2,0
92,2013,Syracuse,ACC,Atlantic,13,7,6,0,8,4,4,0,6,4,2,0,5,2,3,0
93,2013,TCU,Big 12,,12,4,8,0,9,2,7,0,6,3,3,0,5,1,4,0
94,2013,Temple,American Athletic,,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
95,2013,Tennessee,SEC,East,12,5,7,0,8,2,6,0,7,4,3,0,5,1,4,0
96,2013,Texas,Big 12,,13,8,5,0,9,7,2,0,6,4,2,0,5,3,2,0
97,2013,Texas A&M,SEC,West,13,9,4,0,8,4,4,0,8,6,2,0,4,2,2,0
98,2013,Texas State,Sun Belt,,12,6,6,0,7,2,5,0,6,4,2,0,6,2,4,0
99,2013,Texas Tech,Big 12,,13,8,5,0,9,4,5,0,6,4,2,0,5,3,2,0
100,2013,Toledo,Mid-American,West,12,7,5,0,8,5,3,0,6,5,1,0,6,2,4,0
101,2013,Troy,Sun Belt,,12,6,6,0,7,4,3,0,5,4,1,0,7,2,5,0
102,2013,Tulane,Conference USA,West,13,7,6,0,8,5,3,0,6,5,1,0,6,2,4,0
103,2013,Tulsa,Conference USA,West,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
104,2013,UAB,Conference USA,East,12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
105,2013,UCF,American Athletic,,13,12,1,0,8,8,0,0,6,5,1,0,6,6,0,0
106,2013,UCLA,Pac-12,South,13,10,3,0,9,6,3,0,6,5,1,0,6,4,2,0
107,2013,UMass,Mid-American,East,12,1,11,0,8,1,7,0,6,1,5,0,6,0,6,0
108,2013,UNLV,Mountain West,West,13,7,6,0,8,5,3,0,7,4,3,0,5,3,2,0
109,2013,USC,Pac-12,South,14,10,4,0,9,6,3,0,7,5,2,0,6,4,2,0
110,2013,Utah,Pac-12,South,12,5,7,0,9,2,7,0,7,4,3,0,5,1,4,0
111,2013,Utah State,Mountain West,Mountain,14,9,5,0,9,7,2,0,6,4,2,0,7,4,3,0
112,2013,UTEP,Conference USA,West,12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
113,2013,UT San Antonio,Conference USA,West,12,7,5,0,8,6,2,0,6,3,3,0,6,4,2,0
114,2013,Vanderbilt,SEC,East,13,9,4,0,8,4,4,0,7,5,2,0,5,3,2,0
115,2013,Virginia,ACC,Coastal,12,2,10,0,8,0,8,0,8,2,6,0,4,0,4,0
116,2013,Virginia Tech,ACC,Coastal,13,8,5,0,8,5,3,0,6,4,2,0,5,4,1,0
117,2013,Wake Forest,ACC,Atlantic,12,4,8,0,8,2,6,0,6,3,3,0,6,1,5,0
118,2013,Washington,Pac-12,North,13,9,4,0,9,5,4,0,7,6,1,0,5,2,3,0
119,2013,Washington State,Pac-12,North,13,6,7,0,9,4,5,0,6,3,3,0,6,3,3,0
120,2013,Western Kentucky,Sun Belt,,12,8,4,0,7,4,3,0,5,3,2,0,6,4,2,0
121,2013,Western Michigan,Mid-American,West,12,1,11,0,8,1,7,0,5,0,5,0,7,1,6,0
122,2013,West Virginia,Big 12,,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
123,2013,Wisconsin,Big Ten,Leaders,13,9,4,0,8,6,2,0,7,6,1,0,5,3,2,0
124,2013,Wyoming,Mountain West,Mountain,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
