Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Ohio State,(6-0),1681.13,1520,14,N/A
2,Alabama,(5-0),1658.36,1474,28,N/A
3,LSU,(5-0),1633.58,1420,79,N/A
4,Wisconsin,(5-0),1632.28,1483,27,N/A
5,Clemson,(5-0),1632.14,1491,23,N/A
6,Georgia,(5-0),1624.82,1409,90,N/A
7,Penn State,(5-0),1624.6,1399,103,N/A
8,Oklahoma,(5-0),1621.32,1391,111,N/A
9,Florida,(6-0),1615.48,1379,121,N/A
10,Auburn,(5-1),1612.64,1543,3,N/A
11,Missouri,(4-1),1598.83,1430,67,N/A
12,Notre Dame,(4-1),1596.18,1488,24,N/A
13,Baylor,(5-0),1590.4,1391,111,N/A
14,Texas,(4-1),1588.11,1515,18,N/A
15,SMU,(6-0),1587.72,1466,30,N/A
16,Oregon,(4-1),1581.26,1430,67,N/A
17,Boise St,(5-0),1579.48,1393,109,N/A
18,Michigan,(4-1),1578.76,1516,16,N/A
19,Wake Forest,(5-0),1576.05,1405,96,N/A
20,Central Florida,(4-2),1575.98,1420,79,N/A
21,Memphis,(5-0),1575.4,1382,120,N/A
22,Washington,(4-2),1575.04,1435,62,N/A
23,Michigan St,(4-2),1574.64,1528,9,N/A
24,Appalachian St,(4-0),1573.84,1389,116,N/A
25,Iowa,(4-1),1573.68,1494,22,N/A
26,Iowa St,(3-2),1573.07,1452,40,N/A
27,Minnesota,(5-0),1571.51,1406,94,N/A
28,Utah,(4-1),1560.57,1411,88,N/A
29,Cincinnati,(4-1),1557.35,1514,20,N/A
30,Mississippi St,(3-2),1550.46,1536,5,N/A
31,Oklahoma St,(4-2),1549.13,1438,54,N/A
32,Wyoming,(4-1),1546.85,1396,106,N/A
33,Arizona St,(4-1),1541.56,1436,59,N/A
34,Maryland,(3-2),1540.28,1436,59,N/A
35,Texas A&M,(3-2),1539.8,1454,39,N/A
36,Virginia,(4-1),1537.99,1426,76,N/A
37,Nebraska,(4-2),1537.66,1487,25,N/A
38,TCU,(3-2),1537.2,1441,48,N/A
39,Florida St,(3-2),1534.31,1516,16,N/A
40,Tulane,(4-1),1534.14,1430,67,N/A
41,Temple,(4-1),1532.41,1384,118,N/A
42,San Diego St,(4-1),1531.36,1372,124,N/A
43,Arizona,(4-1),1529.37,1409,90,N/A
44,Washington St,(3-2),1526.95,1390,114,N/A
45,Duke,(3-2),1525.31,1428,73,N/A
46,Southern Cal,(3-2),1525.2,1518,15,N/A
47,Mississippi,(3-3),1524.46,1465,31,N/A
48,Alabama-Birmingham,(4-1),1522.81,1335,127,N/A
49,Army,(3-2),1522.16,1391,111,N/A
50,Hawai`i,(4-1),1521.93,1424,77,N/A
51,Kansas St,(3-2),1521.1,1439,52,N/A
52,Indiana,(3-2),1520.91,1433,66,N/A
53,Boston College,(3-3),1518.81,1427,75,N/A
54,Louisiana-Lafayette,(4-1),1517.91,1326,129,N/A
55,North Carolina St,(3-2),1515.56,1406,94,N/A
56,Texas Tech,(3-2),1514.9,1437,56,N/A
57,Navy,(3-1),1514.84,1404,98,N/A
58,West Virginia,(3-2),1514.3,1452,40,N/A
59,California,(4-2),1512.85,1465,31,N/A
