Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Alabama,(1-0),1634.34,1486,54,N/A
2,Clemson,(1-0),1633.57,1479,58,N/A
3,Ohio State,(1-0),1604.48,1459,70,N/A
4,LSU,(1-0),1602.62,1500,46,N/A
5,Georgia,(1-0),1598.02,1506,41,N/A
6,Oklahoma,(1-0),1590.25,1468,66,N/A
7,Texas A&M,(1-0),1588.61,1410,84,N/A
8,Washington St,(1-0),1581.35,1427,81,N/A
9,Michigan,(1-0),1579.5,1470,64,N/A
10,Notre Dame,(1-0),1577.92,1455,72,N/A
11,Mississippi St,(1-0),1577.48,1443,77,N/A
12,Texas,(1-0),1576.43,1448,74,N/A
13,Florida,(1-0),1572.0,1494,51,N/A
14,Kentucky,(1-0),1571.89,1455,72,N/A
15,Auburn,(1-0),1570.47,1520,32,N/A
16,Penn State,(1-0),1566.59,1094,107,N/A
17,Iowa,(1-0),1565.89,1464,67,N/A
18,North Carolina St,(1-0),1563.82,1440,79,N/A
19,Syracuse,(1-0),1563.15,1095,100,N/A
20,Washington,(1-0),1561.08,1095,100,N/A
21,Appalachian St,(1-0),1561.07,1095,100,N/A
22,Central Florida,(1-0),1559.5,1094,107,N/A
23,Stanford,(1-0),1557.46,1517,33,N/A
24,Wisconsin,(1-0),1556.3,1459,70,N/A
25,Boise St,(1-0),1552.78,1496,48,N/A
26,Michigan St,(1-0),1552.68,1426,82,N/A
27,Army,(1-0),1552.08,1403,88,N/A
28,Missouri,(0-1),1548.53,1514,38,N/A
29,Boston College,(1-0),1547.75,1474,61,N/A
30,Cincinnati,(1-0),1546.44,1447,75,N/A
31,Oklahoma St,(1-0),1543.6,1447,75,N/A
32,Iowa St,(1-0),1541.65,1098,90,N/A
33,West Virginia,(1-0),1539.86,1097,92,N/A
34,Troy,(1-0),1538.38,1095,100,N/A
35,Utah St,(0-1),1536.58,1534,28,N/A
36,Wake Forest,(1-0),1534.28,1536,27,N/A
37,Utah,(1-0),1532.86,1492,52,N/A
38,Virginia,(1-0),1531.4,1481,57,N/A
39,TCU,(1-0),1525.96,1094,107,N/A
40,Minnesota,(1-0),1523.35,1097,92,N/A
41,Indiana,(1-0),1522.76,1411,83,N/A
42,Maryland,(1-0),1522.46,1093,117,N/A
43,Baylor,(1-0),1522.28,1094,107,N/A
44,Temple,(1-0),1521.68,1094,107,N/A
45,Kansas St,(1-0),1521.02,1094,107,N/A
46,Oregon,(0-1),1520.73,1570,15,N/A
47,South Carolina,(0-1),1517.92,1473,62,N/A
48,Northwestern,(0-1),1517.9,1557,18,N/A
49,Fresno St,(0-1),1517.83,1502,45,N/A
50,Nebraska,(1-0),1517.29,1404,87,N/A
51,Arizona St,(1-0),1517.12,1408,86,N/A
52,Ohio U.,(1-0),1516.32,1095,100,N/A
53,California,(1-0),1516.07,1095,100,N/A
54,Wyoming,(1-0),1514.23,1548,23,N/A
55,Texas Tech,(1-0),1512.05,1094,107,N/A
56,Memphis,(1-0),1509.97,1506,41,N/A
57,Tulane,(1-0),1508.97,1470,64,N/A
58,Vanderbilt,(0-1),1506.65,1598,5,N/A
59,Mississippi,(0-1),1506.45,1509,39,N/A
60,Purdue,(0-1),1505.38,1496,48,N/A
61,Marshall,(1-0),1504.71,1093,117,N/A
62,Illinois,(1-0),1503.82,1410,84,N/A
63,Southern Cal,(1-0),1502.56,1517,33,N/A
64,Georgia Southern,(0-1),1500.87,1602,4,N/A
65,Buffalo,(1-0),1500.78,1094,107,N/A
66,Arkansas,(1-0),1499.43,1096,97,N/A
67,Air Force,(1-0),1498.82,1093,117,N/A
68,Rutgers,(1-0),1497.38,1443,77,N/A
69,Florida St,(0-1),1496.94,1552,20,N/A
70,Nevada,(1-0),1496.09,1505,43,N/A
71,Tennessee,(0-1),1495.3,1476,60,N/A
72,Alabama-Birmingham,(1-0),1494.97,1097,92,N/A
73,Miami FL,(0-1),1494.7,1572,13,N/A
74,Brigham Young,(0-1),1492.16,1532,29,N/A
75,Colorado,(1-0),1491.12,1433,80,N/A
76,Kansas,(1-0),1489.09,1096,97,N/A
77,Duke,(0-1),1486.29,1634,1,N/A
78,San Diego St,(1-0),1485.05,1096,97,N/A
79,North Texas,(1-0),1484.9,1094,107,N/A
80,Eastern Michigan,(1-0),1483.85,1460,69,N/A
81,Hawai`i,(1-0),1482.67,1472,63,N/A
82,Pittsburgh,(0-1),1481.33,1531,30,N/A
83,Georgia Tech,(0-1),1479.56,1633,2,N/A
84,SMU,(1-0),1478.2,1464,67,N/A
85,Georgia St,(1-0),1476.31,1495,50,N/A
86,Southern Miss,(1-0),1475.62,1093,117,N/A
87,Virginia Tech,(0-1),1474.9,1547,24,N/A
88,North Carolina,(1-0),1473.1,1517,33,N/A
89,Arizona,(0-1),1472.28,1482,56,N/A
90,Florida Int'l,(0-1),1470.53,1508,40,N/A
91,Middle Tennessee St,(0-1),1470.13,1579,9,N/A
92,Houston,(0-1),1468.89,1590,6,N/A
93,Northern Illinois,(1-0),1466.75,1094,107,N/A
94,Miami OH,(0-1),1464.74,1565,16,N/A
95,Arkansas St,(0-1),1464.22,1478,59,N/A
96,New Mexico,(1-0),1462.39,1095,100,N/A
97,Coastal Carolina,(0-1),1460.96,1483,55,N/A
98,Louisiana-Monroe,(1-0),1460.69,1093,117,N/A
99,UNC-Charlotte,(1-0),1460.51,1093,117,N/A
100,UNLV,(1-0),1460.37,1092,124,N/A
101,South Florida,(0-1),1459.93,1556,19,N/A
102,Florida Atlantic,(0-1),1459.55,1604,3,N/A
103,Western Michigan,(1-0),1458.69,1092,124,N/A
104,Louisville,(0-1),1455.46,1577,10,N/A
105,Toledo,(0-1),1455.31,1571,14,N/A
106,Navy,(1-0),1454.56,1092,124,N/A
107,Louisiana Tech,(0-1),1448.55,1576,12,N/A
108,UCLA,(0-1),1447.7,1546,25,N/A
109,Oregon St,(0-1),1447.58,1543,26,N/A
110,Old Dominion,(1-0),1444.57,1097,92,N/A
111,Louisiana-Lafayette,(0-1),1443.39,1577,10,N/A
112,Massachusetts,(0-1),1443.24,1497,47,N/A
113,Bowling Green,(1-0),1441.04,1091,129,N/A
114,San José St,(1-0),1440.64,1093,117,N/A
115,East Carolina,(0-1),1440.53,1563,17,N/A
116,Texas-San Antonio,(1-0),1434.19,1092,124,N/A
117,Colorado St,(0-1),1433.64,1491,53,N/A
118,Connecticut,(1-0),1433.0,1097,92,N/A
119,Western Kentucky,(0-1),1432.15,1122,89,N/A
120,New Mexico St,(0-1),1427.43,1581,8,N/A
121,Tulsa,(0-1),1426.11,1552,20,N/A
122,Central Michigan,(1-0),1417.23,1092,124,N/A
123,Ball St,(0-1),1411.81,1522,31,N/A
124,Akron,(0-1),1411.0,1503,44,N/A
125,Texas St-San Marcos,(0-1),1410.06,1588,7,N/A
126,Kent St,(0-1),1408.76,1517,33,N/A
127,UTEP,(1-0),1406.4,1098,90,N/A
128,South Alabama,(0-1),1404.41,1517,33,N/A
129,Rice,(0-1),1403.71,1552,20,N/A
