Rank,Conference,Elo
1,SEC West,1576.63
2,Big 10 East,1563.99
3,Big 12,1547.37
4,ACC Atlantic,1540.46
5,Big 10 West,1535.42
6,PAC 12 North,1531.48
7,AAC West,1523.74
8,SEC East,1522.68
9,PAC 12 South,1512.31
10,Sun Belt East,1501.75
11,MW Mountain,1495.7
12,ACC Coastal,1495.45
13,AAC East,1495.28
14,MW West,1479.22
15,Independent,1461.88
16,MAC West,1455.95
17,CUSA East,1454.2
18,Sun Belt West,1445.64
19,CUSA West,1445.52
20,MAC East,1416.05
