Rank,Conference,Elo
1,SEC West,1563.35
2,Big 10 East,1558.43
3,Big 12,1539.67
4,ACC Atlantic,1535.04
5,SEC East,1533.27
6,PAC 12 North,1532.48
7,Big 10 West,1530.83
8,AAC West,1522.01
9,Sun Belt East,1520.72
10,MW Mountain,1510.21
11,PAC 12 South,1501.37
12,ACC Coastal,1499.22
13,AAC East,1493.73
14,MW West,1470.68
15,CUSA East,1464.03
16,MAC West,1462.32
17,Independent,1457.73
18,CUSA West,1449.16
19,Sun Belt West,1442.51
20,MAC East,1432.43
21,FCS,1100.0
