Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Ohio State,(9-0),1755.59,1527,35,N/A,Big 10 East,True
2,Clemson,(10-0),1744.12,1487,83,N/A,ACC Atlantic,True
3,LSU,(9-0),1719.97,1526,38,N/A,SEC West,True
4,Alabama,(8-1),1710.19,1512,56,N/A,SEC West,True
5,Georgia,(8-1),1702.47,1517,51,N/A,SEC East,True
6,Penn State,(8-1),1681.05,1536,23,N/A,Big 10 East,True
7,Minnesota,(9-0),1675.29,1512,56,N/A,Big 10 West,True
8,Oregon,(8-1),1673.72,1526,38,N/A,PAC 12 North,True
9,Utah,(8-1),1669.6,1489,78,N/A,PAC 12 South,True
10,Florida,(8-2),1658.74,1545,15,N/A,SEC East,True
11,Oklahoma,(8-1),1656.83,1502,66,N/A,Big 12,True
12,Baylor,(9-0),1654.02,1461,108,N/A,Big 12,True
13,Wisconsin,(7-2),1652.8,1543,17,N/A,Big 10 West,True
14,Auburn,(7-2),1652.25,1556,7,N/A,SEC West,True
15,Appalachian St,(8-1),1644.55,1455,112,N/A,Sun Belt East,False
16,Michigan,(7-2),1641.57,1532,29,N/A,Big 10 East,True
17,Memphis,(8-1),1637.31,1482,89,N/A,AAC West,False
18,Central Florida,(7-3),1635.45,1475,98,N/A,AAC East,False
19,Boise St,(8-1),1631.34,1489,78,N/A,MW Mountain,False
20,SMU,(9-1),1622.54,1472,100,N/A,AAC West,False
21,North Dakota St,(10-0),1618.46,1349,209,N/A,MVFC,False
22,Indiana,(7-2),1616.97,1461,108,N/A,Big 10 East,True
23,Cincinnati,(8-1),1615.21,1493,74,N/A,AAC East,False
24,Navy,(7-1),1615.02,1479,93,N/A,AAC West,False
25,Air Force,(7-2),1613.31,1483,88,N/A,MW Mountain,False
26,Washington,(6-4),1611.59,1520,47,N/A,PAC 12 North,True
27,Iowa St,(5-4),1608.15,1551,13,N/A,Big 12,True
28,Texas A&M,(6-3),1604.2,1507,63,N/A,SEC West,True
29,Notre Dame,(7-2),1603.38,1526,38,N/A,Independent,False
30,Louisiana-Lafayette,(7-2),1601.23,1466,106,N/A,Sun Belt West,False
31,James Madison,(9-1),1597.31,1382,175,N/A,CAA,False
32,Kansas St,(6-3),1594.38,1530,31,N/A,Big 12,True
33,Iowa,(6-3),1594.02,1524,43,N/A,Big 10 West,True
34,Wake Forest,(7-2),1588.7,1476,96,N/A,ACC Atlantic,True
35,Oklahoma St,(6-3),1583.7,1533,26,N/A,Big 12,True
36,Dartmouth,(8-0),1578.23,1369,193,N/A,Ivy League,False
37,Miami FL,(6-4),1576.44,1515,54,N/A,ACC Coastal,True
38,Wyoming,(6-3),1576.17,1463,107,N/A,MW Mountain,False
39,Virginia,(7-3),1573.19,1474,99,N/A,ACC Coastal,True
40,San Diego St,(7-2),1569.73,1468,104,N/A,MW West,False
41,Texas,(6-3),1564.66,1536,23,N/A,Big 12,True
42,Virginia Tech,(6-3),1563.62,1488,82,N/A,ACC Coastal,True
43,Tennessee,(5-5),1561.14,1556,7,N/A,SEC East,True
44,Missouri,(5-4),1559.37,1513,55,N/A,SEC East,True
45,Southern Cal,(6-4),1553.96,1541,20,N/A,PAC 12 South,True
46,Tulane,(6-3),1552.61,1478,94,N/A,AAC West,False
47,Boston College,(5-5),1550.75,1519,48,N/A,ACC Atlantic,True
48,Illinois,(6-4),1545.89,1489,78,N/A,Big 10 West,True
49,Western Michigan,(7-4),1541.33,1476,96,N/A,MAC West,False
50,Georgia St,(6-3),1539.54,1487,83,N/A,Sun Belt East,False
51,Louisiana Tech,(8-1),1539.12,1372,189,N/A,CUSA West,False
52,Florida St,(5-5),1537.25,1556,7,N/A,ACC Atlantic,True
53,TCU,(4-5),1530.23,1543,17,N/A,Big 12,True
54,Buffalo,(5-4),1529.57,1469,102,N/A,MAC East,False
55,Michigan St,(4-5),1528.9,1569,2,N/A,Big 10 East,True
56,Kentucky,(4-5),1526.9,1536,23,N/A,SEC East,True
57,Pittsburgh,(6-3),1526.32,1522,45,N/A,ACC Coastal,True
58,Washington St,(4-5),1524.54,1480,91,N/A,PAC 12 North,True
59,Temple,(6-3),1524.15,1493,74,N/A,AAC East,False
60,Montana,(8-2),1522.84,1406,143,N/A,Big Sky,False
61,Princeton,(7-1),1520.78,1350,208,N/A,Ivy League,False
62,Mississippi,(4-6),1520.72,1526,38,N/A,SEC West,True
63,Troy,(4-5),1520.44,1452,115,N/A,Sun Belt East,False
64,Texas Tech,(4-5),1519.69,1508,61,N/A,Big 12,True
65,Weber St,(8-2),1518.08,1371,190,N/A,Big Sky,False
66,Brigham Young,(5-4),1517.03,1553,11,N/A,Independent,False
67,California,(5-4),1516.42,1530,31,N/A,PAC 12 North,True
68,Florida Atlantic,(7-3),1515.78,1442,121,N/A,CUSA East,False
69,Liberty,(6-4),1515.08,1424,131,N/A,Independent,False
70,Mississippi St,(4-5),1514.36,1556,7,N/A,SEC West,True
71,Central Michigan,(6-4),1511.96,1447,118,N/A,MAC West,False
72,San Diego,(7-2),1510.71,1358,201,N/A,Pioneer,False
73,Hawai`i,(6-4),1510.65,1499,71,N/A,MW West,False
74,South Carolina,(4-6),1508.88,1558,5,N/A,SEC East,True
75,Oregon St,(4-5),1506.57,1508,61,N/A,PAC 12 North,True
