Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Clemson,(4-0),1701.6,1501,21,N/A
2,Alabama,(4-0),1696.85,1464,33,N/A
3,Ohio State,(4-0),1685.14,1490,26,N/A
4,Georgia,(4-0),1651.58,1408,58,N/A
5,LSU,(4-0),1650.92,1409,57,N/A
6,Auburn,(4-0),1634.32,1520,12,N/A
7,Florida,(4-0),1624.33,1407,59,N/A
8,Oklahoma,(3-0),1619.66,1319,123,N/A
9,Wisconsin,(3-0),1617.92,1474,31,N/A
10,Washington,(3-1),1614.57,1394,71,N/A
11,Penn State,(3-0),1609.74,1337,116,N/A
12,Central Florida,(3-1),1609.22,1385,83,N/A
13,Mississippi St,(3-1),1607.85,1510,17,N/A
14,Missouri,(3-1),1605.31,1415,50,N/A
15,Texas,(3-1),1600.34,1510,17,N/A
16,Iowa,(3-0),1598.24,1487,27,N/A
17,Michigan St,(3-1),1597.44,1485,28,N/A
18,Boise St,(4-0),1596.83,1392,72,N/A
19,Notre Dame,(2-1),1593.13,1517,15,N/A
20,Appalachian St,(3-0),1589.33,1337,116,N/A
21,Washington St,(3-1),1586.98,1333,120,N/A
22,Oregon,(3-1),1583.67,1414,52,N/A
23,Wake Forest,(4-0),1575.45,1367,101,N/A
24,Virginia,(4-0),1574.52,1371,98,N/A
25,Kansas St,(3-0),1573.38,1353,111,N/A
26,Iowa St,(2-1),1572.22,1376,95,N/A
27,Army,(3-1),1568.68,1360,107,N/A
28,Michigan,(2-1),1564.71,1543,9,N/A
29,Baylor,(3-0),1563.65,1267,127,N/A
30,Texas A&M,(2-2),1559.23,1449,36,N/A
31,Oklahoma St,(3-1),1558.71,1391,75,N/A
32,North Carolina St,(3-1),1558.4,1363,104,N/A
33,Utah St,(2-1),1557.87,1390,77,N/A
34,West Virginia,(3-1),1553.5,1429,42,N/A
35,Kentucky,(2-2),1552.6,1547,8,N/A
36,Maryland,(2-1),1551.95,1376,95,N/A
37,California,(4-0),1551.45,1416,49,N/A
38,Nebraska,(3-1),1551.43,1445,39,N/A
