Rank,Conference,Elo
1,SEC West,1604.93
2,SEC East,1582.7
3,Big 10 East,1580.69
4,PAC 12 North,1559.6
5,Big 10 West,1557.76
6,Big 12,1556.95
7,AAC West,1554.26
8,ACC Atlantic,1546.45
9,Sun Belt East,1531.77
10,MW Mountain,1530.17
11,PAC 12 South,1511.64
12,ACC Coastal,1511.52
13,AAC East,1497.61
14,MW West,1493.69
15,Independent,1461.2
16,MAC West,1457.83
17,Sun Belt West,1456.77
18,MAC East,1436.24
19,MVFC,1434.23
20,CUSA East,1432.29
21,Ivy League,1428.78
22,CAA,1420.22
23,FCS,1388.24
24,Big Sky,1372.09
25,CUSA West,1364.6
26,OVC,1364.21
27,Big South,1362.72
28,Southern,1358.72
29,NEC,1356.37
30,Southland,1356.23
31,MEAC,1348.76
32,Pioneer,1337.44
33,SWAC West,1332.43
34,SWAC East,1300.11
35,Patriot,1294.84
36,CFB,1100.0
