Rank,Conference,Elo
1,SEC West,1591.15
2,Big 10 East,1582.1
3,Big 12,1562.76
4,ACC Atlantic,1559.11
5,SEC East,1558.29
6,Big 10 West,1554.79
7,PAC 12 North,1551.73
8,Sun Belt East,1541.72
9,AAC West,1541.22
10,MW Mountain,1528.71
11,PAC 12 South,1519.94
12,ACC Coastal,1513.87
13,AAC East,1507.13
14,MW West,1484.39
15,MAC West,1473.5
16,Independent,1462.87
17,Sun Belt West,1450.06
18,Ivy League,1428.52
19,MAC East,1422.12
20,MVFC,1422.08
21,CAA,1415.14
22,CUSA East,1412.21
23,FCS,1386.56
24,CUSA West,1378.31
25,Big Sky,1371.08
26,Southern,1370.97
27,OVC,1365.45
28,Southland,1361.84
29,Big South,1358.87
30,NEC,1357.69
31,MEAC,1345.67
32,Pioneer,1339.98
33,SWAC West,1335.75
34,SWAC East,1299.57
35,Patriot,1295.92
36,CFB,1100.0
