Rank,Conference,Elo
1,SEC West,1591.07
2,Big 10 East,1582.05
3,Big 12,1562.75
4,ACC Atlantic,1559.09
5,SEC East,1558.18
6,Big 10 West,1554.77
7,PAC 12 North,1551.71
8,Sun Belt East,1541.75
9,AAC West,1541.3
10,MW Mountain,1528.74
11,PAC 12 South,1519.98
12,ACC Coastal,1513.89
13,AAC East,1507.18
14,MW West,1484.42
15,MAC West,1473.63
16,Independent,1462.91
17,Sun Belt West,1450.16
18,Ivy League,1428.96
19,MVFC,1422.48
20,MAC East,1422.19
21,CAA,1415.58
22,CUSA East,1412.57
23,FCS,1387.06
24,CUSA West,1378.71
25,Big Sky,1371.52
26,Southern,1371.44
27,OVC,1365.96
28,Southland,1362.33
29,Big South,1359.31
30,NEC,1358.17
31,MEAC,1346.13
32,Pioneer,1340.48
33,SWAC West,1336.24
34,SWAC East,1300.05
35,Patriot,1296.5
36,CFB,1100.0
