Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Alabama,(5-0),1710.14,1471,31,N/A
2,Ohio State,(5-0),1703.26,1505,19,N/A
3,Clemson,(5-0),1697.49,1496,22,N/A
4,Auburn,(5-0),1660.13,1531,12,N/A
5,Georgia,(4-0),1647.78,1408,76,N/A
6,LSU,(4-0),1647.45,1410,72,N/A
7,Oklahoma,(4-0),1641.73,1367,115,N/A
8,Penn State,(4-0),1638.8,1391,97,N/A
9,Washington,(4-1),1631.54,1426,56,N/A
10,Wisconsin,(4-0),1628.21,1475,28,N/A
11,Florida,(5-0),1625.37,1342,125,N/A
12,Central Florida,(4-1),1622.64,1380,107,N/A
13,Iowa,(4-0),1617.33,1467,33,N/A
14,Notre Dame,(3-1),1614.68,1519,15,N/A
15,Michigan St,(4-1),1611.12,1492,25,N/A
16,Appalachian St,(4-0),1608.69,1374,109,N/A
17,Missouri,(3-1),1603.22,1415,69,N/A
18,Texas,(3-1),1598.1,1509,17,N/A
19,Boise St,(4-0),1594.0,1392,95,N/A
20,Michigan,(3-1),1590.53,1508,18,N/A
21,Wake Forest,(5-0),1582.13,1401,82,N/A
22,Oregon,(3-1),1581.13,1414,70,N/A
23,Oklahoma St,(4-1),1580.95,1425,58,N/A
24,Utah,(4-1),1576.74,1416,67,N/A
25,Mississippi St,(3-2),1576.05,1545,6,N/A
26,Cincinnati,(3-1),1573.68,1497,21,N/A
27,TCU,(3-1),1572.69,1402,80,N/A
28,Utah St,(3-1),1569.91,1392,95,N/A
29,Texas A&M,(3-2),1569.78,1460,34,N/A
30,Baylor,(4-0),1567.71,1343,124,N/A
31,Army,(3-1),1567.37,1360,118,N/A
32,SMU,(5-0),1564.78,1454,36,N/A
33,Iowa St,(2-2),1564.13,1423,61,N/A
34,Memphis,(4-0),1561.96,1359,119,N/A
35,Minnesota,(4-0),1558.43,1393,94,N/A
36,Washington St,(3-2),1554.0,1384,101,N/A
37,West Virginia,(3-1),1552.51,1429,52,N/A
38,Virginia,(4-1),1548.32,1426,56,N/A
39,Duke,(3-1),1547.43,1424,59,N/A
40,Kansas St,(3-1),1546.5,1400,84,N/A
41,Wyoming,(4-1),1545.86,1384,101,N/A
42,Arizona St,(4-1),1544.18,1428,55,N/A
43,Syracuse,(3-2),1536.0,1370,113,N/A
44,Boston College,(3-2),1533.81,1418,65,N/A
45,California,(4-1),1530.93,1447,41,N/A
46,Florida St,(3-2),1530.62,1518,16,N/A
47,Temple,(3-1),1528.9,1374,109,N/A
48,North Carolina St,(3-2),1528.45,1397,90,N/A
49,Southern Cal,(3-2),1526.94,1538,8,N/A
50,Nebraska,(3-2),1526.21,1493,23,N/A
51,Fresno St,(2-2),1525.4,1386,99,N/A
52,Kentucky,(2-3),1523.2,1533,10,N/A
53,Air Force,(3-1),1520.84,1399,87,N/A
54,Troy,(2-2),1520.18,1346,123,N/A
55,Maryland,(2-2),1518.57,1440,47,N/A
56,Tulane,(3-1),1515.89,1400,84,N/A
57,Indiana,(3-2),1515.84,1429,52,N/A
58,Alabama-Birmingham,(3-1),1512.11,1302,128,N/A
59,South Carolina,(2-3),1511.71,1478,27,N/A
60,Louisiana-Lafayette,(4-1),1511.66,1336,126,N/A
61,Hawai`i,(4-1),1511.65,1422,62,N/A
62,Arizona,(3-1),1511.63,1373,111,N/A
63,San Diego St,(3-1),1508.84,1359,119,N/A
64,Louisiana Tech,(4-1),1504.15,1365,116,N/A
65,Miami FL,(2-2),1503.59,1398,88,N/A
66,Illinois,(2-2),1501.0,1447,41,N/A
67,Colorado,(3-1),1499.26,1493,23,N/A
68,Mississippi,(2-3),1495.79,1475,28,N/A
69,Northwestern,(1-3),1494.63,1536,9,N/A
70,Toledo,(3-1),1493.79,1369,114,N/A
71,Stanford,(2-3),1493.56,1539,7,N/A
72,Arkansas St,(3-2),1491.15,1447,41,N/A
73,Pittsburgh,(3-2),1488.83,1473,30,N/A
74,Florida Atlantic,(3-2),1486.95,1446,45,N/A
75,Purdue,(1-3),1486.23,1502,20,N/A
76,Texas Tech,(2-2),1485.5,1402,80,N/A
77,Coastal Carolina,(3-2),1483.52,1403,79,N/A
78,Eastern Michigan,(3-1),1480.19,1416,67,N/A
79,Southern Miss,(3-2),1475.57,1452,37,N/A
80,Houston,(2-3),1473.58,1451,38,N/A
81,Western Michigan,(3-2),1472.46,1411,71,N/A
82,Vanderbilt,(1-3),1472.17,1546,5,N/A
83,Arkansas,(2-3),1470.37,1394,93,N/A
84,Marshall,(2-2),1467.96,1429,52,N/A
