Rank,Conference,Elo
1,SEC West,1565.67
2,Big 10 East,1555.43
3,Big 12,1543.49
4,Big 10 West,1535.91
5,ACC Atlantic,1535.84
6,SEC East,1531.24
7,PAC 12 North,1530.65
8,AAC West,1526.41
9,Sun Belt East,1515.83
10,PAC 12 South,1507.5
11,MW Mountain,1507.17
12,ACC Coastal,1498.45
13,AAC East,1490.38
14,MW West,1472.11
15,MAC West,1463.59
16,CUSA East,1458.97
17,Independent,1454.18
18,CUSA West,1453.24
19,Sun Belt West,1437.86
20,MAC East,1420.34
