Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Ohio State,(7-0),1679.64,1505,22,N/A
2,Alabama,(7-0),1673.66,1487,32,N/A
3,Clemson,(7-0),1657.69,1479,34,N/A
4,LSU,(7-0),1657.12,1452,59,N/A
5,Wisconsin,(6-1),1643.33,1502,23,N/A
6,Oklahoma,(7-0),1642.05,1432,93,N/A
7,Penn State,(7-0),1636.8,1454,54,N/A
8,Georgia,(6-1),1622.9,1434,87,N/A
9,Auburn,(6-1),1622.67,1529,9,N/A
10,Baylor,(7-0),1608.31,1433,89,N/A
11,Oregon,(6-1),1606.8,1457,48,N/A
12,Minnesota,(7-0),1603.09,1420,107,N/A
13,Florida,(7-1),1602.13,1427,97,N/A
14,Appalachian St,(6-0),1601.18,1413,112,N/A
15,Iowa St,(5-2),1600.38,1458,47,N/A
16,SMU,(7-0),1598.89,1459,46,N/A
17,Utah,(6-1),1597.21,1433,89,N/A
18,Notre Dame,(5-1),1593.23,1493,29,N/A
19,Memphis,(6-1),1584.71,1429,96,N/A
20,Missouri,(5-2),1582.74,1433,89,N/A
21,Central Florida,(5-2),1581.39,1422,104,N/A
22,Boise St,(6-1),1580.19,1425,98,N/A
23,Washington,(5-3),1579.25,1454,54,N/A
24,Cincinnati,(6-1),1578.85,1498,25,N/A
25,Michigan,(5-2),1575.49,1522,15,N/A
26,Texas,(5-2),1569.94,1527,11,N/A
27,Iowa,(5-2),1567.47,1508,21,N/A
28,Wake Forest,(6-1),1564.79,1435,86,N/A
29,Navy,(5-1),1556.25,1424,100,N/A
30,Indiana,(5-2),1553.99,1441,79,N/A
31,San Diego St,(6-1),1552.72,1405,119,N/A
32,Alabama-Birmingham,(6-1),1551.5,1354,129,N/A
33,Air Force,(5-2),1550.2,1446,73,N/A
34,Wyoming,(5-2),1545.12,1412,114,N/A
35,Virginia,(5-2),1544.29,1441,79,N/A
36,Michigan St,(4-3),1544.24,1543,1,N/A
37,Louisiana Tech,(6-1),1544.2,1396,123,N/A
38,Boston College,(4-3),1542.41,1436,81,N/A
39,Washington St,(4-3),1539.0,1421,106,N/A
40,Southern Cal,(4-3),1538.44,1524,13,N/A
41,Kansas St,(4-2),1535.39,1444,74,N/A
42,Texas A&M,(4-3),1534.79,1489,31,N/A
43,Utah St,(4-2),1532.47,1457,48,N/A
44,Georgia St,(5-2),1526.68,1409,117,N/A
45,Oklahoma St,(4-3),1526.19,1460,45,N/A
46,Arizona St,(5-2),1526.0,1454,54,N/A
47,Western Kentucky,(5-2),1524.27,1422,104,N/A
48,Tulane,(5-2),1523.41,1447,67,N/A
49,TCU,(3-3),1519.57,1457,48,N/A
50,Louisiana-Lafayette,(5-2),1517.42,1377,125,N/A
51,Temple,(5-2),1513.2,1442,76,N/A
52,Nebraska,(4-3),1511.4,1497,26,N/A
53,Duke,(4-3),1510.68,1453,57,N/A
54,Mississippi St,(3-4),1509.07,1539,4,N/A
55,Pittsburgh,(5-2),1508.91,1466,39,N/A
56,Florida St,(3-4),1507.3,1541,3,N/A
57,North Carolina St,(4-3),1506.25,1436,81,N/A
58,North Carolina,(3-4),1505.03,1534,6,N/A
59,Virginia Tech,(5-2),1504.48,1374,126,N/A
60,Florida Int'l,(4-3),1502.78,1405,119,N/A
61,California,(4-3),1501.54,1464,42,N/A
62,Troy,(3-3),1500.27,1397,122,N/A
63,South Carolina,(3-4),1499.18,1514,20,N/A
64,Kentucky,(3-4),1497.55,1518,19,N/A
65,Maryland,(3-4),1497.09,1455,53,N/A
66,Central Michigan,(5-3),1496.9,1408,118,N/A
67,Fresno St,(3-3),1495.35,1416,110,N/A
68,Mississippi,(3-5),1494.24,1485,33,N/A
69,Texas Tech,(3-4),1493.7,1474,35,N/A
70,Florida Atlantic,(4-3),1493.24,1444,74,N/A
71,Louisville,(4-3),1493.21,1495,27,N/A
72,Army,(3-4),1488.04,1436,81,N/A
73,Miami FL,(3-4),1484.8,1447,67,N/A
74,Ball St,(4-3),1484.76,1424,100,N/A
75,Purdue,(2-5),1484.45,1530,8,N/A
76,Illinois,(3-4),1483.77,1500,24,N/A
77,Oregon St,(3-4),1482.2,1448,64,N/A
78,Arizona,(4-3),1479.63,1447,67,N/A
79,Syracuse,(3-4),1479.2,1410,116,N/A
80,Southern Miss,(4-3),1477.97,1448,64,N/A
81,Western Michigan,(4-4),1477.83,1433,89,N/A
82,Coastal Carolina,(3-4),1477.17,1424,100,N/A
83,Stanford,(3-4),1475.13,1522,15,N/A
84,Hawai`i,(4-3),1474.38,1466,39,N/A
85,Marshall,(4-3),1474.18,1430,94,N/A
86,West Virginia,(3-4),1474.03,1495,27,N/A
87,Georgia Southern,(3-3),1473.85,1447,67,N/A
88,Tennessee,(2-5),1470.21,1493,29,N/A
89,Arkansas,(2-5),1468.15,1452,59,N/A
90,Houston,(3-4),1467.27,1452,59,N/A
91,Kansas,(2-5),1465.35,1474,35,N/A
92,Brigham Young,(3-4),1464.72,1523,14,N/A
93,Eastern Michigan,(4-3),1458.33,1434,87,N/A
94,Northwestern,(1-5),1457.86,1543,1,N/A
95,South Florida,(3-4),1457.12,1448,64,N/A
96,Buffalo,(3-4),1456.08,1369,128,N/A
97,Colorado,(3-4),1455.82,1520,18,N/A
98,San José St,(3-4),1454.32,1425,98,N/A
99,Ohio U.,(3-4),1454.11,1415,111,N/A
100,Toledo,(4-3),1454.04,1411,115,N/A
101,UCLA,(2-5),1447.9,1527,11,N/A
102,Kent St,(3-4),1447.42,1442,76,N/A
103,Louisiana-Monroe,(3-4),1446.6,1447,67,N/A
104,Nevada,(4-3),1446.08,1430,94,N/A
105,Arkansas St,(3-4),1444.67,1462,43,N/A
106,Vanderbilt,(2-5),1444.0,1522,15,N/A
107,North Texas,(3-4),1439.14,1420,107,N/A
108,East Carolina,(3-4),1435.5,1389,124,N/A
109,Miami OH,(3-4),1434.17,1466,39,N/A
110,Colorado St,(2-5),1432.89,1436,81,N/A
111,Georgia Tech,(2-5),1430.96,1474,35,N/A
112,Tulsa,(2-5),1427.9,1539,4,N/A
113,Middle Tennessee St,(2-5),1422.02,1456,52,N/A
114,Texas-San Antonio,(3-4),1414.76,1417,109,N/A
115,Texas St-San Marcos,(2-4),1412.56,1451,62,N/A
