Rank,Conference,Elo
1,SEC West,1563.43
2,Big 10 East,1559.51
3,Big 12,1541.58
4,ACC Atlantic,1536.89
5,Big 10 West,1532.12
6,SEC East,1530.61
7,PAC 12 North,1529.03
8,AAC West,1523.89
9,Sun Belt East,1521.23
10,MW Mountain,1510.24
11,PAC 12 South,1506.98
12,ACC Coastal,1496.23
13,AAC East,1494.19
14,MW West,1471.76
15,MAC West,1464.47
16,CUSA East,1460.63
17,CUSA West,1454.8
18,Independent,1441.83
19,Sun Belt West,1437.69
20,MAC East,1423.96
21,FCS,1100.0
