Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Clemson,(3-0),1686.96,1513,17,N/A
2,Alabama,(3-0),1681.44,1465,32,N/A
3,Ohio State,(3-0),1669.58,1501,22,N/A
4,Georgia,(3-0),1638.63,1343,102,N/A
5,LSU,(3-0),1634.1,1385,59,N/A
6,Oklahoma,(3-0),1621.83,1318,113,N/A
7,Auburn,(3-0),1619.38,1478,30,N/A
8,Penn State,(3-0),1612.21,1335,107,N/A
9,Central Florida,(3-0),1611.83,1348,95,N/A
10,Notre Dame,(2-0),1611.5,1448,36,N/A
11,Washington St,(3-0),1607.56,1317,115,N/A
12,Florida,(3-0),1602.67,1384,63,N/A
13,Iowa,(3-0),1601.04,1486,28,N/A
14,Michigan,(2-0),1595.71,1504,21,N/A
15,Washington,(2-1),1591.67,1365,78,N/A
16,Wisconsin,(2-0),1591.57,1415,43,N/A
17,Texas,(2-1),1584.97,1490,26,N/A
18,Missouri,(2-1),1583.5,1378,68,N/A
19,Mississippi St,(2-1),1583.28,1496,25,N/A
20,Appalachian St,(2-0),1583.01,1268,125,N/A
21,Kentucky,(2-1),1579.13,1510,20,N/A
22,Boise St,(3-0),1579.12,1359,85,N/A
23,Oklahoma St,(3-0),1577.89,1321,112,N/A
24,Texas A&M,(2-1),1577.39,1381,65,N/A
25,Kansas St,(3-0),1576.44,1352,90,N/A
26,Michigan St,(2-1),1572.95,1475,31,N/A
27,Wake Forest,(3-0),1572.02,1465,32,N/A
28,Utah,(3-0),1569.57,1339,105,N/A
29,Army,(2-1),1564.37,1447,37,N/A
30,Oregon,(2-1),1563.2,1392,55,N/A
31,Virginia,(3-0),1561.76,1351,92,N/A
32,TCU,(2-0),1558.41,1296,118,N/A
33,Baylor,(2-0),1554.71,1249,128,N/A
34,Maryland,(2-1),1553.79,1375,69,N/A
35,Memphis,(3-0),1547.4,1336,106,N/A
36,Cincinnati,(2-1),1546.22,1501,22,N/A
37,Minnesota,(3-0),1544.95,1361,83,N/A
38,North Carolina St,(2-1),1543.44,1348,95,N/A
39,Iowa St,(1-1),1542.15,1349,94,N/A
40,Utah St,(1-1),1541.3,1324,110,N/A
41,Arizona St,(3-0),1541.01,1351,92,N/A
42,Nebraska,(2-1),1540.94,1438,38,N/A
43,West Virginia,(2-1),1539.54,1407,47,N/A
44,Wyoming,(3-0),1538.19,1348,95,N/A
45,SMU,(3-0),1537.97,1422,41,N/A
46,Temple,(2-0),1535.71,1322,111,N/A
47,Northwestern,(1-1),1534.32,1455,34,N/A
48,Mississippi,(2-1),1533.15,1372,71,N/A
49,California,(3-0),1532.64,1365,78,N/A
50,Southern Cal,(2-1),1532.45,1512,19,N/A
51,San Diego St,(3-0),1528.39,1299,117,N/A
52,Air Force,(2-0),1520.84,1290,121,N/A
53,Troy,(1-1),1520.74,1283,122,N/A
54,Boston College,(2-1),1520.12,1366,75,N/A
55,Duke,(2-1),1518.14,1397,53,N/A
56,Illinois,(2-1),1516.16,1416,42,N/A
57,Alabama-Birmingham,(2-0),1514.38,1240,129,N/A
58,Kansas,(2-1),1510.8,1362,81,N/A
59,Texas Tech,(2-1),1509.83,1326,109,N/A
60,Brigham Young,(2-1),1508.23,1524,12,N/A
61,Indiana,(2-1),1507.69,1385,59,N/A
62,Arizona,(2-1),1505.77,1366,75,N/A
63,Stanford,(1-2),1502.22,1552,5,N/A
64,Arkansas,(2-1),1501.86,1344,101,N/A
65,Tulane,(2-1),1501.81,1386,58,N/A
66,South Carolina,(1-2),1501.38,1415,43,N/A
67,Fresno St,(0-2),1501.36,1521,14,N/A
68,Purdue,(1-2),1500.47,1497,24,N/A
69,Syracuse,(1-2),1499.9,1449,35,N/A
70,Virginia Tech,(2-1),1499.78,1345,99,N/A
71,Marshall,(2-1),1496.66,1385,59,N/A
72,Navy,(2-0),1490.77,1250,127,N/A
73,Miami FL,(1-2),1490.45,1388,57,N/A
74,Colorado,(2-1),1490.21,1480,29,N/A
75,Tennessee,(1-2),1487.69,1361,83,N/A
76,Louisville,(2-1),1487.5,1372,71,N/A
77,Georgia Southern,(1-2),1487.04,1424,40,N/A
78,Ohio U.,(1-2),1485.56,1363,80,N/A
79,Pittsburgh,(1-2),1485.15,1547,7,N/A
80,Coastal Carolina,(2-1),1482.63,1355,87,N/A
81,Eastern Michigan,(2-1),1477.58,1533,10,N/A
82,Western Michigan,(2-1),1477.56,1368,73,N/A
83,Louisiana Tech,(2-1),1477.48,1347,98,N/A
84,Rutgers,(1-1),1477.13,1518,16,N/A
85,Florida St,(1-2),1476.25,1534,9,N/A
86,Southern Miss,(2-1),1473.64,1398,52,N/A
87,North Carolina,(2-1),1473.6,1524,12,N/A
88,UNC-Charlotte,(2-1),1472.84,1343,102,N/A
89,Vanderbilt,(0-2),1470.96,1570,2,N/A
90,Georgia Tech,(1-2),1469.28,1406,48,N/A
91,Hawai`i,(2-1),1468.41,1513,17,N/A
92,Arkansas St,(1-2),1463.55,1527,11,N/A
93,Nevada,(2-1),1463.04,1394,54,N/A
94,Louisiana-Monroe,(1-1),1462.81,1292,120,N/A
95,Toledo,(1-1),1460.75,1334,108,N/A
96,Louisiana-Lafayette,(2-1),1460.15,1261,126,N/A
97,Houston,(1-2),1457.5,1433,39,N/A
98,Florida Atlantic,(1-2),1450.3,1541,8,N/A
99,Florida Int'l,(1-2),1449.86,1343,102,N/A
100,South Florida,(1-2),1448.95,1383,64,N/A
101,Georgia St,(2-1),1443.28,1353,89,N/A
102,Oregon St,(1-2),1442.98,1380,66,N/A
103,Middle Tennessee St,(1-2),1441.7,1402,49,N/A
104,North Texas,(1-2),1440.38,1379,67,N/A
105,Miami OH,(1-2),1440.3,1412,46,N/A
106,New Mexico,(1-1),1435.86,1352,90,N/A
107,Buffalo,(1-2),1429.36,1278,123,N/A
108,Tulsa,(1-2),1428.85,1521,14,N/A
109,Central Michigan,(2-1),1422.8,1345,99,N/A
110,Old Dominion,(1-1),1420.61,1296,118,N/A
111,Connecticut,(1-1),1417.05,1312,116,N/A
112,Western Kentucky,(1-2),1417.01,1355,87,N/A
113,Northern Illinois,(1-2),1414.71,1399,51,N/A
114,San José St,(1-1),1412.3,1271,124,N/A
