Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Clemson,(11-0),1767.94,1493,79,N/A,ACC Atlantic,True
2,Ohio State,(10-0),1762.87,1515,52,N/A,Big 10 East,True
3,LSU,(10-0),1732.73,1527,37,N/A,SEC West,True
4,Alabama,(9-1),1724.72,1506,65,N/A,SEC West,True
5,Georgia,(9-1),1716.3,1529,34,N/A,SEC East,True
6,Penn State,(9-1),1696.89,1537,25,N/A,Big 10 East,True
7,Utah,(9-1),1692.2,1489,81,N/A,PAC 12 South,True
8,Oregon,(9-1),1689.82,1521,41,N/A,PAC 12 North,True
9,Florida,(9-2),1676.1,1552,11,N/A,SEC East,True
10,Michigan,(8-2),1666.56,1532,33,N/A,Big 10 East,True
11,Wisconsin,(8-2),1666.48,1540,19,N/A,Big 10 West,True
12,Oklahoma,(9-1),1665.72,1520,42,N/A,Big 12,True
13,Appalachian St,(9-1),1664.84,1458,111,N/A,Sun Belt East,False
14,Minnesota,(9-1),1659.65,1516,51,N/A,Big 10 West,True
15,Memphis,(9-1),1650.34,1487,87,N/A,AAC West,False
16,Boise St,(9-1),1645.37,1480,92,N/A,MW Mountain,False
17,Baylor,(9-1),1645.03,1481,91,N/A,Big 12,True
18,Auburn,(7-3),1638.01,1580,3,N/A,SEC West,True
19,Notre Dame,(8-2),1637.42,1538,23,N/A,Independent,False
20,North Dakota St,(11-0),1636.57,1352,207,N/A,MVFC,False
21,Central Florida,(7-3),1635.22,1476,96,N/A,AAC East,False
22,Air Force,(8-2),1629.22,1488,85,N/A,MW Mountain,False
23,Texas A&M,(7-3),1627.99,1500,73,N/A,SEC West,True
24,SMU,(9-1),1622.68,1472,101,N/A,AAC West,False
25,Cincinnati,(9-1),1620.99,1497,77,N/A,AAC East,False
26,James Madison,(10-1),1618.53,1387,167,N/A,CAA,False
27,Iowa St,(6-4),1614.04,1550,12,N/A,Big 12,True
28,Washington,(6-4),1611.37,1520,42,N/A,PAC 12 North,True
29,Iowa,(7-3),1609.41,1540,19,N/A,Big 10 West,True
