Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,LSU,(15-0),1855.44,1572,7,N/A,SEC West,True
2,Ohio State,(13-1),1807.74,1582,4,N/A,Big 10 East,True
3,Clemson,(14-1),1795.36,1547,24,N/A,ACC Atlantic,True
4,Alabama,(11-2),1740.71,1514,66,N/A,SEC West,True
5,Georgia,(12-2),1734.17,1569,8,N/A,SEC East,True
6,Oregon,(12-2),1731.45,1542,33,N/A,PAC 12 North,True
7,North Dakota St,(16-0),1727.17,1402,157,N/A,MVFC,False
8,Appalachian St,(13-1),1720.44,1465,111,N/A,Sun Belt East,False
9,Florida,(11-2),1716.33,1562,10,N/A,SEC East,True
10,Penn State,(11-2),1712.97,1561,12,N/A,Big 10 East,True
11,Notre Dame,(11-2),1707.2,1536,41,N/A,Independent,False
12,Oklahoma,(12-2),1692.68,1548,23,N/A,Big 12,True
13,Memphis,(12-2),1682.51,1512,70,N/A,AAC West,False
14,Wisconsin,(10-4),1680.72,1585,3,N/A,Big 10 West,True
15,Air Force,(11-2),1679.22,1483,92,N/A,MW Mountain,False
16,James Madison,(14-2),1677.84,1430,133,N/A,CAA,False
17,Central Florida,(10-3),1670.74,1474,100,N/A,AAC East,False
18,Minnesota,(11-2),1667.09,1527,49,N/A,Big 10 West,True
19,Boise St,(12-2),1663.55,1496,83,N/A,MW Mountain,False
20,Iowa,(10-3),1663.34,1539,35,N/A,Big 10 West,True
21,Navy,(11-2),1652.7,1510,71,N/A,AAC West,False
22,Baylor,(11-3),1651.14,1516,63,N/A,Big 12,True
23,Auburn,(9-4),1650.79,1595,2,N/A,SEC West,True
24,Utah,(11-3),1648.35,1507,73,N/A,PAC 12 South,True
25,Washington,(8-5),1643.47,1538,38,N/A,PAC 12 North,True
26,Michigan,(9-4),1643.46,1578,5,N/A,Big 10 East,True
27,Louisiana-Lafayette,(11-3),1643.41,1479,94,N/A,Sun Belt West,False
28,Cincinnati,(11-3),1629.67,1521,58,N/A,AAC East,False
29,San Diego St,(10-3),1627.29,1473,101,N/A,MW West,False
30,Kentucky,(8-5),1620.51,1515,65,N/A,SEC East,True
31,Florida Atlantic,(11-3),1618.82,1452,120,N/A,CUSA East,False
32,Texas,(8-5),1607.48,1561,12,N/A,Big 12,True
33,Texas A&M,(8-5),1603.2,1542,33,N/A,SEC West,True
34,Kansas St,(8-5),1600.17,1528,48,N/A,Big 12,True
35,Tennessee,(8-5),1599.83,1547,24,N/A,SEC East,True
36,SMU,(10-3),1595.02,1495,84,N/A,AAC West,False
37,Virginia,(9-5),1585.03,1531,46,N/A,ACC Coastal,True
38,Oklahoma St,(8-5),1583.17,1535,43,N/A,Big 12,True
39,Indiana,(8-5),1581.68,1500,79,N/A,Big 10 East,True
40,Wyoming,(8-5),1576.71,1480,93,N/A,MW Mountain,False
41,Southern Cal,(8-5),1576.26,1549,21,N/A,PAC 12 South,True
42,Buffalo,(8-5),1573.86,1462,113,N/A,MAC East,False
43,Virginia Tech,(8-5),1573.84,1489,88,N/A,ACC Coastal,True
44,Dartmouth,(9-1),1571.99,1365,201,N/A,Ivy League,False
45,Iowa St,(7-6),1570.87,1562,10,N/A,Big 12,True
46,North Carolina,(7-6),1564.55,1526,54,N/A,ACC Coastal,True
47,Hawai`i,(10-5),1564.08,1510,71,N/A,MW West,False
48,Montana St,(11-4),1557.74,1383,180,N/A,Big Sky,False
49,Arizona St,(8-5),1554.62,1529,47,N/A,PAC 12 South,True
50,Yale,(9-1),1550.44,1393,167,N/A,Ivy League,False
51,California,(8-5),1549.97,1517,62,N/A,PAC 12 North,True
52,Louisville,(8-5),1549.58,1552,17,N/A,ACC Atlantic,True
53,Michigan St,(7-6),1548.29,1556,16,N/A,Big 10 East,True
54,Austin Peay,(11-4),1547.45,1368,198,N/A,OVC,False
55,Wake Forest,(8-5),1542.5,1514,66,N/A,ACC Atlantic,True
56,Missouri,(6-6),1539.4,1527,49,N/A,SEC East,True
57,Louisiana Tech,(10-3),1531.06,1379,185,N/A,CUSA West,False
58,Weber St,(11-4),1529.75,1414,143,N/A,Big Sky,False
59,Montana,(10-4),1529.23,1450,121,N/A,Big Sky,False
60,Temple,(8-5),1527.97,1492,86,N/A,AAC East,False
61,Liberty,(8-5),1526.65,1433,130,N/A,Independent,False
62,Monmouth NJ,(11-3),1526.5,1389,170,N/A,Big South,False
63,Ohio U.,(7-6),1522.17,1448,123,N/A,MAC East,False
64,Western Kentucky,(9-4),1521.66,1439,126,N/A,CUSA East,False
65,Georgia Southern,(7-6),1520.57,1522,57,N/A,Sun Belt East,False
66,Kennesaw St,(11-3),1519.87,1330,230,N/A,Big South,False
67,Tulane,(7-6),1519.62,1500,79,N/A,AAC West,False
68,North Carolina A&T,(9-3),1518.58,1357,208,N/A,MEAC,False
69,Florida St,(6-7),1518.29,1550,20,N/A,ACC Atlantic,True
70,Pittsburgh,(8-5),1518.28,1520,60,N/A,ACC Coastal,True
71,Western Michigan,(7-6),1513.21,1472,102,N/A,MAC West,False
72,San Diego,(9-3),1511.44,1350,213,N/A,Pioneer,False
73,TCU,(5-7),1511.17,1544,31,N/A,Big 12,True
74,Washington St,(6-7),1511.04,1506,75,N/A,PAC 12 North,True
75,Brigham Young,(7-6),1510.61,1516,63,N/A,Independent,False
76,Princeton,(8-2),1510.5,1365,201,N/A,Ivy League,False
77,Central Conn St,(11-2),1509.86,1298,248,N/A,NEC,False
78,Arkansas St,(8-5),1509.7,1465,111,N/A,Sun Belt West,False
79,Boston College,(6-7),1508.7,1532,45,N/A,ACC Atlantic,True
80,South Dakota St,(8-5),1507.24,1420,136,N/A,MVFC,False
81,Northern Iowa,(10-5),1506.48,1441,124,N/A,MVFC,False
82,Mississippi St,(6-7),1506.16,1574,6,N/A,SEC West,True
83,Villanova,(9-4),1502.43,1365,201,N/A,CAA,False
84,Central Michigan,(8-6),1500.48,1467,110,N/A,MAC West,False
85,Mississippi,(4-8),1498.63,1552,17,N/A,SEC West,True
86,Wofford,(8-4),1498.2,1397,162,N/A,Southern,False
87,Miami FL,(6-7),1496.9,1514,66,N/A,ACC Coastal,True
88,Kent St,(7-6),1496.02,1487,89,N/A,MAC East,False
89,Sacramento St,(9-4),1493.88,1399,161,N/A,Big Sky,False
90,Illinois St,(10-5),1492.7,1410,150,N/A,MVFC,False
91,Nebraska,(5-7),1492.55,1505,77,N/A,Big 10 West,True
92,Utah St,(7-6),1491.87,1533,44,N/A,MW Mountain,False
93,Oregon St,(5-7),1490.25,1527,49,N/A,PAC 12 North,True
94,Syracuse,(5-7),1488.77,1513,69,N/A,ACC Atlantic,True
95,Troy,(5-7),1484.42,1469,106,N/A,Sun Belt East,False
96,Albany NY,(9-5),1479.75,1403,156,N/A,CAA,False
97,Miami OH,(8-6),1479.67,1506,75,N/A,MAC East,False
98,Illinois,(6-7),1477.99,1502,78,N/A,Big 10 West,True
99,South Carolina,(4-8),1473.93,1604,1,N/A,SEC East,True
100,Georgia St,(7-6),1473.72,1493,85,N/A,Sun Belt East,False
101,Ball St,(5-7),1472.69,1469,106,N/A,MAC West,False
102,South Carolina St,(8-3),1470.57,1336,225,N/A,MEAC,False
103,West Virginia,(5-7),1469.86,1564,9,N/A,Big 12,True
104,Texas Tech,(4-8),1468.65,1526,54,N/A,Big 12,True
105,Southern Illinois,(7-5),1465.28,1409,151,N/A,MVFC,False
106,Dayton,(8-3),1461.92,1327,232,N/A,Pioneer,False
107,Purdue,(4-8),1461.9,1544,31,N/A,Big 10 West,True
108,Towson,(7-5),1461.9,1422,135,N/A,CAA,False
109,Florida A&M,(9-2),1461.42,1345,217,N/A,MEAC,False
110,Northwestern,(3-8),1460.75,1537,40,N/A,Big 10 West,True
111,Duke,(5-7),1460.37,1538,38,N/A,ACC Coastal,True
112,San José St,(5-7),1459.89,1471,103,N/A,MW West,False
113,Sam Houston St,(7-5),1459.84,1297,249,N/A,Southland,False
114,Coastal Carolina,(5-7),1459.69,1470,105,N/A,Sun Belt East,False
115,Nevada,(7-6),1459.08,1487,89,N/A,MW West,False
116,SE Louisiana,(8-5),1456.44,1379,185,N/A,Southland,False
117,Marshall,(8-5),1455.54,1471,103,N/A,CUSA East,False
118,Army,(5-8),1453.82,1455,117,N/A,Independent,False
119,Furman,(8-5),1452.07,1380,183,N/A,Southern,False
120,Louisiana-Monroe,(5-7),1451.77,1521,58,N/A,Sun Belt West,False
121,Fresno St,(4-8),1451.5,1519,61,N/A,MW West,False
