Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Ohio State,(11-0),1782.52,1528,38,N/A,Big 10 East,True
2,Clemson,(11-0),1767.37,1493,76,N/A,ACC Atlantic,True
3,LSU,(11-0),1743.48,1514,54,N/A,SEC West,True
4,Alabama,(10-1),1730.52,1486,81,N/A,SEC West,True
5,Georgia,(10-1),1729.6,1538,25,N/A,SEC East,True
6,Utah,(10-1),1703.18,1483,86,N/A,PAC 12 South,True
7,Michigan,(9-2),1688.55,1540,22,N/A,Big 10 East,True
8,Wisconsin,(9-2),1683.44,1542,17,N/A,Big 10 West,True
9,Penn State,(9-2),1676.97,1563,4,N/A,Big 10 East,True
10,Florida,(9-2),1675.82,1552,9,N/A,SEC East,True
11,Oregon,(9-2),1675.71,1519,49,N/A,PAC 12 North,True
12,Appalachian St,(10-1),1675.51,1446,115,N/A,Sun Belt East,False
13,Oklahoma,(10-1),1674.73,1514,54,N/A,Big 12,True
14,Minnesota,(10-1),1670.26,1507,65,N/A,Big 10 West,True
15,Memphis,(10-1),1667.3,1478,91,N/A,AAC West,False
16,Baylor,(10-1),1665.52,1488,78,N/A,Big 12,True
17,Notre Dame,(9-2),1663.92,1541,19,N/A,Independent,False
18,Boise St,(10-1),1655.03,1448,114,N/A,MW Mountain,False
19,Auburn,(8-3),1654.33,1561,7,N/A,SEC West,True
20,North Dakota St,(12-0),1649.89,1355,203,N/A,MVFC,False
21,Central Florida,(8-3),1641.4,1479,89,N/A,AAC East,False
22,Louisiana-Lafayette,(9-2),1640.8,1453,110,N/A,Sun Belt West,False
23,Iowa,(8-3),1627.71,1548,13,N/A,Big 10 West,True
24,Iowa St,(7-4),1627.41,1541,19,N/A,Big 12,True
25,James Madison,(11-1),1627.06,1385,169,N/A,CAA,False
26,Cincinnati,(10-1),1625.38,1498,72,N/A,AAC East,False
27,Air Force,(9-2),1623.68,1441,119,N/A,MW Mountain,False
28,Texas A&M,(7-4),1613.82,1518,51,N/A,SEC West,True
29,Oklahoma St,(8-3),1613.62,1511,56,N/A,Big 12,True
30,Virginia Tech,(8-3),1611.9,1470,99,N/A,ACC Coastal,True
31,SMU,(9-2),1601.76,1483,86,N/A,AAC West,False
32,Virginia,(8-3),1600.93,1484,83,N/A,ACC Coastal,True
33,Navy,(8-2),1600.05,1508,61,N/A,AAC West,False
34,Southern Cal,(8-4),1598.89,1536,28,N/A,PAC 12 South,True
35,Washington,(6-5),1588.25,1521,46,N/A,PAC 12 North,True
36,Kansas St,(7-4),1586.54,1519,49,N/A,Big 12,True
37,Wake Forest,(8-3),1582.47,1508,61,N/A,ACC Atlantic,True
38,Indiana,(7-4),1579.29,1494,74,N/A,Big 10 East,True
39,Wyoming,(7-4),1574.5,1454,106,N/A,MW Mountain,False
40,Tennessee,(6-5),1572.29,1562,5,N/A,SEC East,True
41,Dartmouth,(9-1),1571.81,1364,195,N/A,Ivy League,False
42,Kentucky,(6-5),1571.23,1508,61,N/A,SEC East,True
43,San Diego St,(8-3),1564.75,1435,123,N/A,MW West,False
44,Florida St,(6-5),1557.52,1540,22,N/A,ACC Atlantic,True
45,Miami FL,(6-5),1553.87,1515,53,N/A,ACC Coastal,True
46,Louisville,(7-4),1552.26,1546,14,N/A,ACC Atlantic,True
47,Washington St,(6-5),1552.18,1479,89,N/A,PAC 12 North,True
48,Central Conn St,(11-1),1543.52,1281,251,N/A,NEC,False
49,Yale,(9-1),1543.33,1395,155,N/A,Ivy League,False
50,Buffalo,(6-5),1541.82,1475,94,N/A,MAC East,False
51,Brigham Young,(7-4),1541.81,1499,71,N/A,Independent,False
52,Western Michigan,(7-4),1541.63,1476,93,N/A,MAC West,False
53,Temple,(7-4),1539.7,1509,58,N/A,AAC East,False
54,San Diego,(9-2),1539.52,1338,220,N/A,Pioneer,False
55,Texas,(6-5),1537.72,1551,11,N/A,Big 12,True
56,Georgia St,(7-4),1534.13,1490,77,N/A,Sun Belt East,False
57,Hawai`i,(8-4),1531.49,1459,103,N/A,MW West,False
58,Monmouth NJ,(10-2),1531.41,1363,197,N/A,Big South,False
59,Missouri,(5-6),1530.34,1538,25,N/A,SEC East,True
60,Illinois,(6-5),1528.31,1504,66,N/A,Big 10 West,True
61,Florida Atlantic,(8-3),1528.24,1437,121,N/A,CUSA East,False
62,TCU,(5-6),1526.55,1550,12,N/A,Big 12,True
63,Mississippi St,(5-6),1524.09,1575,1,N/A,SEC West,True
64,Tulane,(6-5),1523.84,1495,73,N/A,AAC West,False
65,Montana St,(9-3),1523.76,1345,211,N/A,Big Sky,False
66,Boston College,(5-6),1523.54,1528,38,N/A,ACC Atlantic,True
67,Austin Peay,(9-3),1523.1,1344,215,N/A,OVC,False
68,Michigan St,(5-6),1522.86,1562,5,N/A,Big 10 East,True
69,South Dakota St,(8-4),1522.58,1404,149,N/A,MVFC,False
70,Kennesaw St,(10-2),1521.46,1298,246,N/A,Big South,False
71,Arizona St,(6-5),1519.73,1532,35,N/A,PAC 12 South,True
72,Arkansas St,(7-4),1516.71,1510,57,N/A,Sun Belt West,False
73,Pittsburgh,(7-4),1514.67,1521,46,N/A,ACC Coastal,True
74,Montana,(9-3),1513.19,1428,128,N/A,Big Sky,False
75,Central Michigan,(7-4),1512.82,1454,106,N/A,MAC West,False
76,Villanova,(9-3),1512.39,1353,205,N/A,CAA,False
