Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
91,Illinois,(6-6),1497.95,1501,68,N/A,Big 10 West,True
92,Nebraska,(5-7),1496.86,1503,67,N/A,Big 10 West,True
93,Wofford,(8-4),1494.18,1398,154,N/A,Southern,False
94,Oregon St,(5-7),1491.88,1526,43,N/A,PAC 12 North,True
95,SE Louisiana,(8-4),1491.48,1366,193,N/A,Southland,False
96,Troy,(5-7),1490.54,1470,97,N/A,Sun Belt East,False
97,Syracuse,(5-7),1489.16,1512,59,N/A,ACC Atlantic,True
98,North Carolina A&T,(8-3),1487.79,1347,210,N/A,MEAC,False
99,Illinois St,(9-4),1483.86,1387,167,N/A,MVFC,False
100,Alabama-Birmingham,(9-3),1481.14,1358,203,N/A,CUSA West,False
101,Ball St,(5-7),1480.58,1468,100,N/A,MAC West,False
102,Texas Tech,(4-8),1477.81,1525,47,N/A,Big 12,True
103,South Carolina,(4-8),1474.06,1603,1,N/A,SEC East,True
104,Miami OH,(7-5),1472.65,1486,82,N/A,MAC East,False
105,Army,(5-7),1472.35,1411,142,N/A,Independent,False
106,South Carolina St,(8-3),1470.53,1336,225,N/A,MEAC,False
107,Kent St,(6-6),1467.51,1484,84,N/A,MAC East,False
108,Sam Houston St,(7-5),1467.05,1295,250,N/A,Southland,False
109,West Virginia,(5-7),1466.71,1564,4,N/A,Big 12,True
110,Southern Illinois,(7-5),1464.73,1409,146,N/A,MVFC,False
111,Marshall,(8-4),1464.61,1450,113,N/A,CUSA East,False
112,Towson,(7-5),1464.22,1421,131,N/A,CAA,False
113,Nevada,(7-5),1464.21,1442,119,N/A,MW West,False
114,Coastal Carolina,(5-7),1463.51,1470,97,N/A,Sun Belt East,False
115,Northwestern,(3-8),1463.28,1535,32,N/A,Big 10 West,True
116,Duke,(5-7),1463.08,1537,29,N/A,ACC Coastal,True
117,Purdue,(4-8),1462.29,1543,23,N/A,Big 10 West,True
118,Fresno St,(4-8),1461.06,1482,86,N/A,MW West,False
119,Dayton,(8-3),1460.19,1328,231,N/A,Pioneer,False
120,Louisiana-Monroe,(5-7),1455.72,1521,52,N/A,Sun Belt West,False
121,Florida A&M,(9-2),1455.64,1346,212,N/A,MEAC,False
122,Alcorn St,(8-3),1455.25,1301,246,N/A,SWAC East,False
123,Furman,(8-5),1452.65,1380,176,N/A,Southern,False
124,Eastern Michigan,(6-6),1450.72,1476,92,N/A,MAC West,False
125,Nicholls St,(9-4),1445.93,1364,197,N/A,Southland,False
126,Davidson,(8-4),1444.2,1290,251,N/A,Pioneer,False
127,Southern Miss,(7-5),1443.57,1447,117,N/A,CUSA West,False
128,Colorado St,(4-8),1443.22,1463,103,N/A,MW Mountain,False
129,Houston,(4-8),1442.74,1534,34,N/A,AAC West,False
130,SE Missouri St,(9-4),1441.32,1381,175,N/A,OVC,False
131,Colorado,(5-7),1440.13,1545,19,N/A,PAC 12 South,True
132,UCLA,(4-8),1440.12,1546,18,N/A,PAC 12 South,True
133,South Florida,(4-8),1437.91,1545,19,N/A,AAC East,False
134,Central Arkansas,(9-3),1434.86,1394,159,N/A,Southland,False
135,Stanford,(4-8),1433.52,1545,19,N/A,PAC 12 North,True
136,New Hampshire,(6-5),1430.34,1411,142,N/A,CAA,False
137,UNC-Charlotte,(7-5),1428.63,1421,131,N/A,CUSA East,False
138,Eastern Kentucky,(7-5),1426.2,1345,215,N/A,OVC,False
139,North Carolina St,(4-8),1426.0,1491,77,N/A,ACC Atlantic,True
140,Tulsa,(4-8),1418.54,1526,43,N/A,AAC West,False
