Rank,Conference,Elo
1,SEC West,1591.62
2,Big 10 East,1572.53
3,Big 12,1557.6
4,ACC Atlantic,1553.21
5,Big 10 West,1544.58
6,SEC East,1541.27
7,PAC 12 North,1537.87
8,PAC 12 South,1512.74
9,MW Mountain,1506.13
10,AAC West,1504.28
11,Sun Belt East,1502.73
12,ACC Coastal,1495.4
13,AAC East,1494.08
14,Independent,1474.38
15,MW West,1466.39
16,CUSA East,1440.4
17,Sun Belt West,1438.85
18,MAC West,1437.18
19,CUSA West,1427.01
20,MAC East,1408.87
