Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Ohio State,(6-0),1672.34,1519,16,N/A
2,Alabama,(6-0),1667.76,1489,27,N/A
3,Wisconsin,(6-0),1651.12,1505,22,N/A
4,LSU,(6-0),1647.23,1448,51,N/A
5,Clemson,(6-0),1646.74,1487,28,N/A
6,Penn State,(6-0),1629.99,1430,75,N/A
7,Oklahoma,(6-0),1629.98,1418,95,N/A
8,Georgia,(5-1),1609.97,1428,79,N/A
9,Missouri,(5-1),1607.45,1442,57,N/A
10,Auburn,(5-1),1607.17,1541,4,N/A
11,Oregon,(5-1),1601.74,1441,60,N/A
12,Notre Dame,(5-1),1598.57,1493,25,N/A
13,Boise St,(6-0),1596.42,1415,102,N/A
14,Washington,(5-2),1594.21,1445,54,N/A
15,Baylor,(6-0),1593.51,1414,104,N/A
16,Michigan,(5-1),1593.48,1509,21,N/A
17,Minnesota,(6-0),1592.28,1415,102,N/A
18,Florida,(6-1),1591.57,1417,97,N/A
19,Iowa St,(4-2),1591.28,1457,43,N/A
20,Appalachian St,(5-0),1585.58,1411,108,N/A
21,SMU,(6-0),1582.72,1467,35,N/A
22,Utah,(5-1),1582.34,1411,108,N/A
23,Central Florida,(4-2),1571.82,1420,90,N/A
24,Cincinnati,(5-1),1570.89,1500,23,N/A
25,Texas,(4-2),1569.38,1540,6,N/A
26,Memphis,(5-1),1564.42,1416,100,N/A
27,Wake Forest,(5-1),1562.67,1420,90,N/A
28,Iowa,(4-2),1558.85,1512,20,N/A
29,Tulane,(5-1),1551.74,1424,87,N/A
30,Arizona St,(5-1),1549.48,1439,62,N/A
31,Oklahoma St,(4-2),1547.36,1438,64,N/A
32,Michigan St,(4-3),1546.16,1545,1,N/A
33,Indiana,(4-2),1542.94,1434,70,N/A
34,San Diego St,(5-1),1541.04,1390,122,N/A
35,Duke,(4-2),1541.03,1431,74,N/A
36,Alabama-Birmingham,(5-1),1538.35,1349,128,N/A
37,Temple,(5-1),1536.69,1409,111,N/A
38,Navy,(4-1),1536.59,1413,106,N/A
39,TCU,(3-2),1535.94,1441,60,N/A
40,Wyoming,(4-2),1532.94,1419,93,N/A
41,North Carolina St,(4-2),1530.07,1420,90,N/A
42,Air Force,(4-2),1528.23,1434,70,N/A
43,Louisiana Tech,(5-1),1527.75,1383,123,N/A
44,Mississippi St,(3-3),1525.88,1520,15,N/A
45,Texas A&M,(3-3),1520.72,1484,29,N/A
46,Kansas St,(3-2),1520.69,1438,64,N/A
47,Boston College,(3-3),1518.9,1428,79,N/A
48,Virginia,(4-2),1517.25,1438,64,N/A
49,Southern Cal,(3-3),1515.92,1530,10,N/A
50,Washington St,(3-3),1515.52,1410,110,N/A
51,Kentucky,(3-3),1514.63,1513,19,N/A
52,South Carolina,(3-3),1513.9,1493,25,N/A
53,California,(4-2),1512.9,1463,39,N/A
54,Georgia St,(4-2),1512.67,1397,118,N/A
55,Florida St,(3-3),1511.99,1543,3,N/A
56,Nebraska,(4-3),1511.69,1497,24,N/A
57,Utah St,(3-2),1511.57,1445,54,N/A
58,Louisville,(4-2),1511.0,1462,40,N/A
59,North Carolina,(3-3),1510.91,1532,8,N/A
60,Western Kentucky,(4-2),1508.88,1426,83,N/A
61,Maryland,(3-3),1508.59,1442,57,N/A
62,Florida Atlantic,(4-2),1508.2,1444,56,N/A
63,Mississippi,(3-4),1507.56,1481,30,N/A
64,Texas Tech,(3-3),1507.46,1456,44,N/A
65,Arizona,(4-2),1504.55,1436,67,N/A
66,Miami FL,(3-3),1502.79,1448,51,N/A
67,Army,(3-3),1502.12,1421,88,N/A
68,Stanford,(3-3),1500.54,1531,9,N/A
69,Louisiana-Lafayette,(4-2),1499.46,1371,125,N/A
70,Virginia Tech,(4-2),1499.26,1358,127,N/A
71,Hawai`i,(4-2),1498.76,1456,44,N/A
72,Southern Miss,(4-2),1498.48,1430,75,N/A
73,Purdue,(2-4),1495.66,1529,11,N/A
74,Western Michigan,(4-3),1495.39,1436,67,N/A
75,Pittsburgh,(4-2),1494.4,1462,40,N/A
76,Syracuse,(3-3),1492.87,1392,121,N/A
77,West Virginia,(3-3),1491.72,1476,32,N/A
78,Florida Int'l,(3-3),1487.52,1403,114,N/A
79,Arkansas,(2-4),1485.27,1429,77,N/A
80,Coastal Carolina,(3-3),1484.09,1414,104,N/A
81,Toledo,(4-2),1483.33,1394,119,N/A
82,Illinois,(2-4),1482.08,1481,30,N/A
83,Tennessee,(2-4),1481.75,1464,38,N/A
84,Troy,(2-3),1480.51,1399,116,N/A
85,Central Michigan,(4-3),1478.94,1407,112,N/A
86,South Florida,(3-3),1478.77,1427,81,N/A
87,Colorado,(3-3),1478.45,1522,14,N/A
88,Northwestern,(1-4),1472.09,1526,12,N/A
89,Fresno St,(2-3),1471.61,1417,97,N/A
90,Oregon St,(2-4),1468.12,1439,62,N/A
91,San José St,(3-3),1466.98,1407,112,N/A
92,Louisiana-Monroe,(3-3),1466.82,1426,83,N/A
93,Kansas,(2-4),1466.77,1467,35,N/A
94,Nevada,(4-2),1466.5,1418,95,N/A
95,Arkansas St,(3-3),1463.63,1447,53,N/A
96,Georgia Southern,(2-3),1462.87,1427,81,N/A
97,Kent St,(3-3),1461.8,1432,73,N/A
98,Marshall,(3-3),1459.15,1421,88,N/A
99,Ball St,(3-3),1454.37,1412,107,N/A
100,Houston,(2-4),1453.75,1462,40,N/A
101,Brigham Young,(2-4),1451.17,1519,16,N/A
102,East Carolina,(3-3),1446.09,1360,126,N/A
103,Eastern Michigan,(3-3),1439.64,1419,93,N/A
104,Tulsa,(2-4),1437.82,1539,7,N/A
105,Ohio U.,(2-4),1435.88,1399,116,N/A
106,Buffalo,(2-4),1435.08,1375,124,N/A
107,UNLV,(2-4),1429.56,1429,77,N/A
108,Colorado St,(2-5),1428.96,1436,67,N/A
109,North Texas,(2-4),1427.97,1426,83,N/A
110,Middle Tennessee St,(2-4),1427.24,1454,46,N/A
111,UNC-Charlotte,(2-4),1423.52,1449,50,N/A
112,Miami OH,(2-4),1423.28,1470,33,N/A
113,UCLA,(1-5),1418.13,1541,4,N/A
114,Vanderbilt,(1-5),1418.05,1517,18,N/A
115,Northern Illinois,(2-4),1414.15,1416,100,N/A
116,Rutgers,(1-5),1410.43,1523,13,N/A
117,New Mexico,(2-4),1410.29,1348,129,N/A
118,Texas St-San Marcos,(2-4),1408.97,1452,49,N/A
119,Georgia Tech,(1-5),1408.44,1468,34,N/A
120,Bowling Green,(2-4),1405.54,1442,57,N/A
121,Texas-San Antonio,(2-4),1400.59,1425,86,N/A
