Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Clemson,(2-0),1665.99,1521,22,N/A
2,Alabama,(2-0),1662.41,1438,56,N/A
3,Ohio State,(2-0),1644.95,1472,42,N/A
4,LSU,(2-0),1632.03,1530,14,N/A
5,Georgia,(2-0),1611.76,1296,94,N/A
6,Mississippi St,(2-0),1607.02,1450,54,N/A
7,Iowa,(2-0),1603.83,1466,47,N/A
8,Kentucky,(2-0),1603.16,1456,49,N/A
9,Oklahoma,(2-0),1602.97,1282,107,N/A
10,Auburn,(2-0),1601.67,1504,31,N/A
11,Penn State,(2-0),1599.23,1282,107,N/A
12,Michigan,(2-0),1597.41,1504,31,N/A
13,Washington St,(2-0),1595.61,1246,120,N/A
14,Wisconsin,(2-0),1594.51,1414,58,N/A
15,Central Florida,(2-0),1588.74,1259,114,N/A
16,Michigan St,(2-0),1587.86,1426,57,N/A
17,Notre Dame,(1-0),1584.7,1448,55,N/A
18,Appalachian St,(2-0),1584.34,1267,112,N/A
19,Florida,(2-0),1581.75,1292,98,N/A
20,Missouri,(1-1),1578.27,1512,27,N/A
21,North Carolina St,(2-0),1577.92,1269,111,N/A
22,Boise St,(2-0),1575.12,1490,37,N/A
23,Texas A&M,(1-1),1570.9,1534,13,N/A
24,Maryland,(2-0),1568.36,1306,88,N/A
25,Utah,(2-0),1566.5,1469,44,N/A
26,Texas,(1-1),1565.5,1538,10,N/A
27,Washington,(1-1),1562.86,1305,89,N/A
28,Boston College,(2-0),1559.21,1281,109,N/A
29,Oregon,(1-1),1558.68,1529,17,N/A
30,Wake Forest,(2-0),1558.61,1455,51,N/A
31,Oklahoma St,(2-0),1557.53,1261,113,N/A
32,Kansas St,(2-0),1556.66,1251,117,N/A
33,Baylor,(2-0),1556.63,1248,118,N/A
34,Southern Cal,(2-0),1547.67,1512,27,N/A
35,Virginia,(2-0),1546.41,1283,106,N/A
36,Army,(1-1),1545.42,1488,39,N/A
37,Iowa St,(1-0),1542.25,1097,123,N/A
38,Texas Tech,(2-0),1541.86,1235,122,N/A
39,Utah St,(1-1),1541.12,1325,79,N/A
40,Troy,(1-0),1540.29,1093,125,N/A
41,Wyoming,(2-0),1536.86,1482,40,N/A
42,Indiana,(2-0),1536.32,1255,116,N/A
43,Minnesota,(2-0),1535.68,1297,93,N/A
44,Purdue,(1-1),1531.96,1462,48,N/A
45,Illinois,(2-0),1531.18,1399,59,N/A
46,Arizona St,(2-0),1530.08,1247,119,N/A
47,Mississippi,(1-1),1529.03,1497,34,N/A
48,TCU,(1-0),1528.06,1092,126,N/A
49,Stanford,(1-1),1526.15,1529,17,N/A
50,Temple,(1-0),1524.02,1091,127,N/A
51,Memphis,(2-0),1522.51,1296,94,N/A
52,South Carolina,(1-1),1522.15,1290,102,N/A
53,Syracuse,(1-1),1521.56,1331,75,N/A
54,Cincinnati,(1-1),1518.64,1543,9,N/A
55,California,(2-0),1517.73,1328,78,N/A
56,SMU,(2-0),1516.94,1456,49,N/A
57,Alabama-Birmingham,(2-0),1515.38,1238,121,N/A
58,Colorado,(2-0),1512.14,1468,45,N/A
59,Nebraska,(1-1),1511.44,1455,51,N/A
60,Northwestern,(0-1),1511.08,1564,5,N/A
61,San Diego St,(2-0),1506.91,1258,115,N/A
62,West Virginia,(1-1),1505.01,1337,70,N/A
63,Air Force,(1-0),1501.38,1091,127,N/A
64,Pittsburgh,(1-1),1499.95,1518,24,N/A
65,Fresno St,(0-2),1499.7,1522,21,N/A
66,Hawai`i,(2-0),1498.95,1452,53,N/A
67,Virginia Tech,(1-1),1495.81,1489,38,N/A
68,Georgia Southern,(1-1),1495.54,1353,61,N/A
69,Brigham Young,(1-1),1495.09,1509,30,N/A
70,Tulane,(1-1),1493.14,1530,14,N/A
71,Arkansas St,(1-1),1492.79,1472,42,N/A
72,Florida St,(1-1),1492.51,1519,23,N/A
73,Ohio U.,(1-1),1491.5,1296,94,N/A
74,North Carolina,(2-0),1489.82,1496,35,N/A
75,Marshall,(1-1),1489.25,1333,74,N/A
76,Georgia St,(2-0),1487.86,1291,99,N/A
77,Duke,(1-1),1487.15,1376,60,N/A
78,Georgia Tech,(1-1),1485.48,1550,8,N/A
79,Miami FL,(0-2),1479.24,1535,12,N/A
80,Rutgers,(1-1),1477.31,1518,24,N/A
81,Tennessee,(0-2),1476.6,1491,36,N/A
82,Arizona,(1-1),1474.84,1290,102,N/A
83,Coastal Carolina,(1-1),1473.35,1480,41,N/A
84,Arkansas,(1-1),1473.08,1312,86,N/A
85,Buffalo,(1-1),1472.55,1345,64,N/A
86,Kansas,(1-1),1472.16,1284,105,N/A
87,Middle Tennessee St,(1-1),1471.04,1344,65,N/A
88,Houston,(1-1),1470.41,1344,65,N/A
89,Vanderbilt,(0-2),1468.19,1571,4,N/A
90,Miami OH,(1-1),1466.42,1347,63,N/A
91,Eastern Michigan,(1-1),1464.77,1538,10,N/A
92,New Mexico,(1-0),1464.07,1094,124,N/A
93,Louisiana-Monroe,(1-1),1463.24,1291,99,N/A
94,Louisville,(1-1),1459.73,1336,72,N/A
95,Navy,(1-0),1457.65,1089,129,N/A
96,Nevada,(1-1),1456.6,1530,14,N/A
97,North Texas,(1-1),1454.42,1304,90,N/A
98,Southern Miss,(1-1),1453.7,1349,62,N/A
99,Tulsa,(1-1),1451.13,1499,33,N/A
100,Toledo,(0-1),1449.06,1578,3,N/A
101,Louisiana-Lafayette,(1-1),1447.75,1336,72,N/A
102,Louisiana Tech,(1-1),1445.96,1339,68,N/A
103,East Carolina,(1-1),1444.24,1330,76,N/A
104,Northern Illinois,(1-1),1443.94,1329,77,N/A
105,Western Kentucky,(1-1),1443.72,1285,104,N/A
106,UNC-Charlotte,(1-1),1441.56,1337,70,N/A
107,Florida Int'l,(0-2),1439.75,1468,45,N/A
108,South Florida,(0-2),1435.76,1526,19,N/A
109,Colorado St,(1-1),1435.4,1300,91,N/A
110,Western Michigan,(1-1),1433.56,1338,69,N/A
111,Oregon St,(0-2),1430.34,1524,20,N/A
112,UNLV,(1-1),1428.63,1291,99,N/A
113,Florida Atlantic,(0-2),1425.48,1600,2,N/A
114,UCLA,(0-2),1421.43,1512,27,N/A
115,Old Dominion,(1-1),1419.46,1296,94,N/A
116,Ball St,(1-1),1418.23,1308,87,N/A
117,Connecticut,(1-1),1416.45,1313,84,N/A
118,San José St,(1-1),1411.09,1271,110,N/A
119,Bowling Green,(1-1),1411.02,1322,80,N/A
120,South Alabama,(1-1),1409.69,1299,92,N/A
121,Texas-San Antonio,(1-1),1405.21,1322,80,N/A
122,Kent St,(1-1),1404.98,1313,84,N/A
123,New Mexico St,(0-2),1398.87,1626,1,N/A
124,Central Michigan,(1-1),1392.26,1342,67,N/A
125,Texas St-San Marcos,(0-2),1386.74,1553,7,N/A
126,Massachusetts,(0-2),1382.29,1314,83,N/A
127,Akron,(0-2),1381.89,1514,26,N/A
128,UTEP,(1-1),1379.61,1319,82,N/A
129,Rice,(0-2),1378.81,1557,6,N/A
