Rank,Conference,Elo
1,SEC West,1593.32
2,Big 10 East,1571.07
3,Big 12,1559.21
4,ACC Atlantic,1553.13
5,Big 10 West,1546.11
6,PAC 12 North,1543.76
7,SEC East,1537.93
8,Sun Belt East,1511.34
9,PAC 12 South,1508.96
10,MW Mountain,1503.32
11,ACC Coastal,1502.4
12,AAC West,1496.9
13,AAC East,1486.74
14,Independent,1471.08
15,MW West,1470.9
16,CUSA East,1444.46
17,MAC West,1436.01
18,CUSA West,1433.48
19,Sun Belt West,1427.19
20,MAC East,1409.32
