Rank,Conference,Elo
1,SEC West,1595.0
2,Big 10 East,1577.74
3,SEC East,1568.09
4,Big 12,1562.59
5,Big 10 West,1559.21
6,ACC Atlantic,1556.64
7,PAC 12 North,1545.37
8,AAC West,1539.84
9,Sun Belt East,1535.02
10,PAC 12 South,1526.11
11,MW Mountain,1522.0
12,ACC Coastal,1516.43
13,AAC East,1505.23
14,MW West,1485.25
15,MAC West,1467.68
16,Independent,1464.12
17,Sun Belt West,1456.99
18,Ivy League,1429.35
19,MAC East,1428.32
20,MVFC,1422.76
21,CUSA East,1421.37
22,CAA,1415.96
23,FCS,1387.5
24,CUSA West,1371.55
25,Big Sky,1367.84
26,Southern,1364.5
27,OVC,1363.4
28,Big South,1363.07
29,Southland,1360.43
30,NEC,1360.33
31,MEAC,1344.99
32,Pioneer,1340.91
33,SWAC West,1336.66
34,SWAC East,1303.12
35,Patriot,1297.0
36,CFB,1100.0
