Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
1,Clemson,(11-0),1767.63,1493,79,N/A,ACC Atlantic,True
2,Ohio State,(10-0),1762.63,1515,52,N/A,Big 10 East,True
3,LSU,(10-0),1732.52,1527,37,N/A,SEC West,True
4,Alabama,(9-1),1724.43,1506,65,N/A,SEC West,True
5,Georgia,(9-1),1716.07,1528,35,N/A,SEC East,True
6,Penn State,(9-1),1696.73,1537,25,N/A,Big 10 East,True
7,Utah,(9-1),1692.15,1489,81,N/A,PAC 12 South,True
8,Oregon,(9-1),1689.79,1521,41,N/A,PAC 12 North,True
9,Florida,(9-2),1675.95,1552,11,N/A,SEC East,True
10,Wisconsin,(8-2),1666.41,1540,19,N/A,Big 10 West,True
11,Michigan,(8-2),1666.38,1532,33,N/A,Big 10 East,True
12,Oklahoma,(9-1),1665.52,1520,43,N/A,Big 12,True
13,Appalachian St,(9-1),1664.72,1458,111,N/A,Sun Belt East,False
14,Minnesota,(9-1),1659.61,1516,51,N/A,Big 10 West,True
15,Memphis,(9-1),1650.29,1487,87,N/A,AAC West,False
16,Boise St,(9-1),1645.24,1481,91,N/A,MW Mountain,False
17,Baylor,(9-1),1645.14,1481,91,N/A,Big 12,True
18,Auburn,(7-3),1637.89,1580,3,N/A,SEC West,True
19,Notre Dame,(8-2),1637.21,1538,23,N/A,Independent,False
20,North Dakota St,(11-0),1636.67,1352,207,N/A,MVFC,False
21,Central Florida,(7-3),1635.02,1476,96,N/A,AAC East,False
22,Air Force,(8-2),1629.24,1488,85,N/A,MW Mountain,False
23,Texas A&M,(7-3),1627.88,1500,73,N/A,SEC West,True
24,SMU,(9-1),1622.81,1472,101,N/A,AAC West,False
25,Cincinnati,(9-1),1620.83,1497,77,N/A,AAC East,False
26,James Madison,(10-1),1618.83,1387,168,N/A,CAA,False
27,Iowa St,(6-4),1613.91,1550,12,N/A,Big 12,True
28,Washington,(6-4),1611.19,1520,43,N/A,PAC 12 North,True
29,Iowa,(7-3),1609.24,1540,19,N/A,Big 10 West,True
30,Louisiana-Lafayette,(8-2),1609.01,1451,113,N/A,Sun Belt West,False
31,Oklahoma St,(7-3),1604.0,1519,46,N/A,Big 12,True
32,Indiana,(7-3),1601.19,1477,95,N/A,Big 10 East,True
33,San Diego St,(8-2),1588.44,1470,104,N/A,MW West,False
34,Virginia Tech,(7-3),1582.47,1467,108,N/A,ACC Coastal,True
35,Navy,(7-2),1581.17,1501,72,N/A,AAC West,False
36,Kansas St,(6-4),1578.94,1520,43,N/A,Big 12,True
37,Southern Cal,(7-4),1577.87,1539,21,N/A,PAC 12 South,True
38,Miami FL,(6-4),1576.54,1515,52,N/A,ACC Coastal,True
39,Virginia,(7-3),1573.07,1474,98,N/A,ACC Coastal,True
40,Dartmouth,(8-1),1565.14,1366,195,N/A,Ivy League,False
41,Wake Forest,(7-3),1564.6,1504,69,N/A,ACC Atlantic,True
42,Tennessee,(5-5),1561.27,1556,9,N/A,SEC East,True
43,Wyoming,(6-4),1558.41,1460,110,N/A,MW Mountain,False
44,Texas,(6-4),1558.27,1539,21,N/A,Big 12,True
45,Florida St,(6-5),1557.45,1541,17,N/A,ACC Atlantic,True
46,Washington St,(5-5),1553.24,1474,98,N/A,PAC 12 North,True
47,Montana,(9-2),1551.78,1421,134,N/A,Big Sky,False
48,Boston College,(5-5),1550.62,1519,46,N/A,ACC Atlantic,True
49,Illinois,(6-4),1546.28,1489,81,N/A,Big 10 West,True
50,Temple,(7-3),1545.37,1494,78,N/A,AAC East,False
51,Kentucky,(5-5),1544.5,1518,49,N/A,SEC East,True
52,Pittsburgh,(7-3),1544.05,1511,60,N/A,ACC Coastal,True
53,Western Michigan,(7-4),1541.54,1476,96,N/A,MAC West,False
54,Missouri,(5-5),1541.47,1535,29,N/A,SEC East,True
55,Troy,(5-5),1539.57,1438,121,N/A,Sun Belt East,False
56,TCU,(5-5),1535.95,1538,23,N/A,Big 12,True
57,South Dakota St,(8-3),1535.89,1402,147,N/A,MVFC,False
58,Brigham Young,(6-4),1531.77,1525,39,N/A,Independent,False
59,Tulane,(6-4),1531.43,1479,94,N/A,AAC West,False
60,San Diego,(8-2),1530.14,1347,211,N/A,Pioneer,False
61,Yale,(8-1),1528.68,1388,165,N/A,Ivy League,False
62,Hawai`i,(7-4),1525.85,1489,81,N/A,MW West,False
63,Central Conn St,(10-1),1525.59,1277,252,N/A,NEC,False
64,Louisville,(6-4),1524.51,1553,10,N/A,ACC Atlantic,True
65,Utah St,(6-4),1519.77,1537,25,N/A,MW Mountain,False
66,Georgia St,(6-4),1519.61,1509,63,N/A,Sun Belt East,False
67,Georgia Southern,(6-4),1518.67,1514,57,N/A,Sun Belt East,False
68,Buffalo,(5-5),1516.65,1472,101,N/A,MAC East,False
69,Florida Atlantic,(7-3),1516.53,1443,118,N/A,CUSA East,False
70,Liberty,(6-4),1515.36,1424,131,N/A,Independent,False
71,Texas Tech,(4-6),1514.23,1510,61,N/A,Big 12,True
72,Central Michigan,(7-4),1512.57,1453,112,N/A,MAC West,False
73,Monmouth NJ,(9-2),1510.75,1368,192,N/A,Big South,False
74,Austin Peay,(8-3),1509.69,1355,204,N/A,OVC,False
75,Mississippi,(4-7),1507.85,1545,14,N/A,SEC West,True
