Rank,Conference,Elo
1,SEC West,1589.26
2,Big 10 East,1569.87
3,Big 12,1557.66
4,Big 10 West,1547.06
5,SEC East,1546.75
6,ACC Atlantic,1540.88
7,PAC 12 North,1540.04
8,PAC 12 South,1507.01
9,MW Mountain,1504.0
10,Sun Belt East,1503.34
11,ACC Coastal,1499.74
12,AAC East,1495.18
13,AAC West,1494.05
14,Independent,1483.64
15,MW West,1463.55
16,CUSA East,1449.86
17,MAC West,1441.57
18,CUSA West,1433.46
19,Sun Belt West,1427.12
20,MAC East,1412.93
