Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Alabama,(0-0),1614.12,1500,2,N/A
2,Clemson,(0-0),1613.96,1500,2,N/A
3,Ohio State,(0-0),1587.08,1500,2,N/A
4,Georgia,(0-0),1577.09,1500,2,N/A
5,LSU,(0-0),1576.61,1500,2,N/A
6,Oklahoma,(0-0),1573.24,1500,2,N/A
7,Florida,(1-0),1572.0,1494,127,N/A
8,Texas A&M,(0-0),1571.42,1500,2,N/A
9,Mississippi St,(0-0),1564.82,1500,2,N/A
10,Missouri,(0-0),1564.0,1500,2,N/A
11,Michigan,(0-0),1561.4,1500,2,N/A
12,Penn State,(0-0),1561.26,1500,2,N/A
13,Notre Dame,(0-0),1560.97,1500,2,N/A
14,Washington St,(0-0),1559.89,1500,2,N/A
15,Syracuse,(0-0),1559.15,1500,2,N/A
16,Auburn,(0-0),1557.84,1500,2,N/A
17,Washington,(0-0),1556.62,1500,2,N/A
18,Appalachian St,(0-0),1556.54,1500,2,N/A
19,Kentucky,(0-0),1556.26,1500,2,N/A
20,Texas,(0-0),1556.22,1500,2,N/A
21,Central Florida,(0-0),1554.17,1500,2,N/A
22,Iowa,(0-0),1545.61,1500,2,N/A
23,Utah St,(0-0),1545.2,1500,2,N/A
24,North Carolina St,(0-0),1543.98,1500,2,N/A
25,Army,(0-0),1542.05,1500,2,N/A
26,Boise St,(0-0),1541.7,1500,2,N/A
27,Stanford,(0-0),1540.42,1500,2,N/A
28,Iowa St,(0-0),1540.13,1500,2,N/A
29,West Virginia,(0-0),1537.14,1500,2,N/A
30,Fresno St,(0-0),1535.26,1500,2,N/A
31,Michigan St,(0-0),1534.97,1500,2,N/A
32,Northwestern,(0-0),1534.94,1500,2,N/A
33,Boston College,(0-0),1534.85,1500,2,N/A
34,Troy,(0-0),1533.59,1500,2,N/A
35,Oregon,(0-0),1533.37,1500,2,N/A
36,Cincinnati,(0-0),1532.16,1500,2,N/A
37,Wisconsin,(0-0),1530.29,1500,2,N/A
38,South Carolina,(0-0),1529.98,1500,2,N/A
39,Vanderbilt,(0-0),1527.58,1500,2,N/A
40,Georgia Southern,(0-0),1526.88,1500,2,N/A
41,Oklahoma St,(0-0),1525.91,1500,2,N/A
42,Wake Forest,(0-0),1525.65,1500,2,N/A
43,TCU,(0-0),1520.72,1500,2,N/A
44,Minnesota,(0-0),1520.4,1500,2,N/A
45,Mississippi,(0-0),1519.15,1500,2,N/A
46,Baylor,(0-0),1516.64,1500,2,N/A
47,Temple,(0-0),1515.82,1500,2,N/A
48,Maryland,(0-0),1515.7,1500,2,N/A
49,Kansas St,(0-0),1515.51,1500,2,N/A
50,Purdue,(0-0),1514.15,1500,2,N/A
51,Brigham Young,(0-0),1513.99,1500,2,N/A
52,Tennessee,(0-0),1512.88,1500,2,N/A
53,California,(0-0),1511.91,1500,2,N/A
54,Ohio U.,(0-0),1511.51,1500,2,N/A
55,Virginia,(0-0),1511.08,1500,2,N/A
56,Utah,(0-0),1511.02,1500,2,N/A
57,Indiana,(0-0),1509.04,1500,2,N/A
58,Florida St,(0-0),1508.01,1500,2,N/A
59,Duke,(0-0),1506.51,1500,2,N/A
60,Texas Tech,(0-0),1506.3,1500,2,N/A
61,Pittsburgh,(0-0),1501.65,1500,2,N/A
62,Nebraska,(0-0),1501.46,1500,2,N/A
63,Georgia Tech,(0-0),1499.16,1500,2,N/A
64,Wyoming,(0-0),1498.75,1500,2,N/A
65,Marshall,(0-0),1498.57,1500,2,N/A
66,Arizona St,(0-0),1497.62,1500,2,N/A
67,Memphis,(0-0),1497.26,1500,2,N/A
68,Florida Int'l,(0-0),1496.31,1500,2,N/A
69,Arkansas,(0-0),1496.13,1500,2,N/A
70,Buffalo,(0-0),1495.1,1500,2,N/A
71,Miami FL,(0-1),1494.7,1572,1,N/A
72,Air Force,(0-0),1492.41,1500,2,N/A
73,Alabama-Birmingham,(0-0),1492.18,1500,2,N/A
74,Middle Tennessee St,(0-0),1488.23,1500,2,N/A
75,Virginia Tech,(0-0),1487.81,1500,2,N/A
76,Nevada,(0-0),1487.32,1500,2,N/A
77,South Florida,(0-0),1485.93,1500,2,N/A
78,Houston,(0-0),1485.9,1500,2,N/A
79,Kansas,(0-0),1485.62,1500,2,N/A
80,Southern Cal,(0-0),1485.13,1500,2,N/A
81,Miami OH,(0-0),1485.02,1500,2,N/A
82,Tulane,(0-0),1483.19,1500,2,N/A
83,Hawai`i,(1-0),1482.67,1472,129,N/A
84,San Diego St,(0-0),1481.8,1500,2,N/A
85,North Texas,(0-0),1479.41,1500,2,N/A
86,Arkansas St,(0-0),1479.39,1500,2,N/A
87,Illinois,(0-0),1479.29,1500,2,N/A
88,Florida Atlantic,(0-0),1476.94,1500,2,N/A
89,Coastal Carolina,(0-0),1475.79,1500,2,N/A
90,Rutgers,(0-0),1472.98,1500,2,N/A
91,Louisville,(0-0),1472.41,1500,2,N/A
92,Arizona,(0-1),1472.28,1482,128,N/A
93,Toledo,(0-0),1470.95,1500,2,N/A
94,Southern Miss,(0-0),1469.21,1500,2,N/A
95,Colorado,(0-0),1469.02,1500,2,N/A
96,Eastern Michigan,(0-0),1469.01,1500,2,N/A
97,Louisiana Tech,(0-0),1468.75,1500,2,N/A
98,Massachusetts,(0-0),1467.63,1500,2,N/A
99,Oregon St,(0-0),1465.27,1500,2,N/A
100,SMU,(0-0),1463.03,1500,2,N/A
101,UCLA,(0-0),1461.99,1500,2,N/A
102,Northern Illinois,(0-0),1461.49,1500,2,N/A
103,North Carolina,(0-0),1461.04,1500,2,N/A
104,East Carolina,(0-0),1460.37,1500,2,N/A
105,Georgia St,(0-0),1458.74,1500,2,N/A
106,New Mexico,(0-0),1458.18,1500,2,N/A
107,Louisiana-Lafayette,(0-0),1456.04,1500,2,N/A
108,Colorado St,(0-0),1455.74,1500,2,N/A
109,Western Kentucky,(0-0),1454.4,1500,2,N/A
110,Louisiana-Monroe,(0-0),1454.33,1500,2,N/A
111,UNC-Charlotte,(0-0),1454.24,1500,2,N/A
112,UNLV,(0-0),1453.14,1500,2,N/A
113,Western Michigan,(0-0),1451.27,1500,2,N/A
114,New Mexico St,(0-0),1448.89,1500,2,N/A
