Rank,Team,Record,ELO,SoS,SoS Rank,Change
1,Ohio State,(8-0),1681.54,1519,15,N/A
2,Alabama,(8-0),1671.21,1480,37,N/A
3,Clemson,(9-0),1663.87,1450,80,N/A
4,LSU,(8-0),1648.14,1478,41,N/A
5,Penn State,(8-0),1637.89,1470,51,N/A
6,Georgia,(7-1),1623.44,1457,65,N/A
7,Oregon,(8-1),1618.16,1468,53,N/A
8,Auburn,(7-2),1613.66,1531,5,N/A
9,Utah,(8-1),1612.42,1457,65,N/A
10,Oklahoma,(7-1),1611.98,1446,86,N/A
11,Minnesota,(8-0),1611.03,1431,109,N/A
12,Michigan,(7-2),1607.41,1523,12,N/A
13,Wisconsin,(6-2),1606.94,1515,21,N/A
14,Central Florida,(7-2),1604.76,1436,101,N/A
15,Baylor,(8-0),1601.74,1439,96,N/A
16,Appalachian St,(7-1),1591.82,1420,117,N/A
17,Memphis,(8-1),1584.56,1442,92,N/A
18,Boise St,(7-1),1581.96,1435,104,N/A
19,Florida,(7-2),1580.24,1453,76,N/A
20,Wake Forest,(7-1),1579.28,1436,101,N/A
21,SMU,(8-1),1578.59,1476,43,N/A
22,Indiana,(7-2),1577.21,1443,87,N/A
23,Iowa,(6-2),1575.31,1507,24,N/A
24,Iowa St,(5-3),1574.79,1467,55,N/A
25,Cincinnati,(7-1),1573.52,1499,27,N/A
26,Air Force,(7-2),1570.56,1456,67,N/A
27,Navy,(7-1),1570.43,1435,104,N/A
28,Texas A&M,(6-3),1566.51,1476,43,N/A
29,Kansas St,(6-2),1565.8,1470,51,N/A
30,Washington,(5-4),1561.49,1472,48,N/A
31,Notre Dame,(6-2),1559.02,1514,22,N/A
32,Wyoming,(6-2),1557.6,1411,124,N/A
33,Missouri,(5-3),1552.59,1447,84,N/A
34,Oklahoma St,(6-3),1551.88,1481,35,N/A
35,San Diego St,(7-1),1550.52,1416,121,N/A
36,Louisiana Tech,(7-1),1549.08,1389,128,N/A
37,Texas,(5-3),1546.35,1524,10,N/A
38,Georgia St,(6-2),1542.12,1420,117,N/A
39,Boston College,(5-4),1540.17,1464,56,N/A
40,Louisiana-Lafayette,(6-2),1539.69,1441,94,N/A
41,Virginia,(6-3),1536.98,1452,79,N/A
42,Washington St,(4-4),1532.24,1443,87,N/A
43,Florida Atlantic,(6-3),1525.92,1454,72,N/A
44,Tulane,(6-3),1525.69,1454,72,N/A
45,Michigan St,(4-4),1524.66,1546,2,N/A
46,Kentucky,(4-4),1524.47,1518,16,N/A
47,Illinois,(5-4),1523.49,1481,35,N/A
48,TCU,(4-4),1523.04,1480,37,N/A
49,Alabama-Birmingham,(6-2),1521.35,1371,129,N/A
50,Southern Cal,(5-4),1520.4,1522,13,N/A
51,Tennessee,(4-5),1518.46,1501,26,N/A
52,Miami FL,(5-4),1515.8,1461,61,N/A
53,Mississippi St,(4-5),1513.31,1536,4,N/A
54,Liberty,(6-3),1511.0,1362,130,N/A
55,Pittsburgh,(6-3),1510.76,1473,47,N/A
56,Buffalo,(5-4),1509.8,1432,107,N/A
57,Louisville,(5-3),1509.61,1499,27,N/A
58,Florida St,(4-5),1506.29,1531,5,N/A
59,Georgia Southern,(5-3),1504.81,1462,60,N/A
60,Arizona St,(5-3),1504.24,1450,80,N/A
61,Oregon St,(4-4),1503.62,1453,76,N/A
62,Virginia Tech,(5-3),1503.48,1395,127,N/A
63,Duke,(4-4),1502.33,1464,56,N/A
64,North Carolina,(4-5),1499.39,1531,5,N/A
65,Western Michigan,(5-4),1497.62,1430,110,N/A
66,South Carolina,(4-5),1497.59,1498,29,N/A
67,Western Kentucky,(5-4),1496.17,1435,104,N/A
68,Marshall,(6-3),1495.67,1436,101,N/A
69,Central Michigan,(6-4),1494.9,1415,122,N/A
70,Stanford,(4-4),1494.58,1516,18,N/A
71,Brigham Young,(4-4),1492.3,1528,8,N/A
72,Temple,(5-3),1491.01,1461,61,N/A
73,Southern Miss,(5-3),1490.51,1437,100,N/A
74,Nebraska,(4-5),1489.69,1504,25,N/A
75,Mississippi,(3-6),1489.25,1493,31,N/A
