Rank,Conference,Elo
1,SEC West,1589.85
2,Big 10 East,1582.16
3,Big 12,1562.78
4,SEC East,1559.81
5,PAC 12 North,1553.06
6,Big 10 West,1551.46
7,ACC Atlantic,1551.44
8,AAC West,1550.39
9,Sun Belt East,1532.09
10,MW Mountain,1528.67
11,ACC Coastal,1518.7
12,PAC 12 South,1518.6
13,AAC East,1503.52
14,MW West,1484.36
15,MAC West,1473.34
16,Sun Belt West,1459.54
17,Independent,1450.37
18,Ivy League,1428.01
19,MAC East,1422.03
20,MVFC,1421.62
21,CAA,1413.95
22,CUSA East,1408.46
23,FCS,1385.98
24,CUSA West,1381.16
25,Big Sky,1373.55
26,Southern,1372.85
27,OVC,1364.86
28,Southland,1363.75
29,Big South,1358.35
30,NEC,1355.25
31,MEAC,1342.74
32,Pioneer,1339.41
33,SWAC West,1328.38
34,SWAC East,1311.23
35,Patriot,1297.41
36,CFB,1100.0
