Rank,Conference,Elo
1,SEC West,1565.94
2,Big 10 East,1557.7
3,Big 12,1545.41
4,ACC Atlantic,1539.18
5,Big 10 West,1537.68
6,SEC East,1533.9
7,PAC 12 North,1532.17
8,AAC West,1521.17
9,PAC 12 South,1508.14
10,Sun Belt East,1505.15
11,MW Mountain,1501.4
12,AAC East,1497.71
13,ACC Coastal,1496.3
14,MW West,1479.07
15,MAC West,1460.97
16,CUSA East,1458.66
17,Independent,1452.1
18,CUSA West,1450.29
19,Sun Belt West,1443.96
20,MAC East,1418.45
