,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
0,2015,Air Force,Mountain West,Mountain,14,8,6,0,9,6,3,0,6,6,0,0,7,2,5,0
1,2015,Akron,Mid-American,East,13,8,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2,2015,Alabama,SEC,West,15,14,1,0,9,8,1,0,7,6,1,0,4,4,0,0
3,2015,Appalachian State,Sun Belt,,13,11,2,0,8,7,1,0,6,5,1,0,6,5,1,0
4,2015,Arizona,Pac-12,South,13,7,6,0,9,3,6,0,6,4,2,0,6,2,4,0
5,2015,Arizona State,Pac-12,South,13,6,7,0,9,4,5,0,7,5,2,0,4,1,3,0
6,2015,Arkansas,SEC,West,13,8,5,0,8,5,3,0,7,4,3,0,4,3,1,0
7,2015,Arkansas State,Sun Belt,,13,9,4,0,8,8,0,0,6,5,1,0,6,4,2,0
8,2015,Army,FBS Independents,,12,2,10,0,0,0,0,0,6,1,5,0,5,1,4,0
9,2015,Auburn,SEC,West,13,7,6,0,8,2,6,0,7,3,4,0,4,2,2,0
10,2015,Ball State,Mid-American,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
11,2015,Baylor,Big 12,,13,10,3,0,9,6,3,0,6,4,2,0,5,4,1,0
12,2015,Boise State,Mountain West,Mountain,13,9,4,0,8,5,3,0,6,4,2,0,6,4,2,0
13,2015,Boston College,ACC,Atlantic,12,3,9,0,8,0,8,0,7,3,4,0,4,0,4,0
14,2015,Bowling Green,Mid-American,East,14,10,4,0,9,8,1,0,5,3,2,0,6,6,0,0
15,2015,Buffalo,Mid-American,East,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
16,2015,BYU,FBS Independents,,13,9,4,0,0,0,0,0,6,6,0,0,5,3,2,0
17,2015,California,Pac-12,North,13,8,5,0,9,4,5,0,6,5,1,0,6,2,4,0
18,2015,Central Michigan,Mid-American,West,13,7,6,0,8,6,2,0,6,4,2,0,6,3,3,0
19,2015,Charlotte,Conference USA,East,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
20,2015,Cincinnati,American Athletic,East,13,7,6,0,8,4,4,0,6,5,1,0,6,2,4,0
21,2015,Clemson,ACC,Atlantic,15,14,1,0,9,9,0,0,7,7,0,0,5,5,0,0
22,2015,Colorado,Pac-12,South,13,4,9,0,9,1,8,0,6,2,4,0,6,1,5,0
23,2015,Colorado State,Mountain West,Mountain,13,7,6,0,9,5,4,0,6,3,3,0,5,4,1,0
24,2015,Connecticut,American Athletic,East,13,6,7,0,8,4,4,0,6,4,2,0,6,2,4,0
25,2015,Duke,ACC,Coastal,13,8,5,0,8,4,4,0,6,3,3,0,6,4,2,0
26,2015,East Carolina,American Athletic,East,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
27,2015,Eastern Michigan,Mid-American,West,12,1,11,0,8,0,8,0,6,0,6,0,6,1,5,0
28,2015,Florida,SEC,East,14,10,4,0,9,7,2,0,7,6,1,0,4,3,1,0
29,2015,Florida Atlantic,Conference USA,East,12,3,9,0,8,3,5,0,6,1,5,0,6,2,4,0
30,2015,Florida International,Conference USA,East,12,5,7,0,8,3,5,0,5,4,1,0,7,1,6,0
31,2015,Florida State,ACC,Atlantic,13,10,3,0,8,6,2,0,7,7,0,0,5,3,2,0
32,2015,Fresno State,Mountain West,West,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
